index,id,jobTitle,location,company,type,description,lang,skills
0,2975673294,"Data Engineer in Business Intelligence Team (Bangkok based, relocation provided)","Ho Chi Minh City, Ho Chi Minh City, Vietnam",Agoda,Full-time · Entry level,About the job About Agoda  Agoda is an online travel booking platform for accommodations  flights  and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings  our 4 000+ employees representing 90+ nationalities foster a work environment rich in diversity  creativity  and collaboration. We innovate through a culture of experimentation and ownership  enhancing the ability for our customers to experience the world.  Get to Know Our Team  The Data department oversees all of Agoda’s data-related requirements. Our ultimate goal is to enable and increase the use of data in the company through creative approaches and the implementation of powerful resources such as operational and analytical databases  queue systems  BI tools  and data science technology. We hire the brightest minds from around the world to take on this challenge and equip them with the knowledge and tools that contribute to their personal growth and success while supporting our company’s culture of diversity and experimentation. The role the Data team plays at Agoda is critical as business users  product managers  engineers  and many others rely on us to empower their decision making. We are equally dedicated to our customers by improving their search experience with faster results and protecting them from any fraudulent activities. Data is interesting only when you have enough of it  and we have plenty. This is what drives up the challenge as part of the Data department  but also the reward.  The Opportunity  As a Data Engineer in Business Intelligence Team  you will work closely with product managers and BI team to interpret business questions into data needed. You make a design  development  until support and maintain the data pipeline. You will work with variety of data sources  data technology and data tools both in-house and enterprise licenses to build data pipeline and generating data reports.  In This Role  You’ll Get to  Works professionally to understand data needed for finance data analytics and be able to design proper data pipeline solution which is measurable and scalable Develop data pipeline on Bigdata platform by the following technology stack: Scala  Golang  Python3  scripting (Bash/Python)  Hadoop  etc Ensure delivered data achieve team’s standard quality checklist and always have visibility on it Be responsive to work within a deadline Keep catching up on data technology and have up to date data insight with the team  What You’ll Need To Succeed  Bachelor’s or advance degree in IT/Statistic related field More than 3 years of experience in data technology Fluent in English and Interpersonal skills Experience in ETL tools or data pipeline language such as Python  Scala Knowledgeable in using Databases and writing SQL queries Good time management and multitasking skills Self-motivation and ability to work well independently as part of the scrum team  It’s Great If You Have  Experience on data warehouse design Experience with ‘Big Data’ technologies / tools Ex. Tensorflow) Experience with third-party libraries and APIs Experience with automate operation tasks with Shell Script  Python Knowledge in business analysis or data modeling Hungry to learn new tools  languages and technologies  #sydney #kyiv #melbourne #london #tokyo #dhaka #edinburgh #amsterdam #munich #moscow #dublin #seoul #hcmc #telaviv #moscow #taipei #manila  Equal Opportunity Employer  At Agoda  we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex  age  race  color  national origin  religion  marital status  pregnancy  sexual orientation  gender identity  disability  citizenship  veteran or military status  and other legally protected characteristics.  We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .  To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias  Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.,en,"['data technology', 'ETL tools', 'data pipeline language', 'data warehouse design Experience', 'tools', 'party libraries', 'APIs Experience', 'automate operation tasks']"
1,2993666500,"Business Intelligence Intern, Kobiton","Ho Chi Minh City, Ho Chi Minh City, Vietnam","KMS Technology, Inc.",Internship · Internship,"About the job This job is sourced from a job board. Learn more Your key responsibilities: * Evaluate and define business metrics  centralizing data by building appropriate dashboard  reports. * Consult business stakeholders that lead to actionable insights to growth the business. * Help team understand reasons behind the trend and provide insights to drive strategic decisions. * Support various business functions with the development  and maintenance of various management reports. * Actively contribute ideas and efforts to product success. * Perform other duties as assigned. Skills/knowledge you need to be successful: General: * 4th year/ new graduate students majoring in Computer Science/ Software Engineering/ related fields * Be READY to work full-time Technical skills: * Have experience in SQL  query optimization and business intelligence tools. * Practical experience in building reports  optimizing  testing and deploying them. * Having experiences in design and develop BI solutions  data warehouse and data model on Big Data platform is a plus. * Advanced excel skill is a plus. * Strong analytical thinking and ability to learn quickly with ""can do"" attitude. * Knowing statistical programming language (eg: Python) to manipulate and draw insights from large data set is a plus. Soft skills: * Strong motivation to drive impact by making product improvements. Comfort with collaboration  open communication and reaching across functional borders. * Good problem-solving skill. * Pro-activeness (self-starter)  good communication and fast learning. * Good verbal and written communication skills in English. /Perks You'll Enjoy / * Working in one of the Best Places to Work in Vietnam * Working & growing with Passionate & Talented Team * Flexible working time * Various training on hot-trend technologies  best practices and soft skills * Premium healthcare insurance for you and your loved ones * Company trip  big annual year-end party every year  team building  etc. * Fitness & sport activities: football  tennis  table-tennis  badminton  yoga  swimming... * Joining community development activities: 1% Pledge  charity every quarter  blood donation  public seminars  career orientation talks ... * Free in-house entertainment facilities (foosball  ping pong  gym...)  coffee  and snack (instant noodles  cookies  candies...) And much more  join us and let yourself explore other fantastic things ",en,"['query optimization', 'business intelligence tools', 'building reports']"
2,2975674182,"Business Intelligence Developer, Product Team (Bangkok based, relocation provided)","Ho Chi Minh City, Ho Chi Minh City, Vietnam",Agoda,Full-time · Associate,About the job About Agoda  Agoda is an online travel booking platform for accommodations  flights  and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings  our 4 000+ employees representing 90+ nationalities foster a work environment rich in diversity  creativity  and collaboration. We innovate through a culture of experimentation and ownership  enhancing the ability for our customers to experience the world.  Get to Know Our Team  The Data department oversees all of Agoda’s data-related requirements. Our ultimate goal is to enable and increase the use of data in the company through creative approaches and the implementation of powerful resources such as operational and analytical databases  queue systems  BI tools  and data science technology. We hire the brightest minds from around the world to take on this challenge and equip them with the knowledge and tools that contribute to their personal growth and success while supporting our company’s culture of diversity and experimentation. The role the Data team plays at Agoda is critical as business users  product managers  engineers  and many others rely on us to empower their decision making. We are equally dedicated to our customers by improving their search experience with faster results and protecting them from any fraudulent activities. Data is interesting only when you have enough of it  and we have plenty. This is what drives up the challenge as part of the Data department  but also the reward.  The Opportunity  As a BI Developer  you will work closely with product managers or business users to interpret business questions into data solutions. You make a design  development  until support and maintain the solutions. You will work with variety of data sources and data tools both in-house and enterprise licenses to build an insight data and report visualization.  In This Role  You’ll Get to  Works professionally to understand business questions or the requests and be able to suggest proper BI solution which is measurable and scalable Design and develop BI Solutions  Data warehouse & data model on Big data platform (Hadoop/Vertica) using ETL tools (SSIS or in-house developed ETL)  OLAP  and dashboard (Tableau) Be responsive to work within a deadline Ensure delivered product achieve team’s standard quality checklist and always have visibility on it Keep catching up on BI technology and have up to date data insight with the team  What You’ll Need To Succeed  Bachelor’s or advance degree in IT/Statistic related field More than 3 years of experience in Business Intelligence area Fluent in English and Interpersonal skills Experience in ETL tools  data warehouse design  data modeling  and visualization Proficient knowledge of SQL and Relational Database: able to write  execute and interpret queries Good time management and multitasking skills Self-motivation and ability to work well independently as part of the scrum team  It’s Great If You Have  Intellectually curious – fast and self-driven learner on areas including new business models  analytical techniques  technical skills etc Experience in business analysis or data modeling. Other languages e.g.  Python/R/Scala are helpful  #sydney #melbourne #moscow #london #tokyo #dhaka #edinburgh #amsterdam #munich #moscow #dublin #seoul #hcmc #telaviv #kyiv  Equal Opportunity Employer  At Agoda  we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex  age  race  color  national origin  religion  marital status  pregnancy  sexual orientation  gender identity  disability  citizenship  veteran or military status  and other legally protected characteristics.  We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .  To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias  Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.,en,"['ETL tools', 'business analysis', 'data modeling']"
3,2993740820,"Business Intelligence (Edtech Company, Upto 1000$)","Hanoi, Hanoi, Vietnam",X3english Limited Company,"₫15,000,000/month - ₫23,000,000/month · Full-time · Associate",About the job This job is sourced from a job board. Learn more Basic Information: Working address: The Light Building  To Huu  Nam Tu Liem  Hanoi Working time: 8:00 am – 5:30 pm  Monday to Saturday morning (Saturday morning working online) Salary: 15 – 23 millions VND Job Description: Evaluate and define business metrics  democratize data by building and socializing decision tools (dashboard  reports) Use data visualization programs  tools and techniques to generate dashboards  reports and presentations that aid in data storytelling  understanding and interpretation of trends and patterns of business importance to provide meanings to data produce. Collaborating with team-leader daily to make sure all internal activities are making daily/weekly progress following agile structure with clear OKR/KPIs. Support and collaborate with business stakeholders regularly with the purpose of understanding reasons behind the trends Requirement: At least 2 years in Banking or Technology company  preferably experiences with Data Analysis or Business Analysis Degree of Computer Science or Software engineer is a plus (Optional)’ Proficiency with SQL  PowerBI  Tableau  or other BI platforms. Knowledge of Modelling Languages (R  Python) a plus. Good command of English Ability to focus on detailed tasks to achieve specific outcome. Benefits: Young  democratic  dynamic  professional working environment  focusing on working efficiency  Review salary at least once a year  13th month salary bonus  Be equipped with modern equipment for work  Periodic bonus  holiday bonus  lunch allowance  parking allowance  Fully enjoy the social insurance – health insurance – unemployment insurance regimes according to regulations  Fully enjoy the regimes according to the Labor Law: holiday  Lunar New Year  annual leave  paid leave…  Enjoy other preferential regimes: annual vacation trip  birthday  Periodic health examination once a year at Thu Cuc International General Hospital  Opportunity to travel domestic and abroad 1-2 times / year.,en,[]
4,2945707463,Senior Business Intelligence Analyst (0824),"Hanoi, Hanoi, Vietnam",Techcombank (TCB),Full-time · Associate,About the job Job Purpose The Job Holder Responsible For Use analysis  business understanding methods  processes  and systems to consolidate and analyze  visualize data to generate insights to inform and trigger business problems in the business decision process - improve of customer value and operation efficiency. Help the business to better understand the implications of what information means  identifies what has happened  why it happened  especially for performance management. Key Accountabilities (1) Analysis và Reporting Identify  analyze and interpret trends or patterns in complex data sets using script languages Perform analysis of datasets to develop metrics  reports and visualizations mostly for performance management. Use data visualization programs  tools and techniques to generate dashboards  reports and presentations that aid in data storytelling  understanding and interpretation of trends and patterns of business importance to provide meanings to data produce. Create and maintain statistical models for ongoing and ad hoc review and analysis of data. Understand data requirements from within and outside of the tribe and analyze needs of the business while assisting senior tribe members to develop the required technical requirements. Communicate and align with stakeholders on purpose and impact of analytical solutions on business. Key Accountabilities (2) Data Insighting Lead the identification and interpretation of meaningful and actionable insights from various data sources. Develop processes and tools to monitor and analyze model performance and data accuracy. Interact with squads within assigned tribe to identify questions and issues for data analysis. Assess the effectiveness and accuracy of new data sources and data gathering techniques. Success Profile - Qualification and Experiences Bachelor's degree in Finance  Risk Management  Statistics  Mathematics or Quantitative Analysis 5+ years of relevant experience in areas of data analysis  reporting và planning  problem solving for business English proficiency requirements are pursuant to Techcombank's policy Experience in querying databases and using programming languages (e.g. R  Python  Scala  SQL) Experience in building reporting with actionable intelligent Experience communicating complex analysis and models across a diverse team Experience in data management  ETL and analysis functions Experience with data analysis and BI tools such as Tableau  QlikView  Spark would be a plus Deep understanding of Information Security principles to ensure compliant handling and management of data Strong understanding of Agile principles  practices and scrum methodology Experience working in Agile teams to support digital transformation projects,en,"['building', 'analysis functions', 'data analysis', 'BI tools']"
5,3009049541,Business Intelligence Intern,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Manabie Vietnam,Internship · Entry level,About the job This job is sourced from a job board. Learn more Building  developing  and maintaining automated dashboards to monitor performance metrics Monitoring data quality to ensure data sources are reliable and relevant for the team’s purposes Collaborating with internal team to consolidate requirements  understand business needs  and deliver projects in a timely manner Ad-hoc tasks/ projects assigned by the BI Manager or Senior BI members,en,[]
6,2975679220,"Senior Business Intelligence Analyst, Commercial Finance (Bangkok-based)","Hanoi, Hanoi, Vietnam",Agoda,Full-time · Associate,About the job About Agoda  Agoda is an online travel booking platform for accommodations  flights  and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings  our 4 000+ employees representing 90+ nationalities foster a work environment rich in diversity  creativity  and collaboration. We innovate through a culture of experimentation and ownership  enhancing the ability for our customers to experience the world.  Get to Know our Team:  Agoda has taken many great strides in recent years  expanding our reach around the globe as well as our list of travel products. A critical driver to this success has been the team of Agoda Finance. We keep a steady hand on maintaining day-to-day financial operations while also keeping an eye out for future opportunities. Not only do we have the unique role of balancing risk management with continued innovation and growth  we also serve as a means of empowerment for both our team members and those within the company. Having experimentation and data analysis deeply ingrained in our culture  we provide the strategic insights Agoda’s business leaders need to push into new territories in sustainable and scalable ways. We also prioritize career development in Agoda Finance. Every function within the team has a well-defined career track with clear goals and development targets each step of the way.  The Opportunity:  The Senior Business Intelligence Analyst will be part of the Commercial Finance team and reports into the Business Intelligence Manager. The successful candidate will work to ensure that the Finance department has the tools  models  data sources  and technical knowledge required to generate value added insights for senior leadership and enable success for the business.  This person should enjoy managing high volumes of commercial  financial  and operational data and be comfortable providing forecasts  analysis  and solutions. They will have the opportunity to directly influence senior management  and their conclusions will have a wide ranging impact on the commercial decisions of our business.  This position is based in Bangkok – relocation provided for expat candidates **  In this role  you’ll get to:  Support the Finance community on data led insights as well as build reporting and analytical capabilities for the entire finance organization Assist the Commercial Finance team in the evaluation of emerging initiatives  investments  and major operational changes Analyze operational and financial performance trends  turning complex data into actionable insights Build strong connections across engineering and finance teams and become a trusted and proactive partner in supporting project delivery Create and maintain models  reports  dashboards as required by your stakeholders with well-written documentation in mind Continually optimize reports  processes  and procedures with scalability in mind Collaborate with engineering and product development teams on changes to/integration of new sources of data Empower end users to be self-reliant by facilitating knowledge sharing and enable skill development through effective training programs Be a thought leader around new technologies which may benefit the Commercial Finance team  What you’ll need to succeed:  Bachelor’s degree in IT  Mathematics  Statistics  Analytics or other relevant degrees 3+ years of experience with BI & analytics tools (SQL  Tableau  Metabase or similar technologies) Experience in ETL tools  data modelling and have proficient knowledge of SQL and Relational Databases: the ability to write  execute and interpret queries is essential Quick learner  problem-solving aptitude  effective prioritization  proactive and strong attention to detail High sense of ownership and growth mindset  ability to be self-directed Ability to understand business questions/requests and be able to suggest proper BI solutions which are measurable and scalable Excellent communication skills and ability to influence peers and build strong relationships within Finance and cross-functionally Advanced Excel modelling (OLAP cubes & VBA a bonus)  It’s great if you have:  Accounting/Financial knowledge and commercial acumen Solid technical/functional knowledge in statistics  experience with R or Python or similar Familiarity with scrum/agile methodology Other helpful skills – ETL knowledge  T-SQL  batch scripting  ODBC  data mining  Hadoop  #IT #FIN #3 #singapore #taipei #hongkong #kualalumpur #shanghai #manila #jakarta #seoul #tokyo #hanoi #mumbai #Phuket #bangkok #kualalumpur #hcmc #bangalore #newdelhi #jakarta #hanoi  data representation data analysis SQL data analytics analytics python (programming language) data mining data science r (programming language) tableau analytical skills data visualization databases business analysis business intelligence (bi) microsoft sql server machine learning statistics microsoft power bi java finance shopee traveloka google facebook ctrip trip.com makemytrip grab amazon pandas (software) artificial intelligence (ai) information technology capital one accenture upwork deloitte mckinsey bain microsoft uber lyft gojek lazada alibaba shopify expedia skyscanner  Equal Opportunity Employer  At Agoda  we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex  age  race  color  national origin  religion  marital status  pregnancy  sexual orientation  gender identity  disability  citizenship  veteran or military status  and other legally protected characteristics.  We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .  To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias  Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.,en,"['analytics tools', 'Tableau', 'Experience', 'ETL tools', 'R', 'Python', 'similar Familiarity']"
7,2980161544,Business Intelligence/ Data Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Vnshop,₫18/month - ₫20/month · Full-time · Associate,About the job This job is sourced from a job board. Learn more MÔ TẢ CÔNG VIỆC Being able to produce timely pre-defined reports Assisting BI Manager to improve dashboard and BI report system Developing Pricing Templates/ Tools to define which price is best for promotion articles Working with cross-functional partners to design and execute tools to serve analytical purpose Ad-hoc Reporting Data Analysis duties or other responsibilities when required YÊU CẦU CÔNG VIỆC 1-3 year experience as a data analyst Proficient in Excel Understanding of how to use a Data Warehouse to obtain data for Power BI/Excel solutions through Analysis Services Review and assess all source data  and compile data in documents Data gathering  reporting  and analytical thinking skills Ability to work independently or within a team environment Good at english communication,en,['data analyst Proficient']
8,3006949479,Business Intelligence Developer,"Ho Chi Minh City, Vietnam",startup oi,Full-time,About the job Description We are looking for a Junior Business Intelligence Engineer to work closely with the Chief Product Officer with close guidance from Senior Engineer. Having recently launched our flagship app to connect the world’s engineers  we now want to track and steer our progress  You’ll be working on dashboards  and metrics to help us track and meet our KPIs. You’ll be able to track and give guidance on the business based on deep analysis and big data. Customer acquisition  customer retention  and interactions will be our focus  What you will do • Build business intelligence dashboards and export easy-to-read reports and analytics • Work closely with the Chief Product Officer to create  translate  and organize queries  reports  metrics  and deeper analysis as needed • ETL  data loads  and transformations as needed including website translations  product requirements  etc. • Work with administrative tools including Jira  Trello  etc. to help monitor progress • Daily standups to sync and communicate progress or roadblocks • Work closely with team members to communicate and handle ad-hoc tasks on behalf of the Chief Product Officer  Requirement • Intermediate SQL skills required • Intermediate Python skills required • Willing to do Testing • Intermediate verbal communication skills in English • Basic Excel or Google Sheets skills required (macro/function experience a plus) • Creative and flexible thinking  can-do attitude to overcome challenges • Attention to detail  multitask and work well under pressure • Familiarity with Tableau is a plus • Graduation (or attending) an accredited 4-year university • Experience coordinating with international or remote teams is plus Contact the job poster Nhật Nam Nguyễn 2nd Hiring Technical Recruiter (India  Remote) | BI Developer (Vietnam  Hybird) Job Poster Location Ho Chi Minh City  Vietnam Send InMail,en,[]
9,2960227536,Business Intelligence Associate ( BD Team),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Shopee,Full-time · Entry level,About the job Job Description: Evaluate and define business metrics  democratize data by building and socializing decision tools (dashboard  reports) Consult other stakeholders within Business Developement (e.g.Merchandising  Mall  Marketplace  etc.) to run analyses that lead to actionable business strategies and insights Identify issues  gather information from various sources  analyze data  interpret patterns and trends  propose solutions  and track initiatives with the purpose of enhancing efficiency Support various business functions with the development and maintenance of various management reports  Requirements: Both junior and senior applicants are welcome (we'll discuss the level of seniority based on your previous experience) Strong analytical thinking and ability to learn quickly with can do attitude Experience working with SQL Experience working with Python will be a plus Comfortable working with large data sets and numbers Excellence written and verbal communication skills in English and Vietnamese Experience working with cross-functional teams to gather requirements and define the right metrics to describe the state of the business - both on a macro-level and a micro-level,en,[]
