id|jobTitle|location|company|type|description
3009454430|Business Analyst|Hanoi, Hanoi, Vietnam|Ekoios Technology|Full-time|"About the job
1. Job Description:
- Work with stakeholders to identify and clear functional requirements to ensure that are understood by the development team.
- Stay up-to-date on the latest process and IT advancements to automate and modernize systems.
Perform requirements analysis.
- Constantly be on the lookout for ways to improve the existing product, discover issues and deliver better value to the end-user.
- Perform the integration test to control product quality
- Help design, document and maintain system processes
Create backlog/function, prioritize, build a roadmap for product development
2. Job Requirements:
- At least 1-year of experience in business analysis or a related field.
- Knowledgeable and experienced in Software Development Life Cycle models such as waterfall, Agile scrum
Ability to communicate, negotiate with customers to collect and analyze requirements
- Ability to propose professional solutions associated with IT solutions and create documents about business requirements, software specifications, diagrams, process flow
- Ability to create templates, output for new fields
- Ability to create and execute test case for acceptance test
- Proficient communication in English or Japanese is an advantage
- Welcome candidates who have little experience but are eager to learn, have passion for BA job.
3. Benefits:
- Salary: Negotiable according to candidate’s ability and experience, 2 months probation with 100% salary, after probation pay insurance according to salary level.
- Performance review twice a year, based on work performance and company’s performance;
- Working time: 8h/day from Monday to Friday.
- Minimum 14-month salary, 13-month salary depends on the actual number of months working at the company.
- Bonuses for Tet holidays as prescribed: 30/4, 1/5, New Year’s Day, Lunar New Year, birthday, … reward projects, excellent individuals.
- Join team building: 1 time / quarter, travel: 1 time / year, Company birthday, Year-end party, …
- Participate in periodic health checks for all employees with good services.
- Full support for server certification exam costs for business development needs.
- Be provided with equipment when working at the company.
- Have the opportunity to join free Japanese and English classes, soccer clubs, sprints, games.
- Have the opportunity to experience your expertise in a young and dynamic environment.
4. Contact us:
- Send CV to mail: recruit@ekoios.vn
- Address: Ekoios Technology Office, Floor 9, CIC Tower, Lane 219 Trung Kinh Street, Yen Hoa, Cau Giay, Hanoi, Vietnam.
- Facebook: https://www.facebook.com/ekoios/
- Linkedin: https://www.linkedin.com/company/ekoios-technology/mycompany/
- For further information: https://ekoios.vn/
Contact the job poster
Thùy Linh Tô 2nd
Talent Acquisition Specialist - Great opportunities for IT candidates: React JS - Node JS - Blockchain developer - Business Analyst - Project Manager - Technical leader - Sales IT
Job Poster Location
Hanoi, Hanoi, Vietnam
Send InMail"
2975663688|Business Analyst- Beds Network (Bangkok Based, relocation provided)|Hanoi, Hanoi, Vietnam|Agoda|Full-time · Associate|"About the job
About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know our Team:

The Agoda Beds Network team is a new department within Agoda, focusing on improving Agoda’s wholesale supply quality and inventory. As our accommodation partners are a key to our success, we work hard to ensure their success. The Agoda Beds Network team specializes in strategic account management, and data is at the core of everything we do. We serve as consultants and thought leaders to our partners, offering strategic advice on how best to excel on Agoda’s commercial platforms through innovative solutions. With the help of industry-leading technology, we work and collaborate globally to bring together the best ideas from diverse perspectives and strive in ensuring the best value for our partners, our customers, and Agoda overall.

The Opportunity:

As Business Analyst, your main objective will be to lead the analysis and data visibility required to identify opportunities for optimization for our hotel partners to grow on the Agoda platform. Your role is also to use data to provide transparency and efficiency to the Business Development teams on the ground and guide them in growing the business. You will be instrumental in ensuring there is consistency in data being used for reporting, identifying value-added data to help the business grow as well as using data to make strategic business decisions. You will be expected to dig into data to provide business insights, guide decision-making and offer valuable inputs to further grow our business model.

In this Role, you’ll get to:

Analyze and develop reports and models we can use for performance tracking and optimization, drawing recommendations from your analysis
Build, enhance and streamline reports that help team members and internal stakeholders understand the performance of their business and identify action points
Perform ad-hoc analysis on business trends and results independently, translate and communicate results to leadership and key stakeholders
Provide input on ongoing projects and initiatives to reach business targets; run and assess your proposed actions in collaboration with the relevant teams
Make recommendations for new metrics, techniques, and strategies to improve team performance and measurement in the future
Hone your analytical skills in better understanding business and conversion drivers and how to optimize them
Prepare and present high quality weekly reports and business insights to leadership
Work in a data-driven environment
Use out-of-the-box thinking to develop and implement solutions to unique challenges
Work cross-functionally in a dynamic, fast-paced and challenging environment

What you’ll Need to Succeed:

Bachelor’s degree or higher in Mathematics, Business, Economics, Data Science, Information Technology or similar field
Bachelor’s Degree or higher in computer sciences, engineering, mathematics, statistics, data science or a related degree program. Masters degree preferred
Advanced domain of data analysis and data visualization tools and software such as Excel, SQL, Tableau, Python or similar
Analytical mindset, with proven track record in using data to measure performance and make decisions
Excellent problem-solving skills including the ability to analyze and resolve complex problems using data
Ability to work under pressure in a fast-paced and rapidly changing environment
Excellent communication skills (both verbal and written), with proven ability to convey complex messages clearly and with conviction
Team player with strong interpersonal, relationship-building, and stakeholder management skills

#STRA#ANLS#MRKT#3 #sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #washdc #tirana #yerevan #sydney #melbourne #perth #vienna #graz #linz #baku #minsk #brussels #antwerp #ghent #charleroi #liege #saopaolo #sofia #toronto #vancouver #montreal #shanghai #beijing #shenzhen #zagreb #cyprus #prague #Brno #Ostrava #copenhagen #cairo #alexandria #giza #estonia #helsinki #paris #nice #marseille #rouen #lyon #toulouse #tbilisi #berlin #munich #hamburg #stuttgart #cologne #frankfurt #dusseldorf #dortmund #essen #Bremen #leipzig #dresden #hanover #nuremberg #athens #hongkong #budapest #bangalore #newdelhi #jakarta #bali #bandung #dublin #telaviv #milan #rome #naples #turin #palermo #venice #bologna #florence #tokyo #osaka #yokohama #nagoya #okinawa #fukuoka #sapporo #amman #irbid #riga #beirut #tripoli #vilnius #luxembourg #kualalumpur #malta #chisinau #amsterdam #oslo #jerusalem #manila #warsaw #krakow #sintra #lisbon #porto #braga #cascais #loures #amadora #almada #doha #alrayyan #bucharest #moscow #saintpetersburg #riyadh #jeddah #mecca #medina #belgrade #singapore #bratislava #capetown #johannesburg #seoul #barcelona #madrid #valencia #seville #bilbao #malaga #oviedo #alicante #laspalmas #zaragozbanga #stockholm #zurich #geneva #basel #taipei #tainan #taichung #kaohsiung #Phuket #bangkok #istanbul #ankara #izmir #dubai #abudhabi #sharjah #london #manchester #liverpool #edinburgh #kiev #hcmc #hanoi #sanaa #taiz #aden #gibraltar #marrakech #lodz #wroclaw #poznan #Gdansk #szczecin #bydgoszcz #lublin #katowice #rio #salvador #fortaleza #brasilia #belo #belem #manaus #curitiba #portoalegre #saoluis

data representation data analysis SQL data analytics analytics python (programming language) data mining data science r (programming language) tableau analytical skills data visualization databases business analysis business intelligence (bi) microsoft sql server machine learning statistics microsoft power bi java finance shopee traveloka google facebook ctrip trip.com makemytrip grab amazon pandas (software) artificial intelligence (ai) information technology capital one accenture upwork deloitte mckinsey bain microsoft uber lyft gojek lazada alibaba shopify expedia skyscanner

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
2976150796|Business Analyst (0384)|Hanoi, Hanoi, Vietnam|Techcombank (TCB)|Full-time · Associate|"About the job
Job Purpose
The job holder is responsible for conducting research and analysis in order to create a detailed business analysis, outline problems, opportunities and solutions for a business. The job holder will identify all required data sources, internal and external to support targeted research, analysis and documentation. The job holder is expected to develop new business models to support sound, data-driven business decisions and solutions.

Key Accountabilities (1)
Research and Analysis
Gather market trends and internal data to conduct analysis based on business issues and needs as they relate to a potential change or transformation.
Develop informative and actionable reports that highlight business trends and opportunities for improvement.
Identify and report trends and patterns to provide forecast on business plans.
Use data modelling, budgeting and forecasting techniques to present analysis for business decisions.
Recommend solutions (services, processes or products that solve a particular problem), consider pros and cons of each recommendation.
Identify costs and business savings.
Key Accountabilities (2)
Reporting and Documentation
Work closely with project teams / business tribes to understand and document business objectives and processes.
Suggest modifications and improvements for improved operating efficiencies.
Implement, test and deploy solutions to business problems.
Create functional specifications / documentation / user manuals for new systems and processes.
Explain technical jargon to non-technical / commercial teams.
Simplify requirements so they are easily understood across the whole team.
Key Accountabilities (3)

Key Relationships - Direct Manager
Product Owner / Senior Product Owner / Business Analyst Manager

Key Relationships - Direct Reports

Key Relationships - Internal Stakeholders
Teams within and across Divisions

Key Relationships - External Stakeholders
Customers and partners providing professional services

Success Profile - Qualification and Experiences
A Diploma or higher qualification in Finance, Banking, Economics, Computing, Information Technology, Business Management or relevant disciplines
Certification from the Institute of Business Analysis (IIBA) is preferred
At least 3 years of experience in a similar role in a financial institution with commercial awareness
Business English standard of proficiency is required
Intermediate to Advanced MS Excel skills
Proven analytical and modelling capability with gap analysis, SWOT analysis
Experience working across multiple project scopes and in an agile operating environment
Experience writing SQL queries and using data visualization techniques and tools"
3004672307|Senior Business Analyst (40000043)|Vietnam|Techcombank (TCB)|Full-time · Associate|"About the job
Job Purpose
The job holder will analyze and identify business problems and issues through internal and external data sources and provide insights to key stakeholders and decision makers.
The job holder will work closely with tribe members to understand business requirements to providing specific reports and analysis.
Key Accountabilities (1)
Reporting and Documentation
Understand business processes to translate business needs and requirements into documents, process diagrams and wireframes to support product development.
Analyze, create, validate end-to-end business processes and detail out functional specifications for the required applications.
Suggest modification and improvement to business processes and frameworks for better efficiency.
Participate in user testing and create documentation and user manuals for business.
Key Accountabilities (2)
Research and Analysis
Gather market trends and internal data to conduct business analysis and provide recommendations and enhancements to the business.
Develop informative and actionable reports that highlight business trends, forecasts and opportunities for improvement.
Keep updated on technology changes, trends movement and analyze internal data sets to provide overall insights for stakeholders.
Identify and interpret trends and patterns from data sets and construct forecasts and recommendations based on market intelligence and business data.
Key Accountabilities (3)
Managing Stakeholders
Work with stakeholders to identify opportunities and process improvements by leveraging organization data to drive business solutions.
Identify and communicate to stakeholders the insights from opportunities and obstacles perspectives based on market data gathered.

Key Relationships - Direct Manager
Product Owner / Senior Product Owner

Key Relationships - Direct Reports
N/A

Key Relationships - Internal Stakeholders
teams within the Digital Office and relevant departments in the Bank

Key Relationships - External Stakeholders
customers, partners providing professional services

Success Profile - Qualification and Experiences
At least 5 years of relevant experience in a financial institution
Extensive experience in researching and analyzing market trends and business processes
Experience in working on multiple projects at one time
Experience in writing SQL queries and using data visualization techniques and tools
Experience in identifying risk and potential issues through conducting gap analysis, understanding and reviewing criteria
Experience in monitoring and analyzing business results, competition and trends (SWOT analysis, market share review)
Experience in Agile Product Development and has a strong understanding of Agile principles and practices and Scrum methodologies
Experience working in Agile teams to manage digital transformation projects
Bachelor's Degree in a technical or business management discipline"
2975661699|Business Analyst- Beds Network (Bangkok Based, relocation provided)|Ho Chi Minh City, Ho Chi Minh City, Vietnam|Agoda|Full-time · Associate|"About the job
About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know our Team:

The Agoda Beds Network team is a new department within Agoda, focusing on improving Agoda’s wholesale supply quality and inventory. As our accommodation partners are a key to our success, we work hard to ensure their success. The Agoda Beds Network team specializes in strategic account management, and data is at the core of everything we do. We serve as consultants and thought leaders to our partners, offering strategic advice on how best to excel on Agoda’s commercial platforms through innovative solutions. With the help of industry-leading technology, we work and collaborate globally to bring together the best ideas from diverse perspectives and strive in ensuring the best value for our partners, our customers, and Agoda overall.

The Opportunity:

As Business Analyst, your main objective will be to lead the analysis and data visibility required to identify opportunities for optimization for our hotel partners to grow on the Agoda platform. Your role is also to use data to provide transparency and efficiency to the Business Development teams on the ground and guide them in growing the business. You will be instrumental in ensuring there is consistency in data being used for reporting, identifying value-added data to help the business grow as well as using data to make strategic business decisions. You will be expected to dig into data to provide business insights, guide decision-making and offer valuable inputs to further grow our business model.

In this Role, you’ll get to:

Analyze and develop reports and models we can use for performance tracking and optimization, drawing recommendations from your analysis
Build, enhance and streamline reports that help team members and internal stakeholders understand the performance of their business and identify action points
Perform ad-hoc analysis on business trends and results independently, translate and communicate results to leadership and key stakeholders
Provide input on ongoing projects and initiatives to reach business targets; run and assess your proposed actions in collaboration with the relevant teams
Make recommendations for new metrics, techniques, and strategies to improve team performance and measurement in the future
Hone your analytical skills in better understanding business and conversion drivers and how to optimize them
Prepare and present high quality weekly reports and business insights to leadership
Work in a data-driven environment
Use out-of-the-box thinking to develop and implement solutions to unique challenges
Work cross-functionally in a dynamic, fast-paced and challenging environment

What you’ll Need to Succeed:

Bachelor’s degree or higher in Mathematics, Business, Economics, Data Science, Information Technology or similar field
Bachelor’s Degree or higher in computer sciences, engineering, mathematics, statistics, data science or a related degree program. Masters degree preferred
Advanced domain of data analysis and data visualization tools and software such as Excel, SQL, Tableau, Python or similar
Analytical mindset, with proven track record in using data to measure performance and make decisions
Excellent problem-solving skills including the ability to analyze and resolve complex problems using data
Ability to work under pressure in a fast-paced and rapidly changing environment
Excellent communication skills (both verbal and written), with proven ability to convey complex messages clearly and with conviction
Team player with strong interpersonal, relationship-building, and stakeholder management skills

#STRA#ANLS#MRKT#3 #sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #washdc #tirana #yerevan #sydney #melbourne #perth #vienna #graz #linz #baku #minsk #brussels #antwerp #ghent #charleroi #liege #saopaolo #sofia #toronto #vancouver #montreal #shanghai #beijing #shenzhen #zagreb #cyprus #prague #Brno #Ostrava #copenhagen #cairo #alexandria #giza #estonia #helsinki #paris #nice #marseille #rouen #lyon #toulouse #tbilisi #berlin #munich #hamburg #stuttgart #cologne #frankfurt #dusseldorf #dortmund #essen #Bremen #leipzig #dresden #hanover #nuremberg #athens #hongkong #budapest #bangalore #newdelhi #jakarta #bali #bandung #dublin #telaviv #milan #rome #naples #turin #palermo #venice #bologna #florence #tokyo #osaka #yokohama #nagoya #okinawa #fukuoka #sapporo #amman #irbid #riga #beirut #tripoli #vilnius #luxembourg #kualalumpur #malta #chisinau #amsterdam #oslo #jerusalem #manila #warsaw #krakow #sintra #lisbon #porto #braga #cascais #loures #amadora #almada #doha #alrayyan #bucharest #moscow #saintpetersburg #riyadh #jeddah #mecca #medina #belgrade #singapore #bratislava #capetown #johannesburg #seoul #barcelona #madrid #valencia #seville #bilbao #malaga #oviedo #alicante #laspalmas #zaragozbanga #stockholm #zurich #geneva #basel #taipei #tainan #taichung #kaohsiung #Phuket #bangkok #istanbul #ankara #izmir #dubai #abudhabi #sharjah #london #manchester #liverpool #edinburgh #kiev #hcmc #hanoi #sanaa #taiz #aden #gibraltar #marrakech #lodz #wroclaw #poznan #Gdansk #szczecin #bydgoszcz #lublin #katowice #rio #salvador #fortaleza #brasilia #belo #belem #manaus #curitiba #portoalegre #saoluis

data representation data analysis SQL data analytics analytics python (programming language) data mining data science r (programming language) tableau analytical skills data visualization databases business analysis business intelligence (bi) microsoft sql server machine learning statistics microsoft power bi java finance shopee traveloka google facebook ctrip trip.com makemytrip grab amazon pandas (software) artificial intelligence (ai) information technology capital one accenture upwork deloitte mckinsey bain microsoft uber lyft gojek lazada alibaba shopify expedia skyscanner

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
3008571402|Business Analyst|Hanoi, Hanoi, Vietnam|VMO Group|Full-time|"About the job
[HN] VMO HOLDINGS - BUSINESS ANALYSIS
______________________________________________________________________________________________
We need 1 Junior + 2 Senior BA for our potential projects, with attractive salary range and bonus:
Upto $1500 (Có thể deal theo năng lực) + Thưởng tháng lương thứ 13+ thưởng dự án + thưởng performance

JD:
- Tham gia dự án outsource cho khách hàng Âu Mỹ, Nhật,....
- Phân tích và chi tiết hóa yêu cầu của khách hàng
- Viết các tài liệu đặc tả yêu cầu nghiệp vụ, yêu cầu người dùng, yêu cầu hệ thống;
- Viết tài liệu hướng dẫn cho người sử dụng,…
- Viết tài liệu SRS, FSD
- Cơ hội phát triển lên PO/PM

Requirements:
- Sử dụng được tiếng Anh/Nhật trong công việc
- Từ 1 năm kinh nghiệm với vai trò Business Analyst trong các dự án phần mềm
- Ưu tiên có kinh nghiệm làm Team Leader và định hướng làm Teamlead trong thời gian tới
- Có kiến thức cơ bản về công nghệ thông tin và phát triển phần mềm
- Hiểu các quy trình trong phát triển phần mềm, quen thuộc với Agile/Scrum
- Có tinh thần trách nhiệm và cầu tiến trong công việc
___________________________________________________________________________________________
Apply here or send your CV through: loanntb@vmodev.com


Contact the job poster
Loan Nguyễn 2nd
Recruitment Specialist at VMO
Job Poster Location
Hanoi, Hanoi, Vietnam
Send InMail"
3003405728|Business Analyst|Ho Chi Minh City, Vietnam|Koina|Full-time|"About the job
Being an early member of our team and build the best-in-class Agritech ecosystem with us. Job Description:
Work closely on supply sources to track performance and plan for demand.
Using analytics tools to create comprehensive dashboard and adhoc analysis to monitor our supply.
Join supply team on-field to further improve the data collecting and mining.

Contact the job poster
Khoa Luu 2nd
We are hiring at Koina to transform supply chain of agribusiness.
Job Poster Location
Vietnam
Send InMail"
3004625214|Business Analyst|Ho Chi Minh City Metropolitan Area|Hitachi Vantara|Full-time · Associate|"About the job
The Company

Hitachi Vantara, a wholly-owned subsidiary of Hitachi, Ltd., guides our customers from what’s now to what’s next by solving their digital challenges. Working alongside each customer, we apply our unmatched industrial and digital capabilities to their data and applications to benefit both business and society. More than 80% of the Fortune 100 trust Hitachi Vantara to help them develop new revenue streams, unlock competitive advantages, lower costs, enhance customer experiences, and deliver social and environmental value.

Requirements
B.S., M.S. or equivalent degree in Information Technology, Computer Science, Computer Engineering or relevant major
At least 0.5 year of experience in programming with C++, C#, SEMI Standards,…
This opportunity is also opening to Freshers
Logical thinking, problem solving, learning attitude and team work skills
Duties

To combine with our team members, you will deliver the followings:
Work as a key developer or team leader in the project
Corporate with team to design large-scale, real-time distributed architectures
Deliver new features: from specification through development, QA and into final deploy
Develop oriented documentation
We are an equal opportunity employer. All applicants will be considered for employment without attention to age, race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status."
2973417843|Business Analyst|Cầu Giấy, Hanoi, Vietnam|SOTATEK., JSC|Full-time|"About the job
1. Job Description
Shape, and facilitate analysis and feasibility work with stakeholders for emerging change initiatives to build the business case for project activity;
Build the requirements analysis with stakeholders to translate the business needs into a set of prioritized requirements;
Go through requirements validation activities with the developers to confirm to the project that a solution based on the requirements meets customer needs and achieves the intended business objectives;
Investigate, record, analyze, and confirm system requirements and business processes;
Negotiate acceptance criteria with the stakeholders;
Produce high quality and concise requirements and design documents which accurately reflect the business requirements and can be clearly understood by internal or external Solution Developers;
Take the lead in producing User Requirement Specifications, Software/System Requirement Specifications (URS/ SRS) and Feature Lists documentation.
2. Compensation & Benefits
Saturday & Sunday OFF, Overtime pay is 150%, 200%, 300% as per labor law;
Salary review 2 times/ year, based on work performance and company’s performance;
Performance bonus, 13th- month salary, public holidays bonus (2/9, 30/4, 1/5, 1/1); bonus for Excellent Employee and Excellent Team;
Social insurance, health insurance, unemployment insurance and Bao Viet care insurance;
01 hour paid leave per day for women having children under 12 months
Minimum 14 paid leaves per annum for all employees after probation;
Nice & modern working space with young, dynamic & friendly colleagues and free coffee, tea, drinks;
Yearly company trip and year-end party, quarterly team building and weekly eating together; English – Japanese Club, Sports Clubs;
Men’s Day, Women’s Day, Children’s Day, Mid-Autumn Festival and other benefits under the provisions of the company;
Flat, open and sharing culture with friendly management team; outsourcing company with product mindset;
Training courses and working opportunities with technical gurus who built and operated world-class applications with millions of users. This might be a good chance for graduated students to learn cutting-edge technologies and how to build scalable system from scratch;
3. Requirements
1+ years of experience as business analyst for business application platforms;
Experience in UML design, data modeling, and user stories;
Proven ability in typical business analyst skills such as requirements engineering, business process analysis, and modeling techniques;
Effective verbal and spoken communication skills;
Excellent command of English language skills (writing, speaking, listening and reading).

Contact the job poster
Nga Tran 2nd
Urgent looking for PM, Teachlead, Frontend, Nodejs, Reactnative, Python, BA, DevOps Position.
Job Poster Location
Vietnam
Send InMail"
2948604429|Senior Business Analyst (MS1)|Ho Chi Minh City, Vietnam|Techcombank (TCB)|Full-time · Mid-Senior level|"About the job
I. RESPONSIBILITIES
- The job holder responsible for application development: Directly consulting and analyzing development requirements from business units, ensuring complete and effective conversion of business unit requirements into application requirements.
- The job holder responsible for user support: Directly support users in daily activities, ensuring users' problems are handled as quickly as possible, meeting their business needs
- Receive requests to develop and improve products, processes, and features from business units. Analyze and advise business units the most effective plan to fulfill requirements.
- Talk to the development department to design a solution for these requirements. Develop detailed requirements specification in a language suitable for programmers (developer); Ensure development
requirements are clear and technologically feasible.
- Participate in coordination with the professional unit to check the development results, to ensure that the application meets the requirements agreed with the business unit. The role will be the central point of contact between the technical Marketing Technology team and the broader business. It will support the technical Marketing Technology team in implementing and managing a range of pieces of software.
- Prepare and issue user manuals for technology products.
- Participate in direct training on products and technology features for IT support department and professional staff if necessary
- Participate in technology projects as assigned. The role will provide Campaign Management and executional support to the Digital Media team. You will be the lead in implementing and managing new and existing Digital Marketing Technology
- Participating in the development of business processes and guidelines of the Unit.
- Participate in technology risk handling as assigned.
- Perform other tasks as required by management.
II. REQUIRMENT
Qualifications
- Graduated from University or above.
- Business analysis certificate preferred.
Work Experience
- Minimum 5 years in related field, prefer candidate have experience with Digital Marketing domain
Foreign language
- English/ according to TCB's regulations in each period
Contact the job poster
Bui Hang 2nd
Senior Talent Aquisition at Techcombank (TCB)
Job Poster Location
Hanoi, Hanoi, Vietnam
Send InMail"
