id|jobTitle|location|company|type|description
3003401999|Data Analyst|Hanoi, Hanoi, Vietnam|HOUSELINK JSC|Full-time|"About the job
Job description
Market Insights is a systhesis of HOUSELINK studies and reports on the construction market, providing enterprises with an overview and detailed data on the market context, related segments, ranking and assessing potential customers, thereby supporting and advising businesses on the right business direction for their products.

1. Description:

Control quality of company data

Create questionnaires, survey customers, research periodic customers insights

Process data and provide input for research reports

Synthesis, analyze data and make reports.

2. Requirement:

Good communication skills in English or Chineses

Skills in collecting and processing any type of data from many different sources

Work independently

Dynamic, teamwork, and willing to learn, to develop.

Probationary period: 02 months

3. BENEFITS:

13th payment and performance bonus

Negotiable & Attractive Salary Package

Lunar Year Allowance (Tet Holidays)

Birthday Celebration Gift.
Contact the job poster
Giang Thi Thu Dao
Student at National Economics University (NEU) Vietnam
Job Poster Location
Hanoi, Hanoi, Vietnam
Send InMail"
3008538703|Data Analyst|Hanoi, Hanoi, Vietnam|Vin3S|Full-time|"About the job
DATA ANALYST

Objective
• Apply analysis, problem solving methods, processes, and systems to consolidate and analyze, visualize data to generate insights to improve customer experience and business operation.

Responsibilities
• Assess the effectiveness and accuracy of data sources and data gathering techniques.
• Analyze and interpret patterns in complex data sets to identify what has happened to the business, why it happened for the purpose of performance management.
• Use data visualization tools and techniques to generate dashboards, reports and presentations that aid in data storytelling to enable stakeholders understand the pattern of data, analytical findings, recommendations.
• Create and maintain statistical models for ongoing and ad hoc review and analysis of data. • Assist senior Data Scientists to develop Machine Learning models.
• Develop processes and tools to monitor and analyze model performance and data accuracy.

Qualification and experience
• Bachelor’s degree in Business Analytics, Business Information System, Computer Science, or Quantitative Analysis.
• At least 4 years of relevant experience in areas of data analysis, reporting and planning.
• Experience in querying databases and using programming languages such as R, Python, Scala, SQL.
• Experience with Google Analytics, Google Cloud Platform, Graph Database is highly preferred.
• Experience in data management, data modelling, ETL and analysis functions.
• Experience with data analysis and BI tools such as Tibco, or Tableau, or QlikView.
• Understanding of information security principles to ensure data privacy compliance is a plus.
• Strong understanding of Agile principles, practices, and scrum methodology
• Experience working in Agile teams to support digital transformation projects
• Proficient in English is highly preferred.
Contact the job poster
Thao Dinh 2nd
Vingroup
Job Poster Location
Hanoi, Hanoi, Vietnam
Send InMail"
2989649562|Data Analyst|Hanoi, Hanoi, Vietnam|HOUSELINK JSC|Full-time|"About the job
Market Insights is a systhesis of HOUSELINK studies and reports on the construction market, providing enterprises with an overview and detailed data on the market context, related segments, ranking and assessing potential customers, thereby supporting and advising businesses on the right business direction for their products.

1. Description:

Control quality of company data

Create questionnaires, survey customers, research periodic customers insights

Process data and provide input for research reports

Synthesis, analyze data and make reports.

2. Requirement:

Good communication skills in English or Chineses

Skills in collecting and processing any type of data from many different sources

Work independently

Dynamic, teamwork, and willing to learn, to develop.

Probationary period: 02 months

3. BENEFITS:

13th payment and performance bonus

Negotiable & Attractive Salary Package

Lunar Year Allowance (Tet Holidays)

Birthday Celebration Gift.
Contact the job poster
Giang Ha
Market Researcher at HOUSELINK JSC
Job Poster Location
Hanoi, Hanoi, Vietnam
Send InMail"
2987062831|Data Analyst|Ho Chi Minh City, Ho Chi Minh City, Vietnam|L'Oréal|Full-time|"About the job
Unique opportunity to learn at a fast pace and have a real impact on business at early career stage.
This role reports directly to the Head of Online Business.
The role is expected to be hands-on, largely an individual contributor who can take full ownership of the key Data Project from Data Project Design to implementation, under supervision of the LUXE Product Division.
The Data Analyst will have the occasion to be in touch with a wide range of data set across multiple verticals: eCommerce, media, social, CMI essentially. Hence, the collaboration within the Ecom LUXE team members and stakeholders outside the team re vital to the success of the role.
The Data analyst will lead cross functions & cross LUXE brands projects and will leverage Data analysts from our Brand Teams for the success of the projects.
Good vibes, good energy is a must. Our ideal candidate is a data specialist with an ability to work with a wide diversity of dataand is analytical & problem-solverwho is able to bring to life the most innovative data projects to accelerate our business growth.
Preferred Profile
3+ years hands-on experience in a similar business analyst role with a strong focus on business intelligence or data analysis
3+ years hands-on experience in querying and working on large datasets
3+ years of hands-on experience in designing and building data visualization by using Power BI or similar visualization tools
Proven experience on end-to-end (full lifecycle) data projects
Experience in working directly with business stakeholders incl. sponsors and business leads/ project managers
Good command of spoken and written English
Proven ability to handle multiple projects concurrently
Ability to drive demand/projects, analyze complex problems, and communicate plans and findings to internal customers/stakeholders
Adaptability to thrive in a fast-paced, dynamic environment
Fast learner and eager to try new things
Pro-active, Self-motivated & Problem-solving attitude
Technical Skills
Power BI, SQL, Python is a must.
Customer segmentation: using relevant data models to segments customers into actionable groups
Real-time analytics: tracking target delivery and spot out the trends for quick actions
Predictive analytics: apply statistical techniques to predict demand change triggered by different marketing initiatives.
LI_VNM"
3002408921|Business Data Analyst Intern|Ho Chi Minh City, Ho Chi Minh City, Vietnam|BAEMIN Vietnam (Woowa Bros.)|Internship · Internship|"About the job
BAEMIN is a rising tech unicorn invested by Woowa Brothers, Korea's number 1 food delivery on the business world's map of FoodTech. As we are expanding and ambitious to reach our new milestones, we are acquiring talents who are self-leading, confident and outstanding to accompany us on this journey.

Get to know the role:

The Business Data Analyst Intern is responsible for supporting strategic projects and day-to-day business with data analysis and other data operations.

Responsibilities:
Data analysis:
Uncover actionable insights through analyzing business data (orders, users, restaurants) and communicate results to decision makers;
Continuously look for opportunities to improve data reporting quality and overall business profitability;
Perform ad-hoc data tasks as requested.
Data service:
Build and maintain dashboards/tables/automation scripts/other infrastructures for data;
Work with stakeholders from different teams to provide/access necessary data.
Other tasks assigned by line manager

Qualifications:
Education:
High school diploma
Experience:
Previous data-related internship is a plus
Skills/ Knowledge:
Intermediate SQL (experience with BigQuery is a plus);
Data visualization tools (experience with Data Studio is a plus);
Intermediate Excel/Google Sheets;
Experience with Python and Jupyter Notebook is a plus;
Great English skill (IELTS 7 or higher), Native in Vietnamese;
Effective verbal and written communication;
Intra-team and cross-team collaboration;
Attitude:
Detail-oriented, responsible, curious, independent, quick to pivot.
Working Location:
Friendship Building, 31 Le Duan, Ben Nghe Ward, Dist 1, HCMC

If you are self-leading, eager to learn, dare to fail and willing to take any initiatives and transform it into business impact, join us now!"
2972727017|Fresher Data Analyst|Hanoi, Hanoi, Vietnam|Viettel Big Data Analytics Center (DAC)|$0/month - $3,000/month · Full-time|"About the job
This job is sourced from a job board. Learn more
Mô tả công việc: Xử lý, làm sạch và đảm bảo chất lượng dữ liệu sử dụng cho phân tích và đầu vào model Phối hợp với bộ phận Kinh doanh xác định nhu cầu kinh doanh, mục đích campaign và dữ liệu phù hợp nhằm thiết kế campaign tác động khách hàng cuối Thực hiện thống kê mô tả và thông kê suy luận (descriptive & inferential statistics), đưa ra insight từ dữ liệu Phối hợp Data Scientist xây dựng model: đưa ra yêu cầu, mô tả model; giải thích nghiệp vụ bài toán và nghiệp vụ dữ liệu; đánh giá kết quả đầu ra model Trình bày insights và đề xuất phương án để nâng cao trải nghiệm khách hàng và dịch vụ Xây dựng các chỉ số, thiết kế dashboard theo dõi kết quả kinh doanh và kết quả campaign Lên kế hoạch thực hiện các chương trình triển khai, tác động sample test/pilot Xây dựng các giải pháp ngắn hạn và dài hạn để giải quyết những vướng mắc của kinh doanh Yêu cầu: Tốt nghiệp ĐH chính quy loại Khá trở lên chuyên ngành: Khoa học dữ liệu, Khoa học máy tính, CNTT, Toán học ứng dụng, Điện tử viễn thông hoặc chuyên ngành khác liên quan; Trình độ tiếng anh: TOEIC tối thiểu 550; Kiến thức về thống kê, các phương pháp phân tích đánh giá dựa trên thống kê. Kiến thức về các dạng bài toán phân tích dữ liệu và đầu ra đánh giá model tương ứng Kiến thức về phân tích khám phá dữ liệu (Exploratory Data Analysis - EDA) Kỹ năng sử dụng ngôn ngữ SQL Kiến thức về các loại CSDL (RDBMS, NoSQL, ...) là một điểm cộng Kiến thức về xử lý dữ liệu phân tán, xử lý dữ liệu lớn (Hadoop, Spark) là một điểm cộng Kỹ năng sử dụng một công cụ trực quan hóa dữ liệu (Tableau, QLikView, PowerBI, ...) Kỹ năng giao tiếp, thuyết trình, trình bày vấn đề trực quan, ngắn gọn, hiệu quả Chính sách đãi ngộ: Dẫn đầu thị trường
Cơ hội được làm việc tại Tập đoàn tiên phong mở đường , kiến tạo tương lai thông minh, gắn kết của Việt Nam.
Cơ hội được thử sức trong những lĩnh vực công nghệ tiên tiến, hiện đại nhất.
Được tham gia vào các dự án, sản phẩm đã từng đạt giải thưởng như: Upsell, Crossell, Tìm kiếm khách hàng tiềm năng, Dự đoán thuê bao có khả năng rời bỏ dịch vụ nhằm ngăn suy giảm doanh thu,… Môi trường năng động sáng tạo
Môi trường làm việc cởi mở và năng động, khuyến khích trao đổi ý tưởng ở mọi cấp, cho phép bạn làm việc, sáng tạo theo cách riêng.
Được khơi gợi cảm hứng làm việc với văn phòng xanh, không gian mở, hiện đại tiêu chuẩn quốc tế.
Nơi hội tụ của các Data Scientist, Big Data Engineer, Software Engineer hàng đầu với nhiều năm kinh nghiệm trong các lĩnh vực khác nhau, các kỹ sư thiết kế, phát triển phần mềm mới tốt nghiệp xuất sắc từ các trường Đại học top đầu với khát vọng đánh dấu vị thế của CNTT Viettel nói riêng và Việt Nam nói chung trên bản đồ CNTT thế giới. Chế ngộ đãi ngộ hấp dẫn, cạnh tranh
Thu nhập hấp dẫn, thỏa thuận tùy theo năng lực ứng viên, up to $3000/tháng; review tăng lương 6 tháng/lần theo hiệu quả công việc;
Được thư giãn, khơi nguồn sáng tạo với Happy Time mỗi ngày .
Được đào tạo, định hướng chuyên môn thường xuyên; được hỗ trợ kinh phí các khóa học và chứng chỉ quốc tế; cơ hội tham dự các hội thảo trên Thế giới về Dữ liệu lớn
Cơ hội tham gia gắn kết với tập thể, tổ chức với các hoạt động team building thú vị
Chế độ chăm sóc y tế đặc biệt cho CBNV và người thân với trang thiết bị hiện đại.
Địa chỉ: Tầng 42 Keangnam, Phạm Hùng, Hà Nội"
2975689702|People Data Analyst(Bangkok based, relocation provided)|Hanoi, Hanoi, Vietnam|Agoda|Full-time · Associate|"About the job
About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get To Know Our Team

The People Team is a purveyor of opportunity, searching the globe for the most talented individuals and offering them an open, collaborative workplace. By prioritizing skill and potential, we have cultivated a powerful assembly of professionals through our drive for equal opportunity and diversity. We make the move to Agoda a breeze with assisted onboarding programs, and we continue to support and enrich our thousands of Agoda employees through individual growth with outstanding learning programs and various means of assistance. Our development of incredible benefits has ensured everyone can stay strong, healthy, and happy during their time at Agoda. Leading ambitious changes and making a positive impact in the lives of our employees, the People Team is a crucial and rewarding part of the Agoda family.

The data analyst will contribute to the Forecasting and Budgeting process for Workforce Planning and progressive improvement of the tools and capabilities of the team. This role collaborates closely with Finance and People team stakeholders that planning is aligned with Agoda’s strategic goals and budget preparation. The rapid growth of the business and the increasing complexity driven by new launches and services make this an exciting, and challenging proposition.

Deliver reports and impactful insights to the operational Budgeting and Workforce planning
Partnering with P&A and People team stakeholders
Become familiar with processes and technology in support of Analytics products
Bachelor’s degree required
At least 2-3 years of experience as data /reporting analyst with SQL querying proficiency
High level of discretion, confidentiality and ethics
Ability to work well with employees in a highly multi-cultural environment
Strong attention to detail and accuracy
Excellent communication and presentation skills
Be self-driven with strong ability to analyze and resolve complex problems
Experience with Tableau visualization
Experience with Vena software
Workforce planning and Budgeting experience

#STRA#ANLS#MRKT#3 #sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #washdc #tirana #yerevan #sydney #melbourne #perth #vienna #graz #linz #baku #minsk #brussels #antwerp #ghent #charleroi #liege #saopaolo #sofia #toronto #vancouver #montreal #shanghai #beijing #shenzhen #zagreb #cyprus #prague #Brno #Ostrava #copenhagen #cairo #alexandria #giza #estonia #helsinki #paris #nice #marseille #rouen #lyon #toulouse #tbilisi #berlin #munich #hamburg #stuttgart #cologne #frankfurt #dusseldorf #dortmund #essen #Bremen #leipzig #dresden #hanover #nuremberg #athens #hongkong #budapest #bangalore #newdelhi #jakarta #bali #bandung #dublin #telaviv #milan #rome #naples #turin #palermo #venice #bologna #florence #tokyo #osaka #yokohama #nagoya #okinawa #fukuoka #sapporo #amman #irbid #riga #beirut #tripoli #vilnius #luxembourg #kualalumpur #malta #chisinau #amsterdam #oslo #jerusalem #manila #warsaw #krakow #sintra #lisbon #porto #braga #cascais #loures #amadora #almada #doha #alrayyan #bucharest #moscow #saintpetersburg #riyadh #jeddah #mecca #medina #belgrade #singapore #bratislava #capetown #johannesburg #seoul #barcelona #madrid #valencia #seville #bilbao #malaga #oviedo #alicante #laspalmas #zaragozbanga #stockholm #zurich #geneva #basel #taipei #tainan #taichung #kaohsiung #Phuket #bangkok #istanbul #ankara #izmir #dubai #abudhabi #sharjah #london #manchester #liverpool #edinburgh #kiev #hcmc #hanoi #sanaa #taiz #aden #gibraltar #marrakech #lodz #wroclaw #poznan #Gdansk #szczecin #bydgoszcz #lublin #katowice #rio #salvador #fortaleza #brasilia #belo #belem #manaus #curitiba #portoalegre #saoluis data representation data analysis SQL data analytics analytics python (programming language) data mining data science r (programming language) tableau analytical skills data visualization databases business analysis business intelligence (bi) microsoft sql server machine learning statistics microsoft power bi java finance shopee traveloka google facebook ctrip trip.com makemytrip grab amazon pandas (software) artificial intelligence (ai) information technology capital one accenture upwork deloitte mckinsey bain microsoft uber lyft gojek lazada alibaba shopify expedia skyscanner

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
2972731110|[Fresher] Nhân Viên Phân Tích Thiết Lập Dữ Liệu – Data Analyst|Hanoi, Hanoi, Vietnam|Hanesbrands Inc. ( Hys)|Full-time · Associate|"About the job
This job is sourced from a job board. Learn more
MÔ TẢ CÔNG VIỆC Các trách nhiệm chính/ List Primary Responsibilities/Accountabilities
Xây dựng , phát triển, bảo trì và hướng dẫn hỗ trợ sử dụng các công cụ phần mềm quản lý theo yêu cầu công việc của tập đoàn./Develop, maintain provide guidance and support data tools as per regional and global requirement .
Xây dựng các phần mềm quản lý cho các phòng ban liên quan./ Develop data supporting as per requirement from functional departments
Duy trỉ và nâng cấp các phần mềm hiện có theo yêu cầu công việc ./ Maintain and upgrade data supporting tools as per work requirement
Làm các báo cáo dựa trên nguồn dữ liệu đã có và theo yêu cầu của US, các nhãn hàng và các văn phòng khu vực./ Converting big data into reports as per requirements Making multiple reports as per request by US team, Brands and other regional office.
Các nhiệm vụ khác khi được yêu cầu./ Other tasks if required YÊU CẦU CÔNG VIỆC Yêu cầu kinh nghiệm làm việc/ Kỹ năng / Trình độ/ Experience/Skills/Education Requirements
Tốt nghiệp đại học chuyên ngành thông tin, kinh tế, kỹ thuật hoặc những ngành có liên quan đến CNTT./ University degree in informative technology, economics, technology or informative technology related fields prefered
Thành thạo MS Office đặc biệt là các công cụ phân tích của excel, Power BI, Access hoặc các ngôn ngữ phần mềm khác… , especially data anlysis function in Excel / Proficient in MS office.Power BI, Access and other software language…
Có khả năng viết báo cáo và giao tiếp tốt bằng tiếng Anh với đồng nghiệp ở các khu vực khác trên thế giới và tại Mỹ./ Ability to make analysis report and communication in English with counterpart at other regional and US .
Cẩn thận, chú ý đến các chi tiết./ Being careful, can pay attention to details
Có kỹ năng tốt về phân tích và giải quyết vấn đề./ Strong analytical and problem solving skills
Có thể thực hiện đồng thời nhiều công việc và điều chỉnh theo thay đổi/ability to do multi-task and adapt with changes ĐỊA ĐIỂM LÀM VIỆC Hà Nội, Việt Nam Chinh Nghia, Kim Dong, Hung Yen"
2911002527|Data Analyst|Hanoi, Hanoi, Vietnam|Ninja Van|Full-time · Entry level|"About the job
Ninja Van is a tech-enabled logistics company on a mission to provide hassle-free delivery services for businesses of all sizes across Southeast Asia. Launched in 2014, we started operations in Singapore and have become the region's largest and fastest growing last-mile logistics company, partnering with over 35,000 merchants and delivering more than 1,000 parcels every minute across six countries.

At our core, we are a technology company that is disrupting a massive industry with cutting-edge software and operational concepts. Powered by algorithm-based optimisation, dynamic routing, end-to-end tracking and a data-driven approach, we provide best-of-class delivery services that delight both the shippers and end customers. But we are just getting started! We have much room for improvement and many ideas that will further shape the industry.

We’re looking for a talent to join our young, dynamic team. You must be mature and passionate about how to make thing done perfectly, sometimes you have to be kind of workaholic, since the workloads here is huge, yet very challenging. You will be working with a lovely team from all provinces across North and North Central region. We prize team-first mentality, personal responsibility, and tenacity to solve hard problems and meet deadlines. As part of a large team, you will have a very direct impact on the success of the company.

Responsibilities
Managing master data, including creation, updates, and deletion.
Helping develop reports and analysis.
Managing and designing the reporting environment, including data sources, security, and metadata.
Supporting the data warehouse in identifying and revising reporting requirements.
Supporting initiatives for data integrity and normalization.
Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.
Generating reports from single or multiple systems.
Troubleshooting the reporting database environment and reports.
Evaluating changes and updates to source production systems.
Training end-users on new reports and dashboards.
Providing technical expertise in data storage structures, data mining, and data cleansing.
Requirements
Proficiency in SQL and Reporting tool such as Power BI / Google Studio
At least 1 year experience working as DA
Ability to work under high pressure
Good at communication as well as can persuade people
Can adapt at a fast-changing environment with tight deadlines and limited resources.
Team-work is a key, but solo is also a requirement
Willing to learn, willing to do
Good MS Office skills, especially in Excel
University Degree holder
Strong, independence, willing to do
Mature both in mind-set as personality
Good computer typing skills (MS Office, in particular)
Excellent organizational skills
Strong communications skills
Basic English
Submit a job application

By applying to the job, you acknowledge that you have read, understood and agreed to our Privacy Policy Notice (the “Notice”) and consent to the collection, use and/or disclosure of your personal data by Ninja Logistics Pte Ltd (the “Company”) for the purposes set out in the Notice. In the event that your job application or personal data was received from any third party pursuant to the purposes set out in the Notice, you warrant that such third party has been duly authorised by you to disclose your personal data to us for the purposes set out in the the Notice."
3012577496|Outbound Sales Data Analyst|Hanoi Capital Region|Pleo|Full-time · Entry level|"About the job
At Pleo we like to build. Like, a lot.

As is one of the fastest growing spend management SaaS in Europe, and we need you to help us launch Pleo to the next stratosphere.

How are we doing this?

Building out a world class Revenue Operations function to set people up for success in order to deliver great distribution experience across the end2end customer life-cycle which results in unlocking true growth potential & improving customer lifetime value.

Outbound sales data analyst role is a relatively new function in Pleo and is nestled under the Marketing Operations domain and its main objective is to ensure SDR effectiveness and efficiency.

As the go to data analyst, you will work closely with the SDR ops manager and SDR leadership team in designing and implementing tracking, analysing, and reporting on SDR process KPIs and delivering actionable insights and recommendations to SDR leadership to inform decision-making

You’ll be an individual contributor reporting to our Head of Marketing and SDR operations , and will have a pivotal role on directly impacting our outbound SDR sales activities

In this role, you’ll have the opportunity to make a real impact on the future of one of Europe’s fastest growing FinTech Unicorns. So if all of this has got you nodding your head and feeling excited, we’d love for you to click apply and make the introduction.

What You’ll Be Doing
Create and implement reporting and dashboards for the SDR organisation that focuses on improving efficiency, effectiveness, and productivity
Enable regional and functional SDR teams with at-scale dashboards, tools, insights, and analysis.
Be a collaborative business partner and act as the subject matter expert for all things data.
Contribute to building analysis to provide actionable insights to SDR leadership team
Assist in creating data flows, standard campaign operating procedures, and project-related requirements
Maintain data integrity within prospect and customer records in CRM and other systems
Monitor data health and data compliance and governance
Maintain and evangelise communication best practices for SDR functions
Drive operational excellence in business by identifying, establishing, and maintaining scalable, repeatable process improvements.
Ensuring that all data is stored in a compliant manner with Pleo’s data storage policy and that any data transferred is in a secure manner
What We Look For In You
3-4 years experience working as data analyst, experience in sales operation or advertising or media or tech platform is a big plus but they are open for any business data analyst across operations, finance, consulting or strategy
Experience in Business Intelligence (BI) engineering, including building infrastructure, data pipelines, and assets through change control
Experience with writing SQL queries, including creating and maintaining tables
Experience with analysis or business intelligence tools, including dashboards, spreadsheets, Looker, Tableau, or similar
You enjoy a busy and dynamic working environment and enjoy working collaboratively with various departments
You have experience working with complex data sets, deriving insights with great attention to detail
Able to work independently, self-motivated and detail-oriented
Good communicator that translates results into easily digestible messages for management presentations
Why work here?

Working at Pleo means you're working on something very exciting: the future of work. Through fintech we've seen a way to impact how people work; we think company spending should be delegated to all employees and teams, that it should be as automated as possible, and that it should drive a culture of responsible spending. Based on some pretty amazing Series C-round investment in 2021 we think we're onto something big.

So, in a nutshell, that's Pleo. Today we are a 500+ team, from over 54 nations, sitting in our Copenhagen HQ, London, Stockholm, Berlin, Madrid, Montreal, or Lisbon offices – and quite a few full-time remotes in 22 other countries! Being HQ'd out of Copenhagen means we're inspired by sensible things like a good work-life balance. If you don't work in the office with us we'll help you get up the best remote setup possible, and will fly you in for our amazing team camps ✈️

Things to look up about us

Sometimes, we win awards 🤩 🏆

If you want to know how we hire company-wide, there's a post on our blog.

Or have a sneak peek into what happens when get together for Pleo Team Camp on our YouTube 👈🏾

Check out what we think about the realities of working remotely on our blog.

No one says it quite like our customers. Hear what they have to say this week on Trustpilot.

Also, check out Glassdoor if you'd like to hear about us from other people.

PS. we treat all candidates equally: If you are interested please apply through our application system - any correspondence should come from there! Our lovely support isn't able to pass on any calls/ emails our way - and this makes sure that the candidate experience is smooth and fair to everyone 🙂

When you submit the application the personal data in your application will be collected by Pleo as a data controller. Your personal data will be processed for the purposes of managing Pleo’s recruitment related activities which includes setting up and conducting interviews and tests for applicants, assess and review such candidates and similar activities needed in the recruitment and hiring process. Your personal data will be shared with Greenhouse Software, Inc., a cloud services provider engaged by Pleo to help manage its recruitment and hiring process. For more information about how Pleo processes personal data and information about your rights etc, please see Pleo’s Privacy Policy (link to: https://pleo.io/legal-terms/latest/privacy-policy/pleo-privacy-policy-en.pdf).

By submitting your application, you consent to Pleo processing your personal data for recruitment purposes and to store such personal data for up to 12 months, unless we receive a request of erasure of the data from you, in case Pleo would like to contact you regarding future job openings."
