id|jobTitle|location|company|type|description
2987770247|Data Engineer|Hanoi, Hanoi, Vietnam|APERO|Full-time|"About the job
Responsibilities
Xây dựng và bảo trì hệ thống dwh của công ty, sử dụng google bigquery
Collect yêu cầu tracking từ marketing hoặc PO, lên phương án tracking data và làm việc với team dev để setup việc collect data
Thu thập dữ liệu từ các nguồn khác nhau về DWH
Qualifications
Có ít nhất 2 năm kinh nghiệm làm việc trong lĩnh vực data engineering
Thành thạo google firebase, bigquery
Có kinh nghiệm làm việc với ít nhất 1 trong các ngôn ngữ: Java, Python
Có kinh nghiệm làm việc với SQL DB (MySQL, Postgres, Redshift) và NoSql DB (MongoDb, Redis, DynamoDB..).
Có kinh nghiệm làm việc với nhiều nguồn dữ liệu khác nhau là 1 lợi thế
Có kinh nghiệm phân tích data là lợi thế lớn
Benefits
Mức lương thỏa thuận hấp dẫn theo năng lực (25-40M)
Xét tăng lương 2 lần/ năm.
Thưởng định kỳ 2 lần/ năm
Tham gia các dự án chất lượng cao để phát triển bản thân.
Được trải nghiệm từ đầu quá trình khai phá và trở thành co-founder của hệ sinh thái game/app mobile hàng triệu download/tháng
Làm việc trong môi trường chuyên nghiệp cùng các đồng nghiệp giỏi, có nhiều kinh nghiệm.
Tham gia các hoạt động vui chơi giải trí, du lịch, team building, ăn uống cùng các thành viên trong công ty.
About Us
Startup về App và Game. - Thành lập 05/2020
Link giới thiệu về công ty: https://drive.google.com/file/d/1KRKRrEV217Uly7wd2OjQgouW5cFPXdSi/view?fbclid=IwAR1tspKGLoT28qqpjKknFnh6Iry6ZoSkfL6vxLaRXvSZRN9tHpkSmQaDXEg
Vision của công ty trong 3-5 năm sẽ trở thành top Tech Company in Vietnam and Asia
Link: https://play.google.com/store/apps/developer?id=TrustedApp
Link game store: https://play.google.com/store/apps/details?
Link andoroid app: id=com.pixel.art.coloring.by.number&fbclid=IwAR1QrloT7Uf6DKgoS8QnGljwuqr4vyEzgXnt389nv-tmtIcI8IqVqO2ZE3g
Link App: https://play.google.com/store/apps/dev?id=8737102155398054550
https://play.google.com/store/apps/developer?id=Apero+Games
Contact the job poster
Hòa Nhã 2nd
Technical Recruiter
Job Poster Location
Vietnam
Send InMail"
2975607931|Data Engineer|Hanoi, Hanoi, Vietnam|Picket Homes|Full-time · Entry level|"About the job
Picket is a technology-powered real estate company that is transforming the single-family home rental market at every stage of the value chain, from the way investors acquire and manage high-quality rental properties, to the quality, service, and flexibility residents enjoy when they live in them.

Our proprietary Decision Science platform uses advanced data science and machine learning to identify homes that fit investor criteria and optimize portfolio management and performance at scale.

Picket believes it should be easier to live where you want and love where you live, and we think that starts with a better way to rent. With innovative technology and a customer-first philosophy, we’re transforming the experience of renting a home at every stage of the value chain, from the way investors acquire and manage single-family rentals, to the quality, service, and flexibility residents enjoy when they live in them.

We are seeking an exceptional startup hybrid of quantitative analyst, data scientist, and software engineer to work closely with executives, real estate professionals, product managers, and engineers to build and implement dynamic models, algorithms, and analysis to predict fair market rental and sale prices, forward appreciation curves, and risk-adjusted investment projections through the incorporation of geo-spatial, financial, real estate, census, and any other relevant data sources, analytics and models. This person must embrace an unusual combination of advanced technologies and extreme pragmatism to solve hard problems quickly, iterating on improvement relentlessly.

Our computing environment consists of common technologies. Time-to-market is a top consideration, so we launch quickly and leverage current team knowledge. Each separable functional product area and tech team will have some latitude in its tech choices, and we support and encourage cross-team sharing and migration as per product priorities and individual passions.

We are hiring smart and passionate people who are flexible, eager, passionate, and customer-centric. We are looking for candidates who can communicate clearly in English and are driven, self-motivated, and willing to take on challenges head on. We are always open to any candidates as long as we believe that we would be able to provide you with an environment for you to grow, develop, and build our company together.

Picket is venture funded, and founded by a team of entrepreneurs and executives from top technology, real estate, and investment companies.

CULTURE
Entrepreneurial: demonstrates passion for customers, innovation, adaption, risk-taking, and bouncing back from failure. Ideal candidates have built their own tech project, regardless of size or success.
Self-determined: continuous self-learner, thrives in a vacuum, shows urgent ownership, operates autonomously, and delivers with discipline in office or remotely.
Communicates frequently, efficiently, openly, and critically in all formats.
Team Player: Ready to mentor, lead, and set a high bar for other team members, and conversely- ready to follow, learn from any, and correct misses.

SALARY & BENEFITS
Competitive compensation package with incentives, including stock options.
Open, flexible, and dynamic working environment.
Industry standard benefits for the health and well-being of our team members

We do not accept solicitations from third-party recruiters for any positions. A background check is required for this position. Picket is an equal-opportunity employer that celebrates diversity and we welcome applicants from all backgrounds.

At Picket Homes, we are building something new and different - come build with us."
2950870014|Data Engineer|Hanoi, Hanoi, Vietnam|Techcombank (TCB)|Full-time · Entry level|"About the job
Job Purpose
The job holder is responsible for developing programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from disparate sources and implement complex business logic as needed with the available data processing tools.
The job holder will be responsible for helping build a reliable, sustainable and scalable data processing platform, working with other tribe members to support data pipelines, convert models to machine learning codes and recommend Big Data reporting and visualization applications.
Key Accountabilities (1)
Data Architecture

Deliver functionality required for business and data analysts, data scientists and other business roles to advance the overall analytic performance and strategy of the bank

Assist in building best practices and strategies for data infrastructure to fulfill data analytic and utilization needs of the business with emerging latest technologies and capabilities.
Collaborate with relevant teams on opportunities to manage data and provide solutions for complex data feeds within the bank.
Maintain data integration processes into the data platform by building data pipelines and align with business representatives and business information needs.
Review internal and external business and product requirements for data operations and activity and suggests changes and upgrades to systems and storage to accommodate ongoing needs.
Key Accountabilities (2)
Data Integration
Obtain and integrate data and information from various sources into the firm’s platforms, solutions and statistical models.
Collaborate with Data Scientists to understand data requirements and create re-usable data assets to enable data scientists to build and deploy machine learning models faster.
Write scripts and ingest raw data to build and maintain optimized data pipelines and ETL solutions as business support tools in providing analysis.
Ensure data assets are organized and stored in an efficient way so that information is easy to access and retrieve.
Key Accountabilities (3)

Key Relationships - Direct Manager
Team Lead, Data Engineering; Senior Manager, Data Engineering

Key Relationships - Direct Reports

Key Relationships - Internal Stakeholders
Teams within the Data Office and relevant departments in the Bank

Key Relationships - External Stakeholders
Partners providing professional services

Success Profile - Qualification and Experiences
Qualifications
Bachelor’s or Master’s degree in Statistics, Mathematics, Quantitative Analysis, Computer Science, Software Engineering or Information Technology
Work Experience
5+ years of relevant experience with developing, debugging, scripting and employing big data technologies (e.g. Hadoop, Spark, Flink, Kafka, Arrow, Tableau), database technologies (e.g. SQL, NoSQL, Graph databases), and programming languages (e.g. Python, R, Scala, Java, Rust, Kotlin) with preference towards functional/trait oriented
English proficiency requirements are pursuant to Techcombank's policy
Experience in designing and building dimensional data models, ETL processes, applied data warehouse concepts and methodologies, optimized data pipelines and assisted the architect as needed
Experience monitoring complex system and solving data and systems issues having a consistent and algorithmic approach to resolving them
Deep understanding of Information Security principles to ensure compliant handling and management of all data
Experience working in Agile teams to support digital transformation projects, having a clear understanding of Agile principles, practices and Scrum methodologies
Has some know-how and partial scripting and coding experience to set up, configure và maintain a machine learning model development environment
Some experience architecting, coding and delivering high performance micro services and/or recommenders delivering recommendations to a large user-base"
2975673294|Data Engineer in Business Intelligence Team (Bangkok based, relocation provided)|Ho Chi Minh City, Ho Chi Minh City, Vietnam|Agoda|Full-time · Entry level|"About the job
About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know Our Team

The Data department oversees all of Agoda’s data-related requirements. Our ultimate goal is to enable and increase the use of data in the company through creative approaches and the implementation of powerful resources such as operational and analytical databases, queue systems, BI tools, and data science technology. We hire the brightest minds from around the world to take on this challenge and equip them with the knowledge and tools that contribute to their personal growth and success while supporting our company’s culture of diversity and experimentation. The role the Data team plays at Agoda is critical as business users, product managers, engineers, and many others rely on us to empower their decision making. We are equally dedicated to our customers by improving their search experience with faster results and protecting them from any fraudulent activities. Data is interesting only when you have enough of it, and we have plenty. This is what drives up the challenge as part of the Data department, but also the reward.

The Opportunity

As a Data Engineer in Business Intelligence Team, you will work closely with product managers and BI team to interpret business questions into data needed. You make a design, development, until support and maintain the data pipeline. You will work with variety of data sources, data technology and data tools both in-house and enterprise licenses to build data pipeline and generating data reports.

In This Role, You’ll Get to

Works professionally to understand data needed for finance data analytics and be able to design proper data pipeline solution which is measurable and scalable
Develop data pipeline on Bigdata platform by the following technology stack: Scala, Golang, Python3, scripting (Bash/Python), Hadoop, etc
Ensure delivered data achieve team’s standard quality checklist and always have visibility on it
Be responsive to work within a deadline
Keep catching up on data technology and have up to date data insight with the team

What You’ll Need To Succeed

Bachelor’s or advance degree in IT/Statistic related field
More than 3 years of experience in data technology
Fluent in English and Interpersonal skills
Experience in ETL tools or data pipeline language such as Python, Scala
Knowledgeable in using Databases and writing SQL queries
Good time management and multitasking skills
Self-motivation and ability to work well independently as part of the scrum team

It’s Great If You Have

Experience on data warehouse design
Experience with ‘Big Data’ technologies / tools Ex. Tensorflow)
Experience with third-party libraries and APIs
Experience with automate operation tasks with Shell Script, Python
Knowledge in business analysis or data modeling
Hungry to learn new tools, languages and technologies

#sydney #kyiv #melbourne #london #tokyo #dhaka #edinburgh #amsterdam #munich #moscow #dublin #seoul #hcmc #telaviv #moscow #taipei #manila

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
3003499444|Senior Data Engineer|Ho Chi Minh City, Vietnam|Amanotes|Full-time · Mid-Senior level|"About the job
ABOUT AMANOTES
We are Amanotes! A fast-growing startup in the music-tech industry. We seek to delight people with interactive music experiences. Since 2014, 30+ music games and mobile applications were published under our name with over 1 billion downloads worldwide and 95+ million monthly active users. In 2019, we were proudly listed as the #1 mobile apps publisher from Southeast Asia, the #1 music games publisher in the world, and one of the top 20 mobile apps publishers in the world across all categories.

If you love to work in a creative environment with music all around the corner, come join us!

Explore our products on Google Play and iOS App Store such as Magic Tiles 3, Dancing Ballz, and Tiles Hop.

OBJECTIVES
Every month we are proud to have millions of users around the world. When you join our company, you will contribute to our mission to give your best to all users. You will have the chance to work with top-class scientists, engineers, and domain experts and to drive the data science process of our technology end-to-end. We integrate the R&D workflow on state-of-the-art machine intelligence into product features and internal services aiming at understanding and personalizing the learning experiences of our users
The ideal candidate is an enthusiast of educational technologies with a background in software engineering and a skillset that blends cloud infrastructure, machine learning, and DevOps

WHAT YOU WILL DO
Design, build-up, implement, optimize and own the data/ETL pipeline with the rest of the Data Engineer team
Create and maintain the system pipeline and data documentation
Implement the system pipelines (Data Warehouse, Data Lake)
Engineer data platforms to automate/facilitate data related processes
Collaborate with business stakeholders, Data Analytics team, and AI/ML teams to build and implement deep learning models or algorithm focused data products (reusable assets) and solutions and deliver them right to the client
Work with external tech teams if any projects are needed Data Engineer team to join with

QUALIFICATIONS
3-4+ years of hands-on experience deploying production quality code
Experience with the following technologies: Python, Google Cloud Platform (included at least GCS, BigQuery), Airflow, DBT
Knowledge of JavaScript/ReactJS is a plus
Experience with Airflow or other pipeline orchestration software
Deep understanding of SQL and analytical Data Warehouses (BigQuery preferred)
Deep understanding, skills, and experience of deployment
Data Modelling for Data WarehousesData modeling skills - familiarity with major methodology i.e. Kimball, Inmon, Data Vault
Experience in working with Linux environment, Git
Experience and interest in Cloud platforms such as Google Platform, K8S, AWS, Azure or Databricks

WILL BE A PLUS
Experience in deployment data process CICD on Gitlab/Github/Bitbucket
Experience data-intensive projects in the AWS, GCP (AWS ecosystem, Hadoop ecosystem, K8S, GCS Data Lake)
Experience and knowledge in streaming ETL process are pluses (Kafka, Apache Spark, Pub/Sub, …)
Experience with BI/data visualization tools
Business mindset

WHY YOU'LL LOVE WORKING HERE
Attractive compensation & benefits
13th-month salary bonus and yearly performance bonus
12 days annual leave, 10 days sick leave per year
Flexible working hours & working from home policy (12 days/year)
Great allowances (lunch, parking, birthday, happy hours....)
Salary review one time per year based on employee's performance and contribution
Personal learning budget, entertainment budget, team building budget
Premium health care insurance
Music school for: piano, guitar, vocal, cajon, dancing, etc
Sport club: running club, tennis club, soccer club...
Global focus: you’ll work with people from 10+ countries on ideas that don’t have borders
Truly startup spirit: no bureaucracy, no hierarchy Everyone is a leader here, you have the freedom to pursue and achieve your goals
Other benefits as per stated in Vietnamese Labor Law"
3003494871|Senior Data Engineer|Ho Chi Minh City, Vietnam|Amanotes|Full-time · Mid-Senior level|"About the job
ABOUT AMANOTES
We are Amanotes! A fast-growing startup in the music-tech industry. We seek to delight people with interactive music experiences. Since 2014, 30+ music games and mobile applications were published under our name with over 1 billion downloads worldwide and 95+ million monthly active users. In 2019, we were proudly listed as the #1 mobile apps publisher from Southeast Asia, the #1 music games publisher in the world, and one of the top 20 mobile apps publishers in the world across all categories.

If you love to work in a creative environment with music all around the corner, come join us!

Explore our products on Google Play and iOS App Store such as Magic Tiles 3, Dancing Ballz, and Tiles Hop.

OBJECTIVES
Every month we are proud to have millions of users around the world. When you join our company, you will contribute to our mission to give your best to all users. You will have the chance to work with top-class scientists, engineers, and domain experts and to drive the data science process of our technology end-to-end. We integrate the R&D workflow on state-of-the-art machine intelligence into product features and internal services aiming at understanding and personalizing the learning experiences of our users
The ideal candidate is an enthusiast of educational technologies with a background in software engineering and a skillset that blends cloud infrastructure, machine learning, and DevOps
WHAT YOU WILL DO
Design, build-up, implement, optimize and own the data/ETL pipeline with the rest of the Data Engineer team
Create and maintain the system pipeline and data documentation
Implement the system pipelines (Data Warehouse, Data Lake)
Engineer data platforms to automate/facilitate data related processes
Collaborate with business stakeholders, Data Analytics team, and AI/ML teams to build and implement deep learning models or algorithm focused data products (reusable assets) and solutions and deliver them right to the client
Work with external tech teams if any projects are needed Data Engineer team to join with
QUALIFICATIONS
3-4+ years of hands-on experience deploying production quality code
Experience with the following technologies: Python, Google Cloud Platform (included at least GCS, BigQuery), Airflow, DBT
Knowledge of JavaScript/ReactJS is a plus
Experience with Airflow or other pipeline orchestration software
Deep understanding of SQL and analytical Data Warehouses (BigQuery preferred)
Deep understanding, skills, and experience of deployment
Data Modelling for Data WarehousesData modeling skills - familiarity with major methodology i.e. Kimball, Inmon, Data Vault
Experience in working with Linux environment, Git
Experience and interest in Cloud platforms such as Google Platform, K8S, AWS, Azure or Databricks

WILL BE A PLUS
Experience in deployment data process CICD on Gitlab/Github/Bitbucket
Experience data-intensive projects in the AWS, GCP (AWS ecosystem, Hadoop ecosystem, K8S, GCS Data Lake)
Experience and knowledge in streaming ETL process are pluses (Kafka, Apache Spark, Pub/Sub, …)
Experience with BI/data visualization tools
Business mindset

WHY YOU'LL LOVE WORKING HERE
Attractive compensation & benefits
13th-month salary bonus and yearly performance bonus
12 days annual leave, 10 days sick leave per year
Flexible working hours & working from home policy (12 days/year)
Great allowances (lunch, parking, birthday, happy hours....)
Salary review one time per year based on employee's performance and contribution
Personal learning budget, entertainment budget, team building budget
Premium health care insurance
Music school for: piano, guitar, vocal, cajon, dancing, etc
Sport club: running club, tennis club, soccer club...
Global focus: you’ll work with people from 10+ countries on ideas that don’t have borders
Truly startup spirit: no bureaucracy, no hierarchy Everyone is a leader here, you have the freedom to pursue and achieve your goals
Other benefits as per stated in Vietnamese Labor Law"
3010384727|Data Engineer (All Level)|Hanoi, Hanoi, Vietnam|Edso Labs - Enterprise Digitalization Solution Labs|Full-time|"About the job
Responsibility:
• Create and maintain optimal data pipeline architecture
• Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, redesigning infrastructure for greater scalability, etc.
• Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS/GCP/Azure ‘big data’ technologies. • Work with clients including the Executive, Product, Data, and Business teams to assist with datarelated technical issues and support their data infrastructure needs.
• Work with data and analytics experts to strive for greater functionality in our data systems.

Qualification:
• Experience in designing ETL pipeline
• Business English
• Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.
• Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
• Understand various data structures and common methods in data transformation
• Build processes supporting data transformation, data structures, metadata, dependency, and workload management.
• A successful history of manipulating, processing, and extracting value from large disconnected datasets.

Benefit and perk:
• Salary: Max 40Mil to Mem, min 40Mil to Lead
• Working time: 8:30-18:00 (off 1.5h from 12h to 13h30 for lunch) from Monday to Friday
• Flat and hierarchy structure
• Self-management is appreciated
• Friendly, innovative, and supportive environment
• Interesting projects
• 13th month salary, annual heath-check, insurance under Vietnamese Labor Law, monthly teambuilding
• B.I.C insurance package
• Psychological safety; Your ideas are always welcomed
Contact the job poster
Rosie Vu 2nd
Human Resources Specialist at Edso Labs - Enterprise Digitalization Solution Labs
Job Poster Location
Hanoi Capital Region
Send InMail"
2949802590|Data Engineer|Ho Chi Minh City, Vietnam|Senspark|Full-time|"About the job
Mô tả công việc:
Xây dựng cơ sở hạn tầng cần thiết để trích xuất, chuyển đổi và tải dữ liệu tối ưu từ nhiều nguồn dữ liệu khác nhau.
Phát triển hệ thống cơ sở dữ liệu phục vụ cho các hoạt động Game Marketing và Game Product của công ty.
Phối hợp với bộ phận Data Analyst, Marketing, Game Designer để xây dựng các công cụ hỗ trợ công việc báo cáo.
Tối ưu và đảm bảo tính chính xác, sự ổn định và bảo mật của dữ liệu.
Luôn cập nhật tình hình các thư viện hỗ trợ lấy dữ liệu (Firebase, Google Analytics, 3rd Party Ads API…).
Các công việc khác theo yêu cầu của cấp trên.
Yêu cầu công việc:
Ít nhất 3 năm kinh nghiệm về Data Engineer (ưu tiên có kinh nghiệm về mảng Game Mobile và Blockchain).
Tốt nghiệp đại học chuyên ngành về Khoa học máy tính, Thống kê, Tin học, Hệ thống thông tin… (ưu tiên tốt nghiệp các trường đại học Quốc gia).
Sử dụng thành thạo ngôn ngữ lập trình Javascript, SQL, app scripts.
Sử dụng thành thạo các công cụ thuộc hệ sinh thái Google như: Google BigQuery, Google Sheets, Google App Scripts, Google Data Studio…
Kinh nghiệm xây dựng và tối ưu hóa các kiến trúc và tập dữ liệu lớn.
Kinh nghiệm xây dựng các quy trình hỗ trợ và chuyển đổi dữ liệu, cấu trúc dữ liệu, siêu dữ liệu.
Kinh nghiệm về thực hiện phân tích nguyên nhân gốc rễ trên dữ liệu để xây dựng hệ thống hoàn chỉnh.
Kinh nghiệm sử dụng các dịch vụ đám mây Google Cloud, AWS, EC2 ..
Xử lý công việc độc lập và khả năng làm việc nhóm tốt.
Kỹ năng tư duy phản biện, thuyết trình tốt.
- Đọc, hiểu tài liệu tiếng anh tốt.
Quyền lợi được hưởng:
Lương: Upto 2000$.
Kèm bonus siêu to: Thưởng KPI, quý, lễ,thâm niên, dự án, đặt biệt thưởng Bcoin siêu hot.
Thưởng cuối năm theo HĐKD (năm 2021: Thưởng lên đến 08 tháng lương).
Hỗ trợ cơm trưa: 50.000 đ/ngày.
Bảo hiểm xã hội được công ty đóng 100%.
15 ngày phép năm, được hoàn tiền phép dư.
Miễn phí gửi xe tại tòa nhà.
Các bữa tiệc hàng tháng, team building, du lịch hàng năm, cùng nhiều sự kiện thú vị khác để gắn kết nhân viên.
Nhiều khu giải trí dành cho bạn xả stress: Máy chơi game Ps4, Bi Lắc… hoặc thả hồn trong những khu vườn thơ mộng tại Farm Club Senspark.
Sẵn sàng tạo điều kiện, khai thác tiềm năng để nâng cao giá trị của mỗi nhân viên.
Contact the job poster
Linh Pham 2nd
HR at senspark
Job Poster Location
Ho Chi Minh City, Vietnam
Send InMail"
2987711564|Data Engineer|Ho Chi Minh City, Vietnam|REVER|Full-time|"About the job
Yêu cầu:
1. Có kinh nghiệm, am hiểu về Big Data, Data-Warehouse, BI, Analytics, Data Mining, Hadoop Ecosystems/tools.
2. Có khả năng lập trình chuyên sâu Java, Scala, Python.
Ưu tiên:
o Ứng viên đã thực hành, có trải nghiệm vận hành khai thác các thành phần trong Hadoop Ecosystem.
o Có kinh nghiệm trong thiết kế, triển khai, tối ưu nhằm đảm bảo tính sẵn sàng (HA) của hệ thống/dịch vụ và tăng trưởng (Scaling) hệ thống/dữ liệu .
o Có kiến thức, kỹ năng cơ bản về Thống kê, Đại số tuyến tính và các phương pháp kỹ thuật trong Học thống kê (Statistical Learning);
o Có kiến thức, kỹ năng cơ bản về Phân tích Khám phá Dữ liệu (Exploratory Data Analysis) và Học máy (Machine Learning, Deep Learning).
o Có khả năng lập trình về Java, Scala, R, Python (Pandas, Numpy, Scikit-learn).
o Ứng viên thành thạo công cụ R, Python (Pandas, Numpy, Scikit-learn), chuyên sâu Scala/Java (Spark ML, Spark Streaming, H2O).
o Ứng viên sử dụng/thực hành các ML Frameworks/tools (tensorflow, torch, pytorch, keras, …)

Nhiệm vụ:
1. Xây dựng hệ thống thu thập số liệu, tổ chức nhà kho dữ liệu, xử lý streaming data.
2. Tham gia phát triển, triển khai, vận hành các dịch vụ/giải pháp trên nền tảng dữ liệu lớn.
3. Tham tích hợp, triển khai, vận hành, hỗ trợ các dịch vụ khai thác số liệu.
4. Thiết kê xây dựng hệ thống phân tích số liệu thông minh (Analytics, BI)
5. Nghiên cứu, xây dựng các giải pháp, các mô hình thực thi (dự đoán, phân lớp, phân cụm, v.v.) trên nền tảng BigData và Machine learning.
Contact the job poster
Quỳnh Như HR 2nd
Hirring E - Commerce and Communication
Job Poster Location
Ho Chi Minh City, Vietnam
Send InMail"
3007234883|Data Engineer|Ho Chi Minh City, Vietnam|EcoTruck - Ecosystem for Trucking|Full-time|"About the job
EcoTruck - a tech-driven logistics company focusing on first mile trucking. We are proud to be the leading ecosystem for trucking in Vietnam.
We are looking for people who is talented and hardworking to join our force to bring the efficiency to the industry through innovative business model and unique way of operating
What you will do in this role
Analyze requirements, design and develop a secure and standard data storage system.
Build data pipelines to convert and synthesize data from the company's existing system that can serve the queries and analysis quickly and easily.
Build a system to collect info from different sources that provide data for business analysis and development.
Collaborate with other software engineers, product owners, designers to build the product.
What we are looking for
Previous experience as a data engineer or in a similar role
Understanding Extract, Transform, and Load (ETL)
Familiar working with Restful API.
Familiar with Linux development environments.
Experience with SQL, NoSQL
Experience with queueing and messaging systems.
Knowledge about process developing feature
Nice-to-have
Experience with Elasticsearch.
Experience with Docker.
Benefit
Performance bonus
ESOP based on performance and contribution
Social insurance and health insurance (on 100% of gross salary)
Additional premium health care
Paid annual health checkup
Performance and salary review at least once a year
Monthly team building budget, which does NOT roll over
Birthday gift
Company trips and other team building activities (encouraged to do marathon or triathlon)
Office goodies including daily healthy snacks, good coffee and tea, healthy beverages, and a great office atmosphere
Contact the job poster
Tu Le 2nd
Senior Recruiter (Tech & Non-Tech)
Job Poster Location
Vietnam
Send InMail"
