id|jobTitle|location|company|type|description
1890819848|Data Scientist|Ho Chi Minh City, Vietnam|FPT Software|Full-time|"About the job


Role Description
The Forward Deployed Engineer is involved in the end-to-end life-cycle of a DX customer engagement. They are responsbile for capturing user needs, implementing solutions and rolling out to users. While no 2 days are the same in this role the expected activities at the different stages of a customer engagement would be:

Problem discovery phase: Go onsite and meet with customer analysts to understand the critical questions they need to answer and locate their biggest pain points. Perform problem exploration through user interviews, design thinking and value-stream mapping.

Solution exploration phase: strategise and iterate through different ways in which the presented problem could be solved. Support deployment strategist in building finalised solution vision and realistic MVP design. Evaluate and select best solution(s) based on risk and reward.

MVP Development Phase: Breakdown solution design and user-stories into actionable and understandable development tasks within an agile software development framework. Implement dev tasks assigned to you. Support the allocation of tasks to supporting teams. Perform regular feedback and iterations with customer on progress, demoing what has been done where possible. Ensure during development that the targeted value is always front and centre.
MVP Roll-out phase: Perform user-onboarding sessions, collect and capture feedback. Collect and prioritise feature requests based on the value they bring and the cost to implement. Manage bug reports and quickly make fixes where possible. Make value assessment on how the MVP is quantitively and qualitatively solving the targeted problem.

Scale and run phase: Breakdown solution design and user-stories into actionable and understandable development tasks within an agile software development framework. Implement dev tasks assigned to you. Support and lead handover with other FPT teams.

Skills and Competencies
We will be evaluating this position across 2 axes: the technical axis (experience in implementing technical solutions) and value axis (problem solving and business acumen). The position is more weighted towards the technical side but requires a minimum competence level in both. However, if you feel that you don’t completely meet all the requirements but could grow into the role, we will also assess your potential along the different axes.
Contact the job poster
Nghĩa Huynh 2nd
Looking for Junior/Fresher C#/ .Net developer
Job Poster Location
Ho Chi Minh City, Ho Chi Minh City, Vietnam
Send InMail"
2987200804|Data Scientist|Hanoi, Hanoi, Vietnam|Adecco|Full-time · Mid-Senior level|"About the job
Job Responsibilities
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Experience Requirements
Strong problem solving skills with an emphasis on product development.
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
Experience working with and creating data architectures.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Education requirements

We’re looking for someone with 5-7 years of experience manipulating data sets and building statistical models, has a Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative field

Contact Person
Thanhtu Nguyen
Adecco"
2996028795|Data Scientist (40000031)|Vietnam|Techcombank (TCB)|Full-time · Entry level|"About the job
Job Purpose
The job holder supervises the setup of analytical tools to generate insights for customer journeys and product enhancements using programming methods, processes and systems to consolidate and analyze unstructured, diverse Big Data sources.
The job holder is required to take initiative in experimenting various technologies and tools with vision of creating innovative data driven insights for the business at the quickest pace possible and keep current with technical and industry developments.
Key Accountabilities (1)
Data Solutioning
Evaluate effectiveness of proposed models and track business performance against data analysis model.
Build cutting-edge algorithms and work with machine learning and deep learning tools to deliver advance analytics solutions across the firm including recommendation engines, customized data models, customer journeys, graph modes, etc.
Drive application of machine learning and big data techniques across different journeys and squads.
Manage, execute, and review complex data science projects in an agile manner and in compliance with internal regulatory requirements.
Key Accountabilities (2)
Data Insighting
Lead the identification and interpretation of meaningful and actionable insights from large data and metadata sources.
Review processes and tools designed to monitor and analyze model performance and data accuracy.
Proactively lead discussions in 3+ squads to identify questions and issues for data analysis
Collaborate with Data Engineers to build complex, technical algorithms in data analytics software applications to improve work efficiency.
Key Accountabilities (3)
Projects Management
Manage project conflicts, challenges and dynamic business requirements to keep operations running at high performance.
Work with team leads to resolve people problems and project roadblocks, conduct post mortem and root cause analysis to help squads continuously improve their practices to ensure maximum productivity.
Talent Development
Mentor and coach Data Analysts into fully competent Data Scientists.
Identify and encourage areas for growth and improvement within the tribe.
Success Profile - Qualification and Experiences
Qualifications
Bachelor's or Master’s degree in Statistics, Mathematics, Quantitative Analysis, Computer Science, Software Engineering or Information Technology
Work Experience
7+ years of relevant experience in areas of data analysis, machine learning, deep learning model development on large amount of data, implementing and deploying various statistical models
English proficiency requirements are pursuant to Techcombank's policy
Deep experience in querying databases and using programming languages (e.g. C, C++, R, Python, Scala, SQL, Java, Tableau, R)
Extensive experience in building data and analytics solutions, data mining, statistical analysis and data visualization
Experience in application of machine learning and AI to questions related to the financial markets
Experience in providing fact-based insights to help senior management and other stakeholders realize enterprise value at scale
Deep experience in Agile Software Development and has mastery of Agile principles, practices and Scrum methodologies
Experience working in Agile teams to lead successful digital transformation projects, involved in the end-to-end planning to implementation"
2915344201|Data Scientist|Hanoi, Hanoi, Vietnam|Cốc Cốc|Full-time|"About the job
This job is sourced from a job board. Learn more
We are looking for a Data Scientist to join BI department with strong knowledge and experience in Analytics and Computer Science. The ideal candidate is adept at using state-of-art machine learning and data mining techniques, statistical analysis, and building high-quality prediction systems integrated with our products.
Furthermore, You will help us discover the information hidden in vast amounts of data, and make more intelligent decisions to deliver even better products. Our product’s growth with the scale of data creates a big opportunity and challenge for you to innovate using next generation technologies ( AI and Machine learning). Last but not least, you will work with our best data engineering, data analysis to support you for your career building path.
JOB DESCRIPTION
Exploratory data analysis:
Collect and analyze data from our products, services, market, and our advertising system.
Prepare reports that interpret our user behaviors, marketing trending, and product features.
Utilize Analytic tools and implement scripts to test your proposal hypothesis

Apply statistical and machine learning model to our CocCoc Product (Ad Department and Web Search Department):
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Implement appropriate Machine Learning algorithms and turn them into microservices in our production environments.
Research the optimization solution for Ad Network:

Research the ad allocation and ad matching over the AdNetwork.
Perform analysis and design the hypothesis to optimize AdNetworks user experiences, revenue generation, ad targeting and other business outcomes

JOB REQUIREMENTS

Required skills:
2-5 years working experience preferably as a Data Scientist or similar role in an IT company, University or Research Institute.
Highly analytical with a heavy emphasis on data mining and data visualization (Problem formulation, Analytical ability, Synthesis).
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Experience with common data machine learning framework (tensorflow, scikit-learn, NLP, etc).
Strong communication skills (good English communication skills is a plus).
BSc in Computer Science, Mathematics or similar field; Master’s degree is a plus.
Nice-to-have skills:
Knowledge or experience working on projects in:
Advertisement & AdNetwork, Online Marketing.
Computer Science (NLP, Machine Learning).

HIRING PROCESS:
Phone Screening > Home Assignment > Onsite Interviews > Offering
Contact the job poster
Giang Trịnh 2nd
Talent Acquisition Team Leader | Cốc Cốc
Job Poster Location
Hanoi, Hanoi, Vietnam
Send InMail"
2992585615|Data Scientist (Open for remotely)|Ho Chi Minh City, Vietnam|Pizza Hut Digital Ventures|Full-time · Mid-Senior level|"About the job
OPEN FOR WORKING REMOTELY

Who we are:
Pizza Hut Digital Ventures is looking for a passionate, driven, digital native to be a key part of driving growth on our digital platforms (Web, apps, and whatever the future may bring) through innovation and product optimization.
As a professional in this field you must be able to keep pace with a fast-moving IT landscape and possess a range of superior IT skills. You must be able to communicate effective strategies with a range of stakeholders. Further, you will be expected to identify gaps in current IT practices and recommend best practice solutions to reduce risk and maximize business opportunities.

The Job
You must be able to partner with key stakeholders in the business to completely understand context, and guide which business priorities we should address using data. You will serve as a domain expert and will develop a rapport with internal business partners as an essential, long-term part of the team.

Responsibilities:
As a data scientist, you will:
Partner with Pizza Hut (and other YUM! Brands) to identify opportunities to leverage company data to drive business outcomes
Play a key role in our advanced analytics team developing data science solutions, responsible for driving Yum Growth
Build predictive models to elevate the customer experience and drive revenue growth in our restaurants globally
Implement globally scalable, cross-brand solutions related to data science
Deliver solutions leveraging the latest machine learning (ML) techniques that can be productionalized at scale.
Collaborate with our Yum! data science teams to enhance, scale, and operationalize existing models.
Conduct and support white-boarding sessions, workshops, design sessions, and project meetings as needed, playing a key role in cross-functional business relations.
Work with colleagues from Vietnam, United Kingdom and the US
Responsible for processing huge volumes of data across all markets in PH
Apply machine learning techniques and build high-quality predictive/prescriptive systems

Qualifications
5+ years of experience in developing machine learning models for products.
In-depth knowledge of Python and SQL.
Knowledge of common data science Python libraries like NumPy, Pandas, PyTorch, and TensorFlow.
Deep understanding of supervised and unsupervised machine learning techniques, • Hands-on experience with neural networks, particularly for time series and recommender systems, preferred.
Experience building recommendation engine models for eCommerce business • Knowledge of the full data mining steps from data preparation, modeling, visualization, and interpretation.
Experience in integrating business analysis with technical solutions that involve advanced analytics solutions, demand forecasting, segmentation, churn prediction, predictive maintenance, and route optimization, etc.
Ability to work with key business stakeholders throughout the organization to identify opportunities for leveraging our data to drive business solutions by using advanced analytical methods.
Master's degree/Ph.D. in a highly quantitative field (statistics, computer science, etc.)
Nice to have
Experience with AWS & Scala

What we offer?
Annual Leave: 18 days/year
Probation Leave: 3 days/ 2 month
100% salary during probation period
Salary review: 2 times/year
13th-month bonus
Gift for birthday
Company Trip once a year
Full salary insurance
Generali Health Insurance
International working environment
Opportunity to onsite in Japan, US, UK, Indonesia, Philippines, Singapore, Malaysia
Support Laptop and Monitor
Contact the job poster
Uyên Văng 2nd
Looking for Security Engineer, Data Analyst, Data Scientist, Software Engineer,...
Job Poster Location
Vietnam
Send InMail"
2995885033|Data Scientist - a Global Biotech company|Ho Chi Minh City, Ho Chi Minh City, Vietnam|Michael Page|Full-time · Executive|"About the job
Our client is currently seeking for Data Scientist professionals with expertise in handling bigdata and good exposure on data modelling.

Client Details

The company presented over 25 years on the market of Biotechnology with HQ in Silicon valley.

Description

Generate and deliver output results from established data analysis pipelines by executing these pipelines at scale in a cloud environment.
Work with bioinformaticians to troubleshoot pipeline execution failures.
Troubleshoot pipeline execution issues and help improve error handling.
Ensure data are analyzed and reports are delivered in a timely manner.
Document all code, errors, and corrective actions carefully.
Contribute to improvement of existing or development of new modeling pipelines when qualified.
Manage and coordinate deliverables for direct reports.
Profile

Experience with Linux/Unix operating systems and running/troubleshooting applications from the command line.
Familiarity with common Linux/Unix commands and Linux system administration.
Knowledge of scripting languages, especially BASH, Python, and R.
Knowledge of git/GitHub.
Meticulous record keeping and attention to detail
Master, phD. in Mathematics, Computer Science, Information Technology, Data Science, or a related field
Hands-on or job experience in Linux command line and cloud environments.
Job Offer

You will have the access to our platform with with various public and proprietary data repositories, such as TCGA, GTEx, dbSNP, Ensembl, UCSC genome browser.


Desired Skills and Experience

Experience with Linux/Unix operating systems and running/troubleshooting applications from the command line.
Familiarity with common Linux/Unix commands and Linux system administration.
Knowledge of scripting languages, especially BASH, Python, and R.
Knowledge of git/GitHub.
Meticulous record keeping and attention to detail
Master, phD. in Mathematics, Computer Science, Information Technology, Data Science, or a related field
Hands-on or job experience in Linux command line and cloud environments.

To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Van Anh Le on +84 28 6284 8238."
2975669361|Senior Data Scientist/ Senior Machine Learning Engineer (Bangkok based, relocation provided)|Ho Chi Minh City, Ho Chi Minh City, Vietnam|Agoda|Full-time · Mid-Senior level|"About the job
About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know Our Team

The Data department oversees all of Agoda’s data-related requirements. Our ultimate goal is to enable and increase the use of data in the company through creative approaches and the implementation of powerful resources such as operational and analytical databases, queue systems, BI tools, and data science technology. We hire the brightest minds from around the world to take on this challenge and equip them with the knowledge and tools that contribute to their personal growth and success while supporting our company’s culture of diversity and experimentation. The role the Data team plays at Agoda is critical as business users, product managers, engineers, and many others rely on us to empower their decision making. We are equally dedicated to our customers by improving their search experience with faster results and protecting them from any fraudulent activities. Data is interesting only when you have enough of it, and we have plenty. This is what drives up the challenge as part of the Data department, but also the reward.

The Opportunity

We are looking for ambitious and agile data scientists that would like to seize the opportunity to work on some of the most challenging productive machine learning and big data platforms worldwide, processing some 600B events every day and making some 5B predictions.

As part of the Data Science and Machine Learning (AI/ML) team you will be exposed to real-world challenges such as: dynamic pricing, predicting customer intents in real time, ranking search results to maximize lifetime value, classifying and deep learning content and personalization signals from unstructured data such as images and text, making personalized recommendations, innovating algorithm-supported promotions and products for supply partners, discovering insights from big data, and innovating the user experience. To tackle these challenges, you will have the opportunity to work on one of the world’s largest ML infrastructure employing dozens of GPUs working in parallel, 30K+ CPU cores and 150TB of memory.

In This Role, You’ll Get to

Design, code, experiment and implement models and algorithms to maximize customer experience, supply side value, business outcomes, and infrastructure readiness
Mine a big data of hundreds of millions of customers and more than 600M daily user generated events, supplier and pricing data, and discover actionable insights to drive improvements and innovation
Work with developers and a variety of business owners to deliver daily results with the best quality
Research discover and harness new ideas that can make a difference

What You’ll Need To Succeed

4+ years hands-on data science experience
Excellent understanding of AI/ML/DL and Statistics, as well as coding proficiency using related open source libraries and frameworks
Significant proficiency in SQL and languages like Python, PySpark and/or Scala
Can lead, work independently as well as play a key role in a team
Good communication and interpersonal skills for working in a multicultural work environment

It’s Great if You Have

PhD or MSc in Computer Science / Operations Research / Statistics or other quantitative fields
Experience in NLP, image processing and/or recommendation systems
Hands on experience in data engineering, working with big data framework like Spark/Hadoop
Experience in data science for e-commerce and/or OTA

We welcome both local and international applications for this role. Full visa sponsorship and relocation assistance available for eligible candidates.

#sanfrancisco #newyork #seattle #boston #washdc #sydney #melbourne #perth #paris #london #tokyo #dhaka #vienna #edinburgh #liverpool #manchester #amsterdam #munich #berlin #toronto #vancouver #moscow #dublin #seoul #hcmc #singapore #ENG #IT #4

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
2975391078|Data Scientist, TNSL Data Platform|Ho Chi Minh City, Ho Chi Minh City, Vietnam|TIKI|Full-time · Entry level|"About the job
In TikiNOW Smart Logistic (TNSL), we sharply focus on providing solutions for fulfillment & delivery - the two critical pieces inside Tiki end-to-end ecommerce ecosystem. We aim for best-in-class services with efficiency in our Warehouse processes, Supply Chain and Cost management. We believe in growing a sustainable business with strong fundamentals, data-driven & advanced optimizations to enable all of those.

As a member of the Data Platform team, our mission is to build up the platform of data that enables people to make decisions & take actions with data-driven. Our work involves in areas such as finance, inventory management, fulfillment, delivery or even after-sale service to enable teams across the organizations to build up analytical products & advanced optimizations solutions. Our goal is to help maximize the value of each domain contributed to the customer & company.

We are looking for Data Scientists to stand together with us and take responsibility for building AI models to solve our problem in demand forecasting and delivery / pick path optimization. And since we are just at the beginning of the road, you can let your imagination run free. We encourage everyone to dare to try new things and even make some mistakes, after all, it is all part of life and learning.

Responsibilities:
Develop clever algorithms and pragmatic solutions to our automation and optimization problems.
Build high accuracy machine learning models that can learn and optimize performance from vast amounts of data.
Develop metrics to measure the outcome/impact of your introduced solutions.
Work with other members to implement and integrate into our existing systems.
Document and improve the solutions over time.
Evaluate and identify new technologies for implementation.
Communicate with our business and technical teams to understand the analytics requirements.
Respond and follow up to incorporate feedback and draw new insights.
Prioritize tasks to meet multiple deadlines.
Why you will want to work here:
We are constantly iterating! There is no such best proposal for anything, no fastest API, no best machine learning models. We design, build, test, ship, and optimize, and test. Just a stream of improvements and tests.
We have a data-driven mindset, every point of changes must be tested to gain insights into its impacts on key metrics. It‘s a long process, but over time, we gradually learn and become confident in our approach.
We love ""best practices"". Serving important features with high throughput always give us a hitch to research and apply best practices. Any experiment or optimization is always welcomed.
We are both independent and open. We own our products. Technical problems would be discussed internally, but for difficult one, we could request other‘s help.
Requirements:
Good mathematical and statistical background.
Strong problem solving skills with an emphasis on product development.
Analytical mind and business acumen.
Experience using statistical computer languages (Python, SQL, etc.) to manipulate data and draw insights from large data sets.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Strong experiences with ML/DL frameworks such as Scikit-learn, Tensorflow, Torch, etc... is a must. In particular, must be fluent in converting research papers into production-ready codes."
2907788472|Data Scientist|Hanoi, Hanoi, Vietnam|Cốc Cốc|₫30,000,000/month - ₫60,000,000/month · Full-time · Mid-Senior level|"About the job
This job is sourced from a job board. Learn more
We are looking for a Data Scientist to join BI department with strong knowledge and experience in Analytics and Computer Science. The ideal candidate is adept at using state-of-art machine learning and data mining techniques, statistical analysis, and building high-quality prediction systems integrated with our products.

Furthermore, You will help us discover the information hidden in vast amounts of data, and make more intelligent decisions to deliver even better products. Our product’s growth with the scale of data creates a big opportunity and challenge for you to innovate using next generation technologies (AI and Machine learning). Last but not least, you will work with our best data engineering, data analysis to support you for your career building path.

JOB DESCRIPTION Exploratory data analysis: Collect and analyze data from our products, services, market, and our advertising system. Prepare reports that interpret our user behaviors, marketing trending, and product features. Utilize Analytic tools and implement scripts to test your proposal hypothesis Apply statistical and machine learning model to our CocCoc Product (Ad Department and Web Search Department): Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies. Implement appropriate Machine Learning algorithms and turn them into microservices in our production environments. Research the optimization solution for Ad Network: Research the ad allocation and ad matching over the AdNetwork. Perform analysis and design the hypothesis to optimize AdNetworks user experiences, revenue generation, ad targeting and other business outcomes

JOB REQUIREMENTS Required skills: 2-5 years working experience preferably as a Data Scientist or similar role in an IT company, University or Research Institute. Highly analytical with a heavy emphasis on data mining and data visualization (Problem formulation, Analytical ability, Synthesis). Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets. Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. Experience with common data machine learning framework (tensorflow, scikit-learn, NLP, etc). Strong communication skills (good English communication skills is a plus). BSc in Computer Science, Mathematics or similar field; Master’s degree is a plus.

Nice-to-have skills: Knowledge or experience working on projects in Avertisement & AdNetwork, Online Marketing or Computer Science (NLP, Machine Learning).

HIRING PROCESS: Phone Screening > Home Assignment > Onsite Interviews > Offering"
3008503799|Data Scientist (Vietnamese)|Hanoi, Hanoi, Vietnam|Vinpearl|Full-time · Executive|"About the job
We are looking for detail oriented & talent Data Scientist with STEM background and customer-centric mindset to build personalization & data products for e-commerce sector.

Job description:
Use predictive analytics and AI/ML techniques to solve complex challenges and drive business decisions through data.
Design experiments, test hypotheses, and build actionable models to optimize business operations & draw inferences, visualizations of processed data, identified trends.
Work closely & align with internal stakeholders such as business teams, engineering teams, partner teams to deliver data products

Requirements:
Bachelor’s Degree or above in STEM (Computer Science, Mathematics, Finance etc.) with 2+ year of working in at least one key AI/ML field.
Solid programing skills in at least one of the following languages: Python, R, Scala, Java, C/C++
Profound knowledge of statistical techniques such as classification, clustering, regression, statistical inference, collaborative filtering, predictive modelling etc.
Hands-on experience of developing predictive models, classification etc.
Being familiar with ETL processes (including SQL query development) & data visualization techniques.
Exposure to BigQuery, GCS & other cloud services is a plus
Hands-on experience of developing data platform & microservices is a big plus
Business acumen & good data storytelling ability
Self-motivation in learning new technologies

Benefits: Negotiable
Contact the job poster
Jenny Nguyen 2nd
[Urgent] Looking for GM/ HKM/ FBM (Local & Expat). Please send your CV to: v.phuongntq1@vinpearl.com
Job Poster Location
Vietnam
Send InMail"
