id|jobTitle|location|company|type|description
2987768901|Database Administrator (Chuyên Viên Quản Trị Cơ Sở Dữ Liệu)|Hanoi, Hanoi, Vietnam|Techcombank (TCB)|Full-time · Entry level|"About the job
Mục tiêu
Cung cấp dịch vụ Cơ sở dữ liệu và phần mềm nền cho các hệ thống
Đảm bảo các hệ thống cơ sở dữ liệu và phần mềm nền hoạt động liên tục, ổn định
Đảm bảo các hệ thống cơ sở dữ liệu và phần mềm nền có khả năng mở rộng linh hoạt, đáp ứng nhu cầu tăng trưởng nhanh của ngân hàng
Đảm bảo các hệ thống cơ sở dữ liệu và phần mềm nền đáp ứng những tiêu chuẩn công nghệ và tiêu chuẩn an ninh thông tin của Techcombank
Mô tả công việc
Giám sát và khắc phục sự cố của Cơ sở dữ liệu, SQL
Phát triển, vận hành và quản lý Cơ sở dữ liệu
Thiết lập, phân quyền người dùng thao tác với Cơ sở dữ liệu
Quản lý chính sách, qui trình Cơ sở dữ liệu trình để đảm bảo an ninh
Quản lý sao lưu / khôi phục Cơ sở dữ liệu
Quản lý công việc tự động hóa Cơ sở dữ liệu
Hỗ trợ, kết hợp với lập trình viên để xây dựng hệ thống Cơ sở dữ liệu
Yêu cầu
Tốt nghiệp đại học trở lên các chuyên ngành CNTT hoặc tương đương
Tối thiểu 3 năm kinh nghiệm tại vị trí DBA.
Kiến thức chuyên sâu về các DB engines: Oracle, MS SQL server.
Có chứng chỉ quốc tế OCP – Oracle Database Certified Professional là lợi thế
Có kiến thức và kinh nghiệm làm việc tốt với các hệ điều hành Linux / Unix
Có kỹ năng giao tiếp tốt, làm việc nhóm tốt
Có tư duy logic tốt và có khả năng phân tích xử lý các vấn đề của hệ thống.
Tiếng Anh: 550 TOEIC"
2975183461|Database Administrator, MSSQL (Bangkok based)|Ho Chi Minh City, Ho Chi Minh City, Vietnam|Agoda|Full-time · Mid-Senior level|"About the job
About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know Our Team

The Data department oversees all of Agoda’s data-related requirements. Our ultimate goal is to enable and increase the use of data in the company through creative approaches and the implementation of powerful resources such as operational and analytical databases, queue systems, BI tools, and data science technology. We hire the brightest minds from around the world to take on this challenge and equip them with the knowledge and tools that contribute to their personal growth and success while supporting our company’s culture of diversity and experimentation. The role the Data team plays at Agoda is critical as business users, product managers, engineers, and many others rely on us to empower their decision making. We are equally dedicated to our customers by improving their search experience with faster results and protecting them from any fraudulent activities. Data is interesting only when you have enough of it, and we have plenty. This is what drives up the challenge as part of the Data department, but also the reward.

The Opportunity

In Agoda, we have 800+ MSSQL instances across 5 data centers which have 7 nines uptime to serve customer, affiliate, and Agoda employee users around the world.

We have been working on big scale of fast & safe database CI/CD pipeline with involved 1,000+ Engineers in IT department and it leads to have new 50-100 store procedures deployment on production every day.

As DBA, you will have a big challenge & opportunity to help define, standardized and provide best practice of SQL administration including setup, migration, monitoring, high availability and performance tuning.

In This Role, You’ll Get to

Proactive monitoring to detect unusual behavior on production database by creating automation & visibility i.e. high query resource usage, unusual database traffic, database server capacity, etc. and coordinate with Engineering team to optimize it before it becomes to be big incident
Research and implement automation tool to help reduce human time on daily basis i.e. Installation and upgrade tool, Database deployment tool, Anomaly Detection, etc
Setup, migrate and re-architect Agoda production database to support business growth
Coordinate with Infrastructure team to planned or unplanned maintenance

What You’ll Need To Succeed

Experience in 24×7 OLTP transactional of MS SQL Server administration
Good knowledge of SQL query, Optimizer and Execution plan
Knowledge of High Availability (HA) and Disaster Recovery (DR) options for SQL Server
Up-to-date knowledge the Data Protection Act and GDPR
Excellent English written and verbal communication
Be able to work multi-task and context-switch effectively between different activities and teams
Be able to attend On-Call rotation

It’s Great If You Have

Storage, windows OS, Network principle
MCSA, MCSE, and/or MVP certifications

#london #taipei #seoul #tokyo #hongkong #beijing #sydney #hcmc #london #munich #telaviv #sanfrancisco #shanghai #ENG #IT #4

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
2975179448|Expert Database Administrator (Bangkok based, relocation provided)|Ho Chi Minh City, Ho Chi Minh City, Vietnam|Agoda|Full-time · Entry level|"About the job
About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know Our Team

The Data department oversees all of Agoda’s data-related requirements. Our ultimate goal is to enable and increase the use of data in the company through creative approaches and the implementation of powerful resources such as operational and analytical databases, queue systems, BI tools, and data science technology. We hire the brightest minds from around the world to take on this challenge and equip them with the knowledge and tools that contribute to their personal growth and success while supporting our company’s culture of diversity and experimentation. The role the Data team plays at Agoda is critical as business users, product managers, engineers, and many others rely on us to empower their decision making. We are equally dedicated to our customers by improving their search experience with faster results and protecting them from any fraudulent activities. Data is interesting only when you have enough of it, and we have plenty. This is what drives up the challenge as part of the Data department, but also the reward.

The Opportunity:

We manage tera bytes of content, we run machine learning algorithms that require up-to-date feature data of all user events to optimize the user experience and so on… Luckily, we have the latest tech to match the challenge, we employ Cassandra, ScyllaDB, Aerospike, Couchbase, Elasticsearch, PostgreSQL, CockroachDB and others with overall 1600 database instances and 99.9999% uptime.

If you think this is cool, you are reading the right job description. We are looking for passionate engineers who are excited by solving problems in scale, understanding the technology down to bit and know how to automate the operation for 1000s of servers at the same time. Working in our scale, everything is important – understanding the OS and disk controller, understanding the different runtime implications of JVM and knowing all the bells and whistles that each DB engine has to offer.

In this Role, you’ll get to:

Proactive monitoring to detect unusual behavior on production database by creating automation & visibility i.e. high query resource usage, unusual database traffic, database server capacity, etc. and coordinate with Engineering team to optimize it before it becomes to be big incident
Communicating and reviewing database solutions, technical, applications with Operations Staff and Application Developers to ensure scalability, integrity and security of database
Troubleshooting database issue and performance tuning
Research, test, evaluate and recommend solutions (existing & emerging) with match for best use cases

What you’ll Need to Succeed:

At least 5 years hands-on Database Administrator experience
Solid production experiences in a “high transactional” 24×7 OLTP of MS SQL Server administration
Mid-level to expert within one or more of the following NoSQL (Cassandra, ScyllaDB, Couchbase or Elasticsearch)
Willing to learn new data engine technology such as Cassandra, ScyllaDB, Couchbase, Elasticsearch, PostgreSQL and Aerospike
Be able to work under pressure and to deadlines
Be the good team player with good interpersonal and communication skills
Be able to work multi-task and context-switch effectively between different activities and teams
Be able to attend On-Call rotation
Excellent English written and verbal communication

It’s Great if you have:

Expert in one or more of Cassandra, ScyllaDB, Couchbase, Elasticsearch , Aerospike, Redis or Ignite
Automate deployment by using Puppet, Ansible
Development automate operation tasks with Shell Script, Python
Consul, Docker, Kubernetes, Openstack
Linux system administration

#sydney #melbourne #london #tokyo #dhaka #edinburgh #amsterdam #munich #moscow #kyiv #singapore #jakarta #dublin #saopaulo #bogota #colombo #taipei #warsaw #stockholm #copenhagen #seoul #hcmc #telaviv #belarus #buenoaires #beijing #santiago

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
2975673330|Senior Database Administrator (MSSQL – Performance tuning expert)|Ho Chi Minh City, Ho Chi Minh City, Vietnam|Agoda|Full-time · Mid-Senior level|"About the job
About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know Our Team

The Data department oversees all of Agoda’s data-related requirements. Our ultimate goal is to enable and increase the use of data in the company through creative approaches and the implementation of powerful resources such as operational and analytical databases, queue systems, BI tools, and data science technology. We hire the brightest minds from around the world to take on this challenge and equip them with the knowledge and tools that contribute to their personal growth and success while supporting our company’s culture of diversity and experimentation. The role the Data team plays at Agoda is critical as business users, product managers, engineers, and many others rely on us to empower their decision making. We are equally dedicated to our customers by improving their search experience with faster results and protecting them from any fraudulent activities. Data is interesting only when you have enough of it, and we have plenty. This is what drives up the challenge as part of the Data department, but also the reward.

The Opportunity

In Agoda, we have 800+ MSSQL instances across 5 data centers which have 7 nines uptime to serve customers, affiliates, and Agoda employee users around the world.

We have been working on a big scale of fast & safe database CI/CD pipeline with involved 1,000+ Engineers in IT department and it leads to having new 50-100 store procedures deployment on production every day.

As Senior DBA, you will have a big challenge & opportunity to help define, standardized, and provide the best practice of T-SQL query performance to make sure query performance is optimized to run all apps and databases together efficiently.

In This Role, You’ll Get to

Work with CI/CD engineering team to create excellent database performance checks to do performance tests before going to deploy on production
Be a mentor in the performance tuning area and able to give advice & best practices technique to the development & DBA team

What You’ll Need To Succeed

Solid production experiences in a “high transactional” 24×7 OLTP of MS SQL Server administration
Expert in T-SQL query, Optimizer, and Execution plan principles
Excellent English is written and verbal communication
Be able to work multi-task and context-switch effectively between different activities and teams
Be able to attend On-Call rotation

It’s Great If You Have

Storage, windows OS, Network principle
MCSA, MCSE, and/or MVP certifications

#london #moscow #taipei #seoul #tokyo #hongkong #beijing #sydney #hcmc #london #munich #telaviv #kyiv #sanfrancisco #shanghai #ENG #IT #4 #

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
2965120457|Database Administrator|Ho Chi Minh City, Vietnam|Mantu|Full-time · Mid-Senior level|"About the job
About us

Mantu is an international company providing guidance and services to businesses and entrepreneurs. We have many brands in our portfolio and regardless of their expertise or the sector they operate in, they all share a single mission: achieving businesses’ and entrepreneurs’ ambitions.

We constantly generate opportunities for a vast talent community and encourage our team members to have an impact and make a difference. This is how our team has grown to more than 7000 talented people of more than 100 different nationalities, spread across 5 continents and more than 60 countries.

Responsibilities

As a Database Administrator, you are part of the group IT Operations Department, and you will be responsible for the group database systems.

You will work with the team on the migration of our on-premises Data Center to Microsoft Azure by using Infrastructure-as-code and be the key actor to adopt cloud managed services as DBAAS and SQL managed instance with the goal to improve our applications performances.

By your knowledge and experiences, you will design our database architecture, define security policies, and manage our group database infrastructure and services as well as establish a performance baseline to evaluate the Database system efficiency. You will also work with the other IT teams to give the best practice and coach our IT teams on all database relative topics.

By joining our team, you will:
Migrate the group infrastructure to Microsoft Azure by defining technologies and managed services
Deploy & configure new database servers, instances with Ansible & Terraform
Administrate database system, maintain a stability of 24/7, fine-tune database and SQL performance, specialized on MS SQL Server and MySQL
Implement monitoring system, alerting, and reporting running on Grafana, Prometheus, Zabbix and ELK
Enhance and improve BI packages/services and coach BI Developers on query optimization
Resolve incidents, implement, and participate on the problem resolutions
Participate to prepare a group level of DRP solution for the group’s ERP system

Our ideal candidate
Bachelor’s degree from engineering schools in computer science or related technical disciplines (or equivalent)
2+ years of experience in related positions, with strong skills on Microsoft SQL servers, Microsoft Azure and solid knowledge of SQL Server eco-services (i.e. SSIS, SSAS, SSRS, Business Intelligent, SSDT… )
Knowledge and experience of other database models as MySQL, PostgreSQL and NoSQL is a plus
Solid knowledge of MS Windows Server eco-services: Windows server, WSUS, Active Directory…
Previous experience with Monitoring stack & TimeSeries DB, specialized in ELK, Prometheus, Zabbix, Grafana is a strong plus
Infrastructure as Code experience with Ansible and Terraform is strongly preferable for this position
Good communication skills in English (oral and written communication)
Analytical and Problems solving; Proactive and logical; Adaptability (work in a continuously changing environment)
Our offer
Be part of an international, multicultural environment of 7,000 talented people over 60 countries and 5 continents
Fast growing global company, opportunities to grow quickly with a tailored made career path
Soft skill trainings: interpersonal communication, team management, project management
Team lunch, after-work and other successes celebrations
Ability to support non-profit organizations
You will have the opportunity to unlock your potential, both professional and personally
Our contact
Location: Block A2, 15th Floor, Viettel Building, 285 Cach Mang Thang Tam, District 10, HCMC

Mantu is proud to be an equal opportunity workplace. We are committed to promoting diversity within the workforce and creating an inclusive working environment. For this purpose, we welcome applications from all qualified candidates regardless of gender, sexual orientation, race, ethnicity, beliefs, age, marital status, disability, or other characteristics."
2998354780|Database Administrator|Hanoi, Hanoi, Vietnam|Tuyển Dụng Tôt Jsc.|Full-time|"About the job
Knowledge/Skills/Competencies Required:
Qualifications:
1. Minimum of 5 years in data-driven software development or system administration with at least 3 consecutive years working as data/report developer, database administrator, or the likes;
2. Having knowledge of data processing technology, data operation and management, data/information security or an equivalent combination of education and work experience;
3. Having knowledge of logical and physical database design concepts;
4. Having good knowledge of database technology platforms and related especially Ms SQL, Ms SSIS, MySQL. If having DB2 skills will be an advantage.
5. Demonstrated ability to understand, analyze, and apply abstract database concepts as well as translating informational needs from the business to data solutions;
6. Demonstrated oral and written communication skills;
7. Ability to effectively interact with peer level associates;
8. Ability to work independently with minimal supervision, and usually meets all expectations.

Principal Responsibilities:
Responsibility as a database administrator (DBA) will be the performance, integrity and security of a database. Will be involved in the planning and development of the database, as well as in troubleshooting any database issues.

Functional Responsibilities:
1. Responsible for building, enhancing, and maintaining databases in support of applications across the whole IT system.
2. Ensures compliance with the organization's data and database standards.
3. Implement tools/solutions and monitor database access permissions and privileges and security.
4. Implement tools/solutions and monitor performance and manage parameters in order to provide fastest database responses possible.
5. Work with other teams to map out the conceptual design for a planned database, to refine the logical design so that it can be translated into a specific data model.
6. Further refining the physical design to meet system storage requirements
7. Install and test new versions of the database management system (DBMS)
8. Establish and maintain database documentation, including data standards, procedures and definitions for the data dictionary (metadata).
9. Work with other teams to develop, manage and test back-up. And manage the security and disaster recovery aspects of a database.
10. Carry out capacity planning.
Supervisory Responsibilities:
1. May provide work guidance to lower level and project staff.
2. Manage the vendor resources to deliver quality in projects.

COMPENSATION & BENEFITS
- Salary: Negotiation
- Benefit: Attractive
- Working Location: Hanoi Vietnam.
Candidate sends CV to email: info@tuyendungtot.com.vn ; Hotline: 0902336805
Contact the job poster
Dao Duc Tho 2nd
CEO OF TUYEN DUNG TOT JSC
Job Poster Location
Hanoi Capital Region
Send InMail"
2977520976|Database Administrator (Business Application Team)|Ho Chi Minh City, Ho Chi Minh City, Vietnam|KMS Technology, Inc.|Full-time · Entry level|"About the job
This job is sourced from a job board. Learn more
As a Database Engineer/Administrator in IT Business Application team, you are responsible for design and implement databases, adjust functions and capacity of existing databases
Work closely with Finance team and IT Business Application team members to study and exploit database efficiency
Support to design and generate reports if required
Actively contribute ideas and efforts to projects
Work with Principal** Software Engineer to contribute for our on coming project : Data warehouse and BI reports solutions
This position reports to the Principal Software Engineer and will be a part of a multi-functional IT team
3+ years of experience with developing relational databases management systems (RDBMS) using MS SQL server, MySQL or Oracle.
Experience in extract, transform and load (ETL) development in SQL
Experience with reporting and BI tools such as SSRS, Power BI, Tableau
Experience programing in any programing languages Python, Golang, etc is a plus
Working in one of the Best Places to Work in Vietnam
Building large-scale & global software products
Working & growing with Passionate & Talented Team
Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions & Consulting
Attractive Salary and Benefits
Two performance appraisals every year and performance bonus
Flexible working time
Various training on hot-trend technologies, best practices and soft skills
Premium healthcare insurance for you and your loved ones
Company trip, big annual year-end party every year, team building, etc.
Fitness & sport activities: football, tennis, table-tennis, badminton, yoga, swimming...
Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,...
Free in-house entertainment facilities (foosball, ping pong, gym...), coffee, and snack (instant noodles, cookies, candies...) And much more, join us and let yourself explore other fantastic things!"
1644628712|Database Administrator|Hanoi, Hanoi, Vietnam|MPS Vietnam Joint Stock Company|Full-time|"About the job
1. MAJOR RESPONSIBILITIES
- Installation and Upgrades of Oracle RDBMS software.
- Administrate and Maintain existing Oracle RDBMS installations.
- Build new databases and perform data migrations.
- Perform backup and recovery included management on backup media.
- Tuning and performance tuning, troubleshooting of database issues, interaction with Oracle application development for effective database activities.
- Develop database usage, security and operation policy and apply to the operation.
- Research, design and implement redundant system, policies and procedures for disaster recovery and data archiving to ensure effective protection and integrity of data assets.
- Provides on call basis 24/7 availability.
- Ready to react for critical errors and service interruptions.
- Other duty assigned by Manager.

2. REQUIREMENTS
- University degree in Computer Science, Electric & Telecommunication, or IT
- Having work-related experience as an Oracle DBA is advantage.
- Having Oracle certificate (OCA, OCP…) is advantage.
- Having knowledge of Database, Oracle Data Guard, RAC and ASM.
- Experience implementing Oracle Database Migration, Upgrade, High Availability solutions is a plus.
- Effective working in both team and independence.
- Strong communication, problem-solving, and troubleshooting skills.
- Can research technical document in English
- Fast study for new technology, learn and take exam to get certificate as company request.
- Ability to travel based on territory alignment and region.

3. BENEFITS
- Salary: Negotiation
- 13th moth salary, year-end bonus based on performance review.
- Social Insurance, Healthcare Insurance, 12 days Annual Leave, ….
- Company trip, company outing, teambuilding, …
- Travel based on territory alignment and region.
- Participating in professional training courses and take international certification exams for free.
- Having the development & promotion policy according to Career Path for each position, each department.

4. LOCATION
- Block 8, NV1, The Manor Central Park, Nguyen Xien Street, Dai Kim Ward, Hoang Mai District, Hanoi

➡️📞☎️ If you're interested in this job, plz contact me to know more details or send your CV to my email: thuy.doan@mps-asia.com
#DBA #Oracle #DatabaseAdministrator

Contact the job poster
Thuy Doan 2nd
HR Executive at MPS Vietnam Joint Stock Company
Job Poster Location
Vietnam
Send InMail"
2993728769|Database Administrator|Hanoi, Hanoi, Vietnam|OKXE Inc.|Full-time · Associate|"About the job
This job is sourced from a job board. Learn more
Mô tả công việc We are looking for a Database Administrator who will be responsible for managing and maintaining company databases. In this position, you need to monitor and update malware protection software to make sure that data is kept secure from potential breaches or unauthorized access or accidental loss or corruption. Besides, you also need to organize databases so that data is available for users to find important documents in an efficient manner. You will be the first respondent to database problems that arise and carry out periodic maintenance and troubleshooting. Duties and Responsibilities: ▪ Extracting and loading data▪ Monitoring system performance and identifying problems that arise.▪ Responding to user-reported errors in a timely manner.▪ Controlling access permissions and privileges to protect the security of the database▪ Ensuring that the database is adequately backed up and able to be recovered in the event of data loss.▪ Suggesting changes and improvements for database maintenance or protection.▪ Responsibility for maintaining the integrity and performance of company databases▪ Must guarantee that data is stored securely and optimally▪ Informing end users of changes in databases and train them to utilize systems▪ Write database documentation, including data standards, procedures and definitions for the data dictionary (metadata)▪ Communicate regularly with technical, applications and operational staff to ensure database integrity and security. Yêu cầu ứng viên ▪ Bachelor’s Degree in Information Technology, Computer Science or related fields▪ 2+ years experience as a database administrator.▪ Good English reading and writing to involve in technical discussion with our team.▪ Knowledge in software development methodology (V-Model, Waterfall, Agile/Scrum).▪ Having knowledge in the Internet system, Firewall technology, Cloud computing.▪ Advanced certification as an MCDBA or MCSD for .NET is advantageous.▪ Proficiency in data manipulation languages, including MS SQL, Oracle Database, Hadoop, or PostgreSQL.▪ Analytical mindset and good problem-solving skills.▪ Excellent verbal and written communication skills.▪ Highly organized and responsible.▪ Capable of working under pressure.▪ Up-to-date with trends and developments in database administration. Quyền lợi
Attractive salary, based on skill and experience- Working in International company- 13th salary + Yearly performance bonus
Bao Viet Health Insurance- Salary review: 2 times per year
Welfare regime: Travel, picnic, enjoy holidays, enjoy productivity, lunch, teatime, party & event...
Regimes and allowances are based on the Vietnamese Labor Law
Working time: 9h-18h Monday to Friday Hạn nộp hồ sơ: 30/04/2022"
2993726733|Database Administrator|Ho Chi Minh City, Ho Chi Minh City, Vietnam|Okxe|Full-time · Associate|"About the job
This job is sourced from a job board. Learn more
Mô tả công việc We are looking for a Database Administrator who will be responsible for managing and maintaining company databases. In this position, you need to monitor and update malware protection software to make sure that data is kept secure from potential breaches or unauthorized access or accidental loss or corruption. Besides, you also need to organize databases so that data is available for users to find important documents in an efficient manner. You will be the first respondent to database problems that arise and carry out periodic maintenance and troubleshooting. Duties and Responsibilities: ▪ Extracting and loading data▪ Monitoring system performance and identifying problems that arise.▪ Responding to user-reported errors in a timely manner.▪ Controlling access permissions and privileges to protect the security of the database▪ Ensuring that the database is adequately backed up and able to be recovered in the event of data loss.▪ Suggesting changes and improvements for database maintenance or protection.▪ Responsibility for maintaining the integrity and performance of company databases▪ Must guarantee that data is stored securely and optimally▪ Informing end users of changes in databases and train them to utilize systems▪ Write database documentation, including data standards, procedures and definitions for the data dictionary (metadata)▪ Communicate regularly with technical, applications and operational staff to ensure database integrity and security. Yêu cầu ứng viên ▪ Bachelor’s Degree in Information Technology, Computer Science or related fields▪ 2+ years experience as a database administrator.▪ Good English reading and writing to involve in technical discussion with our team.▪ Knowledge in software development methodology (V-Model, Waterfall, Agile/Scrum).▪ Having knowledge in the Internet system, Firewall technology, Cloud computing.▪ Advanced certification as an MCDBA or MCSD for .NET is advantageous.▪ Proficiency in data manipulation languages, including MS SQL, Oracle Database, Hadoop, or PostgreSQL.▪ Analytical mindset and good problem-solving skills.▪ Excellent verbal and written communication skills.▪ Highly organized and responsible.▪ Capable of working under pressure.▪ Up-to-date with trends and developments in database administration. Quyền lợi
Attractive salary, based on skill and experience- Working in International company- 13th salary + Yearly performance bonus
Bao Viet Health Insurance- Salary review: 2 times per year
Welfare regime: Travel, picnic, enjoy holidays, enjoy productivity, lunch, teatime, party & event...
Regimes and allowances are based on the Vietnamese Labor Law
Working time: 9h-18h Monday to Friday Hạn nộp hồ sơ: 30/04/2022"
