id|jobTitle|location|company|type|description
3009456883|DevOps Engineer|Ho Chi Minh City, Vietnam|Information Technology & Service (Confidential)|Full-time|"About the job
Required Tech Skills and experience
- Familiar with Linux Environment and can write scripts by Bashshell, Python
- Ability to quickly pick up new technology stacks
- Good in English skills
- Basic about AWS is preferred
Contact the job poster
Cherry Do
Management
Job Poster Location
Vietnam
Send InMail"
3013729527|DevOps Engineer|Vietnam|Monkey Vietnam|Full-time|"About the job
JOB DESCRIPTION
1. Develop a completed document that describes the current configuration of system;

2. Hand-on CI-CD, ensure zero-downtime deployment (Installation, configuration and tuning web, application and database system);

3. Manage products infrastructure, scalability, high availability solutions;

4. Summary and report daily statistics from Pinpoint and Grafana.


JOB REQUIREMENTS

Qualifications Required:

1. At least 2-year experience working in managing Linux system;

2. Have experience with CI/CD Tool: Jenkins /Docker/ Ansible/ K8S / Sonarqube…;

3. Fluently in Python, Shell/Script;

4. Have 2 - 3 years of experience with Apache or Nginx;

5. At least 2-year experience with MySQL, Postgresql, MariaDB, MongoDB;

6. Ready to learn new technology.


Skills Required:

OS: CentOS, RHEL, Ubuntu;

WEB/WAS platform : Apache, Nginx;

Monitor: Zabbix, Pinpoint, Grafana;

CI/CD: Jenkins, Ansible;

Database: MySQL, MariaDB, NoSQL;

Cloud: AWS, GCP.

BENEFITS

1. Salary scale : from 650$ to 1300$;

2. Allowances: 1,000,000 VND per month on lunch and transportation;

3. Signing bonus one month basic salary for candidates who self-apply when they become official employees;

4. Unlimited utilization of all Monkey products;

5. Opportunities to collaborate with renowned business partners (Facebook, Coc Coc, etc.);

6. Chances to work in a well-recognized company which has achieved successes on both national and global scale, namely First Place Startup in 2016 GIST Tech-I Competition awarded by the American former President Barack Obama, First Place in Vietnamese Talent Competition, Top 1 Most Loved Children Application on App Store and Google Play;

7. First-handed experience with top-notch international teaching and learning materials and approaches;

8. Chances to work closely with excellent Vietnamese and American educators and linguists.;

9. Positive and open-minded environment which is made up of people who are always ready to listen and share;

10. Courses fully funded by the company to improve one's competence and skills;

11. Salary review every 6 months;

12. Bonuses on KPI, projects, new ideas, boost-up bonus; on-the-spot reward; rewards for new suggestions of contribution recognition and employee gifts on special occasions;

13. Equipment and devices provided at work, or allowance for using personal devices;

14. Number of days-off, public and New Year holidays, annual leave will be under Labor Law;

15. Attractive maternity regime for both male and female employees;

16. Entitled to Social insurance, health insurance, underemployment insurance and other benefits according to the company's policies;

17. Health screening and wellness check-up services at prestigious hospitals;

18. Daily tea-break, weekly gather-up, monthly birthday party and annual summer trip;

19. Other benefits are discussed during the interview.
You know the job poster
Reach out to let them know you’re interested
Phương Trần 1st
Senior Human Resources Recruiter at Monkey Viet Nam
Job Poster Location
Hanoi, Hanoi, Vietnam
Message"
3008450725|DevOps Engineer|Hanoi, Hanoi, Vietnam|WorldQuant|Full-time · Entry level|"About the job
DevOps Engineer

WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on exploiting market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform.

Technologists at WorldQuant research, design, code, test and deploy projects while working collaboratively with researchers and portfolio managers. Our environment is relaxed yet intellectually driven. Our teams are lean and agile, which means rapid prototyping of products with immediate user feedback. We seek people who think in code, aspire to tackle undiscovered computer science challenges and are motivated by being around like-minded people. In fact, of the 600 employees globally, approximately 500 of them code every day.

WorldQuant’s success is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employees are encouraged to challenge conventional thinking and possess an attitude of continuous improvement. That’s a key ingredient in remaining a leader in any industry.

Our goal is to hire the best and the brightest. We value intellectual horsepower first and foremost, and people who demonstrate an outstanding talent. There is no roadmap to future success, so we need people who can help us build it. Our collective intelligence will drive us there.

The Role: We operate systems that interact with WorldQuant's Alpha production system, and provide integrity check along the whole Alpha data pipeline. Working with us you will operate and develop software with a range of different technologies including Linux system, high performance grid computing, container and orchestration, databases and message brokers. You will have chance to work with a large-scale distributed system with thousands of machines. Resource management is also a key role in which you will manage, maintain and upgrade existing systems on bare metal, containerized or cloud environments.
Operate WorldQuant's production system, operate on monitoring tools, support end-user's request, investigate and troubleshoot issues, response to incidents.
Build, test and deploy software and toolings around production system from open-sources to internal products, from scheduling/executing extreme resource intensive jobs to automation, monitoring, test & QA.
Integrate best-of-breed tools and technologies such as Kafka, Airflow, Docker, Kubernetes, Hadoop, MySQL.
Manage and maintain systems, CI/CD pipelines with infrastructure-as-code mindset.
Communicate and collaborate effectively across teams to understand user requirements and support with a timely manner.
What You’ll Bring
Degree in a technical or quantitative field
Passion about software engineering and operations, be strongly interested in building well-operational software system
Experience in Linux administration; fluent in Linux standard command line programs
Experience in metrics and logs aggregation and analysis with a focus on performance optimization
Demonstrated experience using Python; understanding of Python idioms and limitations; working experience with numpy, pandas, SQLAlchemy, Flask/Celery is a plus
Experience using relational databases (MySQL)
Understanding of Git and CI/CD concept
Familiarity with technologies like Kafka, Docker, Kubernetes, Hadoop ecosystem is a big plus
Excellent analytical skills and a passion for solving problems
Strong written and verbal communication skills; Fluency in the English language
Able to work independently with minimal direction
A great support attitude (our job is to make life easier for other teams!)
What We Offer
Competitive and attractive compensation package with clear career road-map – where you feel challenged everyday
We offer a strong culture of learning and development: training courses, library, speakers, share and learn events
Learn from who sits next to you! Working in WQ you are surrounded by smart and talented people
Employee resources groups with strong diversity and inclusion culture
Premium Health Insurance and Employee Assistance Program
Generous time-off policy, unlimited sick days, re-creation sabbatical leave (based on tenure), Trade Union benefits for staff and family
Team building activities every month: Local engagement events, monthly team lunch – Employee clubs: football, ping-pong, badminton, yoga, running, PS5, movies, etc.
Annual company trip and occasional global conferences – opportunity to travel and connect with our global teams
Happy-hour with tea break, snacks and meals every day in the office!
The position is based in Hanoi or Ho Chi Minh City."
2787781839|DevOps Engineer|Hanoi, Hanoi, Vietnam|WorldQuant|Full-time · Entry level|"About the job
WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on exploiting market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform.

Technologists at WorldQuant research, design, code, test and deploy projects while working collaboratively with researchers and portfolio managers. Our environment is relaxed yet intellectually driven. Our teams are lean and agile, which means rapid prototyping of products with immediate user feedback. We seek people who think in code, aspire to tackle undiscovered computer science challenges and are motivated by being around like-minded people. In fact, of the 600 employees globally, approximately 500 of them code every day.

WorldQuant’s success is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employees are encouraged to challenge conventional thinking and possess an attitude of continuous improvement. That’s a key ingredient in remaining a leader in any industry.

Our goal is to hire the best and the brightest. We value intellectual horsepower first and foremost, and people who demonstrate an outstanding talent. There is no roadmap to future success, so we need people who can help us build it. Our collective intelligence will drive us there.

The Role: We operate WorldQuant’s alpha production system that schedules and executes all our alphas every day. Working with us you will operate and develop software with a range of different technologies like relational database, Linux system, message broker, big data infrastructure, monitoring toolsets, container and orchestration, high performance grid computing. You will have chance to work with a large-scale distributed system with thousands of machines.

You Will

Operate WorldQuant’s alpha production system, do on-call rotation, support end user’s request, investigate and troubleshoot issues, response to incidents.

Build, test and deploy software and tooling around alpha production system from open-sources to internal products, from scheduling/executing extreme resource intensive jobs to automation, monitoring, test & QA.

Integrate best-of-breed tools and technologies such as Kafka, Zookeeper, Docker, Kubernetes, Hadoop, Gitlab, MySQL.

Work closely with other teams at WorldQuant to understand our users’ needs and act on it.

What You’ll Bring
Degree in a technical or quantitative field
Passion about software engineering and operations, be strongly interested in building well-operational software system
Experience in Linux administration; fluent in Linux standard command line programs
Experience in metrics and logs aggregation and analysis with a focus on performance optimization
Demonstrated experience using Python; understanding of Python idioms and limitations; working experience with numpy, pandas, SQLAlchemy, Flask/Celery is a plus
Experience using relational databases (MySQL)
Understanding of Git and CI/CD concept
Familiarity with technologies like Kafka, Docker, Kubernetes, Hadoop ecosystem is a big plus
Excellent analytical skills and a passion for solving problems
Strong written and verbal communication skills; Fluency in the English language
Able to work independently with minimal direction
A great support attitude (our job is to make life easier for other teams!)
Benefits
Competitive and attractive compensation package with clear career road-map – where you feel challenged everyday
We offer a strong culture of learning and development: training courses, library, speakers, share and learn events
Learn from who sits next to you! Working in WQ you are surrounded by smart and talented people
Employee resources groups with strong diversity and inclusion culture
Premium Health Insurance and Employee Assistance Program
Generous time-off policy, unlimited sick days, re-creation sabbatical leave (based on tenure), Trade Union benefits for staff and family
Team building activities every month: Local engagement events, monthly team lunch – Employee clubs: football, ping-pong, badminton, yoga, running, PS5, movies, etc.
Annual company trip and occasional global conferences – opportunity to travel and connect with our global teams
Happy-hour with tea break, snacks and meals every day in the office!
This position is based in Hanoi or Ho Chi Minh City.

Copyright © 2021 WorldQuant, LLC. All Rights Reserved. WorldQuant is an equal opportunity employer and does not discriminate in hiring on the basis of race, color, creed, religion, sex, sexual orientation or preference, age, marital status, citizenship, national origin, disability, military status, genetic predisposition or carrier status, or any other protected characteristic as established by applicable law."
2988764722|DevOps Engineer|Ho Chi Minh City, Ho Chi Minh City, Vietnam|CODE LEAP AG|Full-time · Entry level|"About the job
With our expert teams set up across two continents, CODE LEAP provides innovative software solutions for venture-backed startups and leading enterprise businesses alike in Germany. Our core teams in Frankfurt (Germany) and Ho Chi Minh City (Vietnam) work hand-in-hand to develop state-of-the-art solutions of the highest quality.

We are looking for a junior DevOps Engineer to join our expert team in Ho Chi Minh City. This role is perfect for team players with a strong interest in developing their international career - not just as a coder, but as a product builder.

Tasks
You will work in an agile DevOps team in an exciting environment with the latest technologies
Together with the team, you will continuously develop our product and work with modern Cloud and DevOps technologies to leverage advanced and scalable infrastructure
You automate as much as possible according to the ""Everything as Code"" principle
You help shape the product, advise our customers and take over support in service level 1 together with the team
Through your impulses, you also help shape the day-to-day work of the team
Requirements
You have successfully completed your IT studies or have specialized IT training or comparable professional experience
You 1+ year of professional experience in CI/CD pipelines
You have some experience with technologies like Terraform/ Terragrunt, SAM, CloudFormation, Kubernetes or Helm (experience with some of the tools is sufficient)
Optimization and automation of operations are your passion - and DevOps and Microservices are not unknown words for you
Skills with at least one of the leading Cloud platforms (AWS, Azure, Google Cloud)
You communicate authentically and confidently, value diversity in the team and enjoy achieving things together
Advanced English skills (Speaking, Listening, Writing, Reading)
Benefits
Competitive salary and benefits
Year-end bonus (13th-month salary)
Dynamic, fun, and agile environment, perfect for sharing and creativity
Open-minded, kind & humble team with great clients
Modern office space in District 1, hardware is provided
An environment focused on learning and growing
Flexible remote work policy
15 days of annual leave (additional to public holidays)
Interested? Let's talk! Apply with your CV and we will set up a small call to get to know you. We are looking forward to you!"
2978867550|DevOps Engineer|Ho Chi Minh City, Vietnam|Mantu|Full-time · Mid-Senior level|"About the job
Mantu is an international company providing guidance and services to businesses and entrepreneurs. We ourselves are entrepreneurs: we started out from scratch and built a successful business based on our values and our “Tomorrow is human” vision.

Mantu constantly generate opportunities for a vast talent community and encourage our team members to have an impact and make a difference. This is how our team has grown to more than 8500 talented people of more than 100 different nationalities, spread across 5 continents and more than 60 countries.

We have many brands in our portfolio and regardless of their expertise or the sector they operate in, they all share a single mission: achieving businesses’ and entrepreneurs’ ambitions.

Your missions
Most of Mantu applications are designed from scratch and raise challenges on different areas of knowledge as Business Intelligence, user-friendly aspect or efficiency. To help us build functional systems that improve customer experience we are now looking for a DevOps Engineer.

We’re a team of 3 from Vietnam and Europe. We all started as Software Engineers and transitioned to DevOps. We work closely with software engineering teams with support from System and Security teams. Joining this position, you will work on many projects that carry varying responsibilities.

Below are some examples of the diverse projects with which you might be involved:
• Providing solutions to Software Engineers to ensure the development and processes of our internal ERP (Enterprise Resource Planning)
• We are migrating a lot of services to Azure, and need to be able to create cost-effective solutions to the Software Engineering teams, so they can deliver reliable solutions to our end-users
• We’re currently working on transitioning from Azure DevOps Server to Azure DevOps services. We need to help our engineers make the transition, improve our CI/CD capabilities, integrating with Azure Monitor, SonarCloud, Dependency-Track etc
• Configuring servers with Ansible, creating Ansible Roles from scratch or adapting existing roles (Ex: creating RabbitMQ role from scratch)
• Engaging in and improving the whole life cycle of services, from design to deployment and operation
• Participating in architecture, design, and code reviews
• Creating documentation to support processes/deliverables

Our ideal candidate
• Bachelor’s degree from engineering school in Computer Science or related technical discipline
• Experience working with Azure
• Experience with configuration management software (we primarily use Ansible)
• Fluency in spoken and written English. You need to have the ability to demonstrate effective communications, write clear documentation
• The people skills required to work with engineers, project managers and customer support agents
• Enable and promote a DevOps culture of delivery by end-to-end teams
• Experience with the Linux operating system
• Security-driven approach
• Experience with source code development tools and version control tools
• Willingness to learn and use new technologies
• Ability to prioritize your work based on impact
• Brownie points:
o It would be great if you have experience with C#, we’re a .NET shop so being able to assist developers with their technical problems would be a great advantage
o Linux system administration
o Windows system administration
o Examples of your code (example: GitHub profile)
o Relevant Azure Certificates

Our offer
• Be part of an international, multicultural environment of 8500 talented people over 60 countries and 5 continents
• Fast growing global company, opportunities to grow quickly with a tailored made career path
• Soft skill trainings: interpersonal communication, team management, project management
• Team lunch, after-work and other successes celebrations
• Ability to support non-profit organizations
• You will have the opportunity to unlock your potential, both professional and personally

Location: Block A2, 15th Floor, Viettel Complex, 285 Cach Mang Thang Tam, Ward 12, District 10, HCMC, Vietnam

Mantu Group is proud to be an equal opportunity workplace. We are committed to promoting diversity within the workforce and creating an inclusive working environment. For this purpose, we welcome applications from all qualified candidates regardless of gender, sexual orientation, race, ethnicity, beliefs, age, marital status, disability or other characteristics.
Contact the job poster
Clara Mouquet 2nd
Talent Acquisition Manager @Mantu
Job Poster Location
Levallois-Perret, Île-de-France, France
Send InMail"
2975669401|DevOps Software Engineer (Bangkok based, relocation provided)|Ho Chi Minh City, Ho Chi Minh City, Vietnam|Agoda|Full-time · Entry level|"About the job
About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know our Team:

The Data department oversees all of Agoda’s data-related requirements. Our ultimate goal is to enable and increase the use of data in the company through creative approaches and the implementation of powerful resources such as operational and analytical databases, queue systems, BI tools, and data science technology. We hire the brightest minds from around the world to take on this challenge and equip them with the knowledge and tools that contribute to their personal growth and success while supporting our company’s culture of diversity and experimentation. The role the Data team plays at Agoda is critical as business users, product managers, engineers, and many others rely on us to empower their decision making. We are equally dedicated to our customers by improving their search experience with faster results and protecting them from any fraudulent activities. Data is interesting only when you have enough of it, and we have plenty. This is what drives up the challenge as part of the Data department, but also the reward.

The Opportunity:

DevOps Engineering team is tasked with creating automation into the Software Development Lifecycle concerning all Agoda’s R&D.

The team is responsible for maintaining all central Dev-related tooling chain and develop internal

tools/Web Portals in order to increase development efficiency and security. The impact of this engineering team affects all development in Agoda.

In this Role, you’ll get to:

Maintain CI/CD best practices and automating security testing at the speed of DevOps
Maintain all central Dev-related systems for source control, CI, Service Discovery, and more
Bridging the gap between Development and Operations
Full-stack development for internal portals and tooling

What you’ll Need to Succeed:

Hands-on experience with the whole SDLC: Requirement, Design, Code, Test, Deploy
Great coding skills in a modern programming language (preferably Python/Go)
Knowledge of Development ecosystem tooling: Git/CI/Docker/Kubernetes
Passion for learning cutting-edge technologies and automating large scale processes
Software architecture design skills for maintaining High Availability and Fault Tolerance
Linux system administration skills

It’s Great if you have:

Experience with Configuration Management tools (preferably Ansible)
Experience coding a Full Stack application (preferably with React.js and Go)
Experience working with Container orchestration (preferably Kubernetes)
Experience with Hashicorp tools (Consul / Vault)

#sydney #melbourne #london #tokyo #dhaka #edinburgh #amsterdam #munich #moscow #kyiv #singapore #jakarta #dublin #saopaulo #bogota #colombo #taipei #warsaw #stockholm #copenhagen #seoul #hcmc #telaviv #hcmc

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
2976954522|DevOps Engineer|Hanoi, Hanoi, Vietnam|LOOP Smart POS|₫14,000,000/month - ₫24,000,000/month · Full-time · Associate|"About the job
This job is sourced from a job board. Learn more
JOB DESCRIPTION Build tooling to improve CICD patterns for multiple development teams that are consistent with security and DevOps best practices. Coordinate and assist teams in building competencies with infrastructure using object-oriented programming and configuration management domain specific language. Create Terraform/CloudFormation artifacts to automate the deployment and management of Cloud Infrastructure. Continuously improve the observability of the LOOP tech stack by integrating logging, testing, metrics, tracing, dashboards, and alerts with CD pipelines. Configure and manage data sources like MySQL, Postgresql, Mongo, Elasticsearch, Redis, Cassandra, Hadoop, etc. Understand how various Cloud providers (AWS, Google Cloud). QUALIFICATIONS University graduates majoring in IT or have been trained in IT. 1-3 years of experience DevOps Engineer or similar software engineering role. Software engineering experience with programming languages like .net core, nodejs. Working knowledge of data sources like MySQL, Postgresql, Mongo, Elasticsearch, Redis, Cassandra, Hadoop. Experience building CI/CD pipelines. Working knowledge about docker, container orchestration. Developer mindset, Problem-solving attitude, Team spirit. Desire to work in a startup environment, able to self-manage and work proactively. WHAT WE CAN OFFER Salary: 14,000,000 - 24,000,000 VND (negotiable). Performance review: twice a year. 13th-month salary and year-end bonus. Working environment: Young, dynamic, productivity & speed-focused. To be free to create, to express oneself, not to be restrictive, not to be patterned. Opportunities for career advancement and development in a professional environment, Singapore standard. Events & activities: company trip , monthly company parties & other team building activities. Guaranteed to enjoy all benefits: Vacation, social insurance according to Vietnam law."
3004262285|DevOps Engineer|Ho Chi Minh City, Ho Chi Minh City, Vietnam|PropertyGuru Group|Full-time · Entry level|"About the job
Role Specifics

You have a passion for the craft and a strong desire to grow as a professional. You strike the right balance between being a technology purist and getting things done. You know that making things right is hard and requires a high level of discipline and dedication.

You have a strong feeling of good software design and architecture yet prefer to express your knowledge through the code.

You have understanding that the software lifecycle doesn’t end with committing the code into repository, and knowledge of how it is running in production is as important as code itself, hence you are keeping your infrastructure knowledge and skills up-to-date. You have a preferred programming language, but on practice it doesn’t make a difference for you what to use.

What Will You Do
Build and Own the Infrastructure of PropertyGuru VN’s application platform
Design and build in excellent code quality to Automate Infrastructure for the new features in PropertyGuru VN.
Analyse and innovate to improve the efficiency, scalability, and reliability of our systems
Work as a member of a team, helping the team respond quickly and effectively to business needs
Create “just-enough-documentation” to support collaboration and solution decision-making.
What You Should Have
5+ years of experience as a DevOps Engineer or System Engineer (or similar roles).
Strong coding skill is a must, preferable with Python (or Ruby) and shell scripts.
Love automating mundane tasks and making developers' life easy. Familiar with concepts of infrastructure as code, SRE practices.
Experience in running Docker, Docker Swarm clusters in production. Having knowledge about Kubernetes is an advantage.
Non-trivial production experience with configuration management tools such as Saltstack.
Agile software development best practices - CI/CD, releases, branches, etc
Have knowledge of Linux/Unix and Windows administration, and an understanding of network fundamentals.
Have a strong security mindset when building and automating infrastructure.
Good communication in English is an advantage.
Benefit
Competitive salary depending on skills and capabilities
13th-month salary and additional bonuses based on the business performance
Global product with millions of new users every month
Comfortable working conditions: Flexible working time
Good career growth opportunities with interesting and challenging projects English, technical, and soft skills training courses
Additional healthcare insurance and annual health check-up
Light beverage and food are available all the time in the office
Outdoor activities with company support: sports clubs, team building, happy hour party, birthday, company trip, staff and family events, etc"
3011836170|DevOps Engineer|Ho Chi Minh City Metropolitan Area|Hitachi Vantara|Full-time · Entry level|"About the job
The Company

Hitachi Vantara, a wholly owned subsidiary of Hitachi, Ltd., helps data-driven leaders use the value in their data to innovate intelligently and reach outcomes that matter for business and society – what we call a double bottom line. Only Hitachi Vantara combines 100+ years of experience in operational technology (OT) and 60+ years in IT to unlock the power of data from your business, your people and your machines. We help enterprises store, enrich, activate and monetize data for better customer experiences, new revenue streams and lower business costs

Overall Requirements
Logical Thinking, problem solving, self-research
Proficiency in using: DevOps tools / scripts, Ansible, Azure
Network topology & security, VPN, CA (Certificate Authority)
Deployment Model design
Review output of other team members.
Environment: Window (Dev), Linux (Prod), FTP, SVN, GIT
Azure Infrastructure skills:
Azure Active Directory Login (Azure AD): to implement authentication feature.
Azure AD B2C (Business to Customer): to customize login page
SSO (Single sign-on Integration)
Azure Network Security Group
Azure Monitoring (especially: logging collector/validator)
We are an equal opportunity employer. All applicants will be considered for employment without attention to age, race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status."
