id|jobTitle|location|company|type|description
2968461023|Technical Product Manager|Ho Chi Minh City, Vietnam|Ansarada|Full-time · Mid-Senior level|"About the job
Technical Product Manager

Are you a passionate Technical Product Manager, ready to take the next challenge in your career and join a Product-Led Organisation? Join a high-performance & fun team, making an impact to our clients whilst skyrocketing your career with one of the fastest-growing startup company!

Who's Ansarada?

We are a tech company on a mission to revolutionise the complex process of business deals (M&A, tenders, fundraising & IPO) by engineering powerful but simple software that gives our customers confidence in every business decision and enables them to know, raise and realise their potential. We only achieve this through our world-class teams who are based in four main hubs: Sydney, Ho Chi Minh, Chicago, and London.

We care about the customer, and we exist to nurture their business potential. We love solving BIG problems and creating SIMPLE solutions for them. We love the challenge and are looking for people who are courageous, passionate, curious and collaborative.

What's the job about?

We are a product company, and we start with the experience we want our customers to have. Core to our success is the ability to keep ahead with product innovation that speaks to our audience in a relevant and compelling way and delivery on our roadmap quickly and accurately through experimentation and scale.

As a Technical Product Manager, you will define the XaaS strategy and roadmap, working closely with each of the CFT teams to understand each product roadmap and finding out the common patterns and balance long- and short-term business needs with technology, whether it's building it or partnering with an off-the-shelf product.

You will champion the available services that the CFT teams should be consuming in order for them to achieve their OKRs and manage down technical debt from the mid to long term roadmap. Evaluate if we are building or buying out of shelving - assess this needs to be fit for purpose.

Key accountabilities for this role are:

Product strategy and direction, including a roadmap to scale our products that is aligned with the company strategy and OKR’s
Collaborative and a team builder - internal customers (cross as a service) (documents as a service)
Technically oriented mind that understand technology and translate requirements
Give the engineering team guidance and structure e.g. build this first then this and what are the reasons for that
Users and prospects conversion to subscribers with high engagement

Is this the right role for you? The answer is YES if you:

Have at least 2 years of experience as Technical Product Manager at modern tech companies
Have experience creating strategic product roadmaps and can demonstrate implementation of successful products and/or features
Have the ability to lead and work effectively with cross-functional teams, communicate with diverse groups, influence change throughout the organisation, and be flexible by adjusting priorities when required
Can demonstrate strong critical thinking, analytical mindset, and experience tracking KPIs and financial metrics
Have experience working with the challenges of a global audience and a global team
Strongly believe that you could champion Ansarada’s leadership philosophy, values and vision.

What’s in it for you?

We are a Great Place to Work certified company (for 11 years in a row!!) which means we have an awesome work culture and are committed to providing the best possible experience for our employees
You can make this role your own - we'll help you raise your potential through both career and personal development opportunities
Flexible work
State of the art offices with barista coffee machine, gym, beer on tap, unlimited snacks, pool table and swings!
Great compensation and employee benefits

Take a virtual tour of our Sydney headquarters with our CEO, Sam Riley, here: https://team.ansarada.com/

What's next for you? https://ansarada-2.wistia.com/medias/eqwttfgp03
Contact the job poster
Mai Huynh (Alice) 2nd
Senior Talent Acquisition at Ansarada - Looking for Product Manager, Mid Backend
Job Poster Location
Vietnam
Send InMail"
3009406614|Product Manager|Ho Chi Minh City, Vietnam|Anfin (YC W22)|Full-time|"About the job
About Anfin

We are a fintech company in Vietnam with the mission to bring investment opportunities and financial literacy to everyone in Vietnam. We strongly believe in the power of the stock market to transform developing economies. Therefore, we’re building the most innovative product in wealth management, and brokerage to make that happen. We have successfully raised investment from global venture capital investors and are now expanding the team to develop our product.

Our team: We’re a close-knit group of start-up enthusiasts, diverse in free-time hobbies from outdoors activities to paintings, yet similar in values like integrity, teamwork, and ownership. If that speaks to you, come join us! The great financial future for the Vietnamese won’t come true without you!

About the role
The Product Manager will work with the founders to help them refine their ideas and bring the product vision to life. That means the candidate will lead and organize the task for a team of software engineers to meet product delivery deadlines. The Product Manager will also research the newest technology and recommend product and user experience improvements.

The ideal candidate must possess a unique blend of business and technical savvy; a big picture vision, and the drive to make that vision a reality. Candidates with prior fintech experience are preferred.

What will you do
- Gain a deep understanding of customer experience, identify and fill product gaps and generate new ideas that grow market share, improve customer experience and drive growth
- Create buying for the product vision both internally and with key external partners
- Develop product pricing and positioning strategies
- Translate product strategy into detailed requirements and prototypes
- Scope and prioritize activities based on business and customer impact
- Manage the entire product line life cycle from strategic planning to tactical activities by working closely with development teams to deliver with quick time to market and optimal resources
- Drive product launches including working with the public relations team, executives, and other product management team members
- Evaluate promotional plans to ensure that they are consistent with product line strategy and that the message is effectively conveyed
- Act as a product evangelist to build awareness and understanding
- Represent the company by soliciting feedback on company products and services

Your skills and experiences
- Have 2+ years of software product management experience as Product Manager/ Product Owner
- Proven track record of managing all aspects of a successful product throughout its lifecycle
- Proven ability to develop product and marketing strategies and effectively communicate recommendations to executive management
- Solid technical background with understanding and/or hands-on experience in software development and web technologies
- Skilled at working effectively with cross-functional teams in a matrix organization
- Strong problem-solving skills and willingness to roll up one’s sleeves to get the job
- Excellent written and verbal communication skills in English

Why you'll love working with us
- Very competitive package
- Potential for ESOP
- MacBook is provided
- 13th-month bonus
- Social Insurance, Premium Healthcare Insurance for employees
- Dynamic, fast-paced start-up work environment building exciting products
- Company trip once a year and many exciting activities for team building
- Free parking, coffee, and tea
- Opportunity to learn about financial literacy from industry experts to build your own wealth
- Opportunity to be mentored by a leadership team who has extensive entrepreneurship experience, successfully founding and exciting Tech companies
- Working hour: Monday to Friday (from 8:30 am to 5:30 pm)
Contact the job poster
Gina Le 2nd
Talent Acquisition at AnFin
Job Poster Location
Ho Chi Minh City, Vietnam
Send InMail"
2937688002|Product Manager/Product Owner|Quận 1, Ho Chi Minh City, Vietnam|Lecle Vietnam|Full-time · Mid-Senior level|"About the job
Product Management tasks

This role is responsible for the overall technical operations of our products and delivery of application services.
As a part of the team, your goal is to maximize service uptime and provide a superior user experience through coordination between teams, capacity planning, and regular product reviews, etc.
Gather a full picture of the product, spot problems, and potential issues timely
Create product time frames and plans, conduct periodic reviews and generate future enhancements plans.
Coordinate with development teams to ensure things are done in adherence to the deadlines given.
Communicate with another department to gather information on new features,
Maintain good documentation of all aspects of the product.
Scrum tasks:

Groom and prioritize the product backlog.
Develop user stories and define acceptance criteria.
Participate in sprint planning/review meetings with all scrum members.
Follow the progress of work and address production issues during sprints.
Schedule meetings to identify issues and fixes for projects.

Qualifications

Groom and prioritize the product backlog;
Develop user stories and define acceptance criteria;
Participate in sprint planning/review meetings with all scrum members;
Follow the progress of work and address production issues during sprints;
Schedule meetings to identify issues and fixes for projects.

Additional Information

What we can offer you:

At LECLE, we strive to make a pleasant working environment for you. Here are some perks at our company:

Working time: 8:00 AM - 5:00 PM, Monday - Friday (Flexitime from 8:00AM - 9:30 AM)
Laptop provided
13th-month salary + KPI bonus at the end of the year
15 days of annual leave per year
Performance review twice a year
Regular training & sharing sessions
Onsite opportunity in Korea
Events & activities: company trip at least once a year, monthly company parties & other teambuilding activities
Other benefits such as holidays and insurance benefits will follow Vietnam laws
Free coffee, snack and drinks"
2951990692|Product Manager|Ho Chi Minh City, Ho Chi Minh City, Vietnam|Citi|Full-time|"About the job
Job Id: 22439874

The Product Sales Intmd Analyst is a developing professional role. Deals with most problems independently and has some latitude to solve complex problems. Integrates in-depth specialty area knowledge with a solid understanding of industry standards and practices. Good understanding of how the team and area integrate with others in accomplishing the objectives of the subfunction/ job family. Applies analytical thinking and knowledge of data analysis tools and methodologies. Requires attention to detail when making judgments and recommendations based on the analysis of factual information. Typically deals with variable issues with potentially broader business impact. Applies professional judgment when interpreting data and results. Breaks down information in a systematic and communicable manner. Developed communication and diplomacy skills are required in order to exchange potentially complex/sensitive information. Moderate but direct impact through close contact with the businesses' core activities. Quality and timeliness of service provided will affect the effectiveness of own team and other closely related teams.

Responsibilities:
Support sales delivery to our internal and external partners through dual delivery model in follow-up and responsiveness.
Responsible for supporting internal and external growth initiatives communicated to team.
Responsible for dissemination of communications.
Provide support on increasing and capturing cross sell opportunities.
Increase efficiencies of daily sales and operational activities.
Responsible for reporting sales results and reasons for successes.
Support sales executives with specific business initiatives; create, lead and advise on sales and product training; and support growth of sales.
Liaise between sales teams and branches on initiatives.
Represent sales on the development of strategies and programs to effectively partner with the bank.
Responsible for partnering sales leadership to deliver activities, programs and promotions on monthly sales and marketing calls.
Liaise with partners to develop marketing opportunities to maximize growth in sales and customer acquisition, retention and satisfaction.
Work in coordination with sales executives in creating, driving and supporting business plans and initiatives.
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Qualifications:
2-5 years previous banking experience preferred
Education:
Bachelor’s/University degree or equivalent experience
Citi has entered into an agreement with United Overseas Bank (UOB Vietnam) to transfer its consumer bank in Vietnam which includes Cards & Loans, retail banking and insurance distribution. The sale is expected to complete in end of 2022. As this is a role to work in Citi’s consumer bank, the successful candidate will initially be employed by Citi, but during the course of sale completion, their employment will transfer to UOB (or) a new entity that will employ Citi’s consumer bank employees, prior to their transfer to UOB.

-------------------------------------------------

Job Family Group:

Consumer Sales

-------------------------------------------------

Job Family:

Consumer Product Sales

------------------------------------------------------

Time Type:

Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting"
2983877751|Associate Product Manager, Visily|Ho Chi Minh City, Ho Chi Minh City, Vietnam|KMS Technology, Inc.|Full-time · Entry level|"About the job
This job is sourced from a job board. Learn more
Join our team to build a cutting-edge UI design software product (think of Sketch or Figma, but... different). Our company is the 5th company started from KMS Labs. We are early but have an incredibly bold vision. We're looking for a Product Manager to help take the product to the next level.
Perform market research and competitor analysis
Define product metrics, work with a dev to set up, track and analyze usage data
Engage with users, listen to their feedback, conduct user interviews
Work with the Head of Product to define features based on the product roadmap
Design and document feature specs and work with designers to create mockups
Work with developers to hand-off product features and perform user validation
Support the marketing team to improve user conversion and virality
3+ years relevant experience in product roles
Familiar with product analytics tools such as Mixpanel, Log Rocket etc.
Our users are all over the world, English communication is key
Bold, creative, and aggressive thinker
Strong critical thinking and problem-solving skills Perks
Highly competitive salary and benefits
Work with a highly talented team in one of the best places to work in Vietnam
Modern office in HCMC; premium healthcare insurance for you and your family; annual company trip and year-end party; many fitness/sport programs and team building events; in-house entertainment facilities, snacks and beverages. And much more, join us to build global software from Vietnam!"
2966433340|Product Manager|Ho Chi Minh City, Ho Chi Minh City, Vietnam|Citi|Full-time|"About the job
Job Id: 22452916

The Product Manager is an intermediate management level position responsible for managing a broad range of Product Management employees, setting strategy and providing direction, leadership and budgetary management, etc. Additionally, this role will be responsible for the development of product plans, strategies, and tactics while coordinating product lines through product life-cycles in coordination with the broader Product Management team. The overall objective of this role is to coordinate the promotion of products to develop new markets, increase share of market and obtain competitive position.

Responsibilities:
Partner with Product Managers to implement product strategy and ensure management goals are achieved though collaboration with partners to execute a differentiated and client-centric product vision and strategy
Partner with senior Product Managers to implement strategic roadmap, program development, launch, and marketing to gain maximum benefit for each product as well as research market dynamics, products, and competitive climate to optimize strategies to grow and retain asset accounts and balances
Assist in day-to-day product management for core products, including product delivery, client experience, and client communications as well as help the team prioritize, negotiate, and remove obstacles to achieve business results
Execute the client value propositions, positioning, segmentation, pricing, targeting, channel strategies, and competitive differentiation to achieve preferred status as partner to Citi clients
Conduct client and competitor market research to aid in the development of product innovation roadmaps
Execute all aspects of the program development life cycle management including market demands, technology trends, and competitive field
Help drive innovation including working with external partners/alliances to maintain/improve product status
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency, as well as effectively supervise the activity of others and create accountability with those who fail to maintain these standards.
Qualifications:
0-2 years of relevant experience
Working knowledge of marketing, credit, acquisitions, product development and/or analytics
Demonstrated problem-solving and decision-making skills
Ability to work unsupervised and adjust priorities quickly as circumstances dictate
Ability to work under pressure and manage deadlines or unexpected changes in expectations or requirements
Demonstrated analytical skills
Consistently demonstrates clear and concise written and verbal communication
Ability to work in a team-oriented environment
Education:
Bachelor’s degree/University degree or equivalent experience
Citi has entered into an agreement with United Overseas Bank (UOB Vietnam) to transfer its consumer bank in Vietnam which includes Cards & Loans, retail banking and insurance distribution. The sale is expected to complete in end of 2022. As this is a role to work in Citi’s consumer bank, the successful candidate will initially be employed by Citi, but during the course of sale completion, their employment will transfer to UOB (or) a new entity that will employ Citi’s consumer bank employees, prior to their transfer to UOB.

-------------------------------------------------

Job Family Group:

Product Management and Development

-------------------------------------------------

Job Family:

Product Management

------------------------------------------------------

Time Type:

Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting"
2949749066|Associate Product Manager/ Business Analyst, Kobiton|Ho Chi Minh City, Ho Chi Minh City, Vietnam|KMS Technology, Inc.|Full-time · Entry level|"About the job
This job is sourced from a job board. Learn more
If you are a highly-motivated individual with a genuine interest in technology and a passion to deliver cutting-edge products, we have the perfect job for you! * We are seeking an Associate Product Manager to work with our dream team environment in order to deliver the best software solutions to our innovative and industry-leading products Key responsibilities: * Gather, analyze and create high-level requirements * Participate in product prototyping process, interface mock-up, wireframe and GUI creation in Agile environment * Analyze market trends and perform competitor analysis * Share the business value to the development team so they understand the intent behind the new feature, release or product * Work with the Product Owner to define the product roadmap and vision * Prioritize features by ranking them against the strategic goals and initiatives to make sure the delivery of product, include managing dependencies in and across releases to complete release phases and milestones * Coordinating all of the activities required to bring the product to market. This involves bridging gaps between different functions within the company and aligning all of the teams involved (e.g: Marketing, Sales, and Customer Support) * Determine which ideas should be promoted into features to push the product strategy forward * Ensure that feedback and requests are seamlessly integrated into the product planning and development processes Knowledge and skills: * 3+ year experience in Product Owner or Business Analyst * Possess Agile and Scrum practices * Good presentation and stakeholder management * Advanced English and aptitude to learn and understand new and emerging technologies * Be familiar with requirement specification technique: user story, modelling, prototyping * Possess great knowledge about requirement elicitation/management * Good organizational, analytical, as well as oral and written communication skills /Nice to have:/ * Knowledge on mobile technology * Experience on mobile app projects * Bachelor Degree in Computer Science or a related technical discipline BE YOUR BEST WITH KMS * Working in one of the Best Places to Work in Vietnam * Building large-scale & global software products * Working & growing with Passionate & Talented Team * Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions & Consulting * Attractive Salary and Benefits * Performance appraisals every year * Onsite opportunities: short-term and long-term assignments in North America (U.S, Canada), Europe, Asia * Flexible working time * Various training on hot-trend technologies, best practices and soft skills * Premium healthcare insurance for you and your loved ones * Company trip, big annual year-end party every year, team building, etc. * Fitness & sport activities: football, tennis, table-tennis, badminton, yoga, swimming... * Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,... * Free in-house entertainment facilities (foosball, ping pong, gym...), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies...) And much more...Send your last updated resume* *to start interesting conversations with KMS Hiring Team and let yourself explore other fantastic things!"
2937079740|Associate Product Manager, Grove|Ho Chi Minh City, Ho Chi Minh City, Vietnam|KMS Technology, Inc.|Full-time · Entry level|"About the job
This job is sourced from a job board. Learn more
Your scope of work: * As a member of Product Management team, understand product roadmap and vision and work towards accomplishing the vision and product roadmap * Collecting quantitative product data and metrics through market research * Do competitive analysis and market research to enhance product value proposition * Collecting quantitative product data and metrics through market research * Work closely with customers to understand their business need and ensure the product meets the requirement * Research business domain knowledge to come up with adequate business process models * Works closely with UX/UI designers to come up with adequate wireframes, prototypes, and screen flows * Sketching to visualize ideas before deciding which one to stick with * Wireframing to discuss ideas with team members and stakeholders * Clarify the scope of the requirements in stand-up meetings with engineering and designing teams and work closely with them * Conducts user interviews to understand end-user behaviors to build appropriate requirements * Lead walk-throughs of new features in team meetings What you will learn: * Learn how to build products from start to finish * Be part of a success story in an early stage global tech startup * Project and time management skills * Collaboration skills across functions * Agile methodology and processes * UX / UI skills Profile: * Responsible for rallying, managing, and guiding entire product management teams, an ideal candidate needs to have strong communication skills to keep everyone on the same page * As an APM, one of the primary responsibilities will be to conduct market research. This will help the APM figure out new product ideas, features, and ways to improve the user experience of existing products. Naturally, this would involve analyzing trends and running tests - all of which require good analytical skills. * An APM should know how to ship a product/handle product launches, as well as, how to prioritize conflicting needs and requests. Ultimately, they should be able to make difficult decisions quickly. * An APM should have curious and be open-minded in listening to customer needs and empathizing with the challenges, hence an ideal candidate is required to have good listening skills * The candidate is also expected to be proactive in taking appropriate actions to ensure that requirements are provided with all the details required and delivered on time * Willing to learn new knowledge, get up to speed with new tools and working methodologies * Tech-savvy and user of online collaboration tools * Ability to present ideas and communicate them clearly * Able to do market research quickly and make decisions with incomplete information * Previous experience in a business analyst or any product management role is a plus * Background or personal interest in UX/UI is a plus * User of Sketch or InVision is a plus Other information: * Intermediate to fluent level of English is preferred * Preferably has already worked in multicultural teams * Early adopter of new products/technologies Possible next steps: * Product Management roles * Product Marketing * Sales / Business Development * Customer Success /Perks You'll Enjoy / * Global software products company * Working & growing with Passionate & Talented Team * Diverse career opportunities with Engineering, Product Development, Business Development, Customer Success/Support...team * Attractive Salary and Benefits * Flexible working time * Various training on state-of-the-art technologies, practices, and soft skills * Premium healthcare insurance for you and your loved ones * Company trip, big annual year-end party every year, team building, etc. * Fitness & sports activities: football, tennis, table tennis, badminton, yoga, swimming... * Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,... * Free in-house entertainment facilities (frisbee, foosball, gym...), coffee, fruit, and snack (instant noodles, cookies, candies...) Join us and let yourself explore other fantastic things!"
2990207435|Associate Product Manager, Visily|Ho Chi Minh City, Ho Chi Minh City, Vietnam|Visily|Full-time · Mid-Senior level|"About the job
Same-Day Result + Joining Gift : no waiting days, you will get KMS feedback within interview day and the Joining Gift is waving at you as KMSer
*** Apply from Mar 28 - Apr 30

Join our team to build a cutting-edge UI design software product (think of Sketch or Figma, but... different). Our company is the 5th company started from KMS Labs. We are early but have an incredibly bold vision. We’re looking for a Product Manager to help take the product to the next level.

Perform market research and competitor analysis
Define product metrics, work with a dev to set up, track and analyze usage data
Engage with users, listen to their feedback, conduct user interviews
Work with the Head of Product to define features based on the product roadmap
Design and document feature specs and work with designers to create mockups
Work with developers to hand-off product features and perform user validation
Support the marketing team to improve user conversion and virality

Qualifications

3+ years relevant experience in product roles
Familiar with product analytics tools such as Mixpanel, Log Rocket etc.
Our users are all over the world, English communication is key
Bold, creative, and aggressive thinker
Strong critical thinking and problem-solving skills

Additional Information

Perks

Highly competitive salary and benefits
Work with a highly talented team in one of the best places to work in Vietnam
Modern office in HCMC; premium healthcare insurance for you and your family; annual company trip and year-end party; many fitness/sport programs and team building events; in-house entertainment facilities, snacks and beverages.
And much more, join us to build global software from Vietnam!"
2993731530|IT Product Manager - Quản Lý Sản Phẩm Công Nghệ|Hanoi, Hanoi, Vietnam|Công Ty Aroma|Full-time · Associate|"About the job
This job is sourced from a job board. Learn more
Mô tả công việc
Quản lý, điều phối đội ngũ phát triển. Sản phẩm: ứng dụng quản lý công việc và quản trị doanh nghiệp.
Tiến hành nghiên cứu khách hàng, phân tích thị trường. Từ đó lập kế hoạch, xác định tầm nhìn và lộ trình phát triển sản phẩm.
Quản lý mọi khía cạnh về sản phẩm. Hỗ trợ tổng thể và giám sát suốt vòng đời của các sản phẩm, đảm bảo chất lượng, tiến độ sản phẩm.
Tư vấn triển khai sản phẩm cho khách hàng, ghi nhận phản hồi.
Phân tích dữ liệu về sản phẩm. Từ đó hỗ trợ cải tiến, hoàn thiện sản phẩm. - Đào tạo và phát triển cộng đồng chuyên gia cá nhân về sản phẩm.
Tham gia vào việc quản lý công việc, vận hành công ty Luklak để phục vụ cho công việc liên quan. - Địa điểm làm việc: Công ty công nghệ Luklak, 168 Xã Đàn 2, P. Nam Đồng, Q. Đống Đa, Hà Nội.
Yêu cầu ứng viên
Tốt nghiệp đại học trở lên. Có nền tảng, kiến thức vững vàng về công nghệ, ứng dụng công nghệ trong quản trị doanh nghiệp, quản lý công việc. - Ưu tiên ứng viên có kinh nghiệm ở vị trí tương đương, hoặc 3 năm kinh nghiệm về phát triển ứng dụng.
Có khả năng lãnh đạo đội ngũ, ra quyết định.
Tư duy hệ thống và khả năng phân tích tốt về thị trường, nhu cầu.
Khả năng giao tiếp tốt, có thể nắm bắt, phân tích vấn đề cũng như thúc đẩy triển khai công việc với các đối tượng khác nhau.
Yêu thích các phương pháp, quy chuẩn và công cụ quản lý công việc.
Có kinh nghiệm thực tế hoặc kiến thức về các mô hình chuẩn hoá trong quản lý công việc, như Agile Scrum, Scaled Agile Framework (SAFe), Getting Things Done, Six Sigma, PDCA,… là một lợi thế.
Nhiệt huyết, sẵn sàng thử thách, có thể xây dựng tầm nhìn cho những sản phẩm lớn từ bước đầu tiên.
Có laptop cá nhân.
Quyền lợi
Mức lương hấp dẫn tương xứng với năng lực và kinh nghiệm.
Có cổ phần sáng lập cho cấp quản lý, trưởng nhóm khi vào làm việc trong giai đoạn đầu. Có cổ phần ưu đãi ESOP cho các nhân sự có năng lực và kết quả tốt.
Hưởng đầy đủ các chế độ theo quy định của Nhà nước như BHXH, BHYT.
Các chế độ phúc lợi khác: Nghỉ lễ tết, nghỉ phép năm, tham quan du lịch…
Học tiếng anh miễn phí tại AROMA
Tiếng Anh Cho Người Đi Làm. - Được đào tạo kiến thức, kỹ năng cơ bản và nâng cao.
Môi trường trẻ trung năng động, tạo điều kiện phát huy giá trị cá nhân."
