id|jobTitle|location|company|type|description
3009418236|Fresher/Junior Software Engineer|Hanoi, Hanoi, Vietnam|Spores Network|Full-time|"About the job
Job Description
▪ Complying with company procedures & discipline ▪ Building smart contracts and applications on the blockchain platform
▪ Developing web application, mobile application, client-server systems
▪ Other tasks as required by the line manager
Requirements
▪ Fresh graduate or junior software engineers with under 2 years of experience
▪ Basic knowledge of programming languages, data structures, and algorithms
▪ Knowledge of HTML, CSS, JavaScript
▪ Understanding SQL and optimizing SQL sentences
▪ Having a passion to explore & learn new technologies
▪ Discipline, perseverance, ability to adapt to work pressure
▪ Having English writing & listening skills Preferred
▪ Understanding of Blockchain and its application
▪ Used to work with Vscode, Github, AWS
▪ Providing college transcripts or Demo
Products Spores tech stack at present
▪ Backend: NodeJS, Go, Rust, Postgres, MongoDB
▪ Frontend: React, Javascript, HTML, CSS, Next.js
▪ Smart-contract: Solidity, Rust
Benefits
▪ Be a part of the blockchain and cryptocurrency revolution that is changing the world, with plenty of opportunities for personal growth and development
▪ Mentorship and coaching by senior leaders in the company, who are successful serial entrepreneurs and alumni of Ivy League schools (Yale, LSE, Harvard, University of Chicago)
▪ Work with world-class experts around the world in the areas of blockchain, NFT, virtual reality, media and entertainment, arts, investment, and more
▪ Equipped with methodical knowledge and support from a team of experts
Contact the job poster
Nguyen Nam 2nd
PMP, PMI-ACP
Job Poster Location
Hanoi Capital Region
Send InMail"
3009410341|Software Engineer Intern (Remote OK)|Ho Chi Minh City, Vietnam|EyeQ Tech|Internship|"About the job
About us:
- We are the most popular computer vision company in Vietnam. If you watch Shark Tank season 3, you’ll know us. We won numerous startup awards:
- SK Accelerator 2020, Grand Prize
- Visa Everywhere Initiative 2018, Champion
- We have a very unique culture which nurtures people with an explorative mindset. You can read more on our website’s career page https://eyeq.tech/cach-tim-dong-doi/.
Our dev team is based in Phu Nhuan, HCMC in case you like to come to the office.
About the role:
- We are scaling the AI kiosk check-in solution, but much cooler and smarter (https://bitly.com/33DQrBy).
- You’ll learn from developers with national olympiad prizes in programming. Training will be provided before you can code a real product.
Skills required:
Note that we will assess your skills from beginning to advanced, but the key things are critical thinking, problem-solving.
Some knowledge below might be helpful, but if not, you’ll have time to learn:
+ Object-oriented programming
+ Intermediate data structures: Linked list, array, stack, hash table, tree, you must know how to implement, not using built-in functions.
+ Basic algorithm knowledge: know what big O means, know the difference between O(n) and O(1), O(n^2).
Salary and rewards:
+ 3 million/month. Besides, we pay generous bonuses (20 million - 40 million VND) at important milestones.
+ Great interns will be offered a full-time job after the internship.
+ Company trip (1 week long) every 6 months.
+ Free gym & swimming pool.
+ Unlimited online courses for you to upskill.
Apply:
Please send your CV to recruit{at}eyeq{dot}tech


Contact the job poster
Vivian Truong 2nd
HR Recruiter
Job Poster Location
Ho Chi Minh City, Ho Chi Minh City, Vietnam
Send InMail"
3008930586|Fresher/Junior Software Engineer|Hanoi, Hanoi, Vietnam|Spores Network|Full-time|"About the job
Job Description
▪ Complying with company procedures & discipline
▪ Building smart contracts and applications on blockchain platform
▪ Developing web-application, mobile application, client-server systems
▪ Other tasks as required by line manager
Requirements
▪ Fresh graduate or junior software engineers with under 2 years of experience
▪ Basic knowledge of programming languages, data structures and algorithms
▪ Knowledge of HTML, CSS, JavaScript
▪ Understanding SQL and optimizing SQL sentences
▪ Having passion to explore & learn new technologies
▪ Discipline, perseverance, ability to adapt to work pressure
▪ Having English writing & listening skill
Preferred
▪ Understanding of Blockchain and its application
▪ Used to work with Vscode, Github, AWS
▪ Providing college transcripts or Demo Products
Spores tech stack at present
▪ Backend: NodeJS, Go, Rust, Postgres, MongoDB
▪ Frontend: React, Javascript, HTML, CSS, Next.js
▪ Smartcontract: Solidity, Rust
Benefits
▪ Be a part of the blockchain and cryptocurrency revolution that is changing the world, with plenty of opportunities for personal growth and development
▪ Mentorship and coaching by senior leaders in the company, who are successful serial entrepreneurs and alumni of Ivy League schools (Yale, LSE, Harvard, University of Chicago)
▪ Work with world-class experts around the world in the areas of blockchain, NFT, virtual reality, media and entertainment, arts, investment and more
▪ Equipped with methodical knowledge and support from a team of experts

About Us
Spores Network is a GameFi and Metaverse Publisher seeking to empower Web3 experiences that integrate with culturally forward Entertainment IP and Corporate Brands. Our core business consists of Launchpad, Marketplace, Incubator.
Our founding team combines successful, international serial entrepreneurs with several achievements in traditional businesses as well as in the blockchain space. Spores Network is also supported by a world-class advisory board, top KOLs and global investors, with a proven track record in blockchain and cryptocurrencies.
The Spores team is headquartered in Vietnam, with presence in China (Shanghai) and USA (Los Angeles and Chicago).
Our website: https://spores.app/

Contact the job poster
Quan Nguyen 2nd
Software Engineer (Blockchain, GameFi, NFT)
Job Poster Location
Hanoi, Hanoi, Vietnam
Send InMail"
2987774355|Senior Officer, Software Engineering (40001157) 3|Hanoi, Hanoi, Vietnam|Techcombank (TCB)|Full-time · Entry level|"About the job
Job Purpose

Key Accountabilities (1)

Key Accountabilities (2)

Key Accountabilities (3)

Key Relationships - Direct Manager

Key Relationships - Direct Reports

Key Relationships - Internal Stakeholders

Key Relationships - External Stakeholders

Success Profile - Qualification and Experiences"
2987774362|Senior Officer, Software Engineering (40001157) 3 1|Hanoi, Hanoi, Vietnam|Techcombank (TCB)|Full-time · Entry level|"About the job
Job Purpose

Key Accountabilities (1)

Key Accountabilities (2)

Key Accountabilities (3)

Key Relationships - Direct Manager

Key Relationships - Direct Reports

Key Relationships - Internal Stakeholders

Key Relationships - External Stakeholders

Success Profile - Qualification and Experiences"
2992959647|Software Engineer|Vietnam|Dwarves Foundation|Full-time|"About the job
DWARVES FOUNDATION APPRENTICESHIP 2022

Dwarves Foundation is an innovative tech firm. We build and ship top notch software to resolve business problems through impactful tech solutions.

Dwarves Foundation Apprenticeship 2022 is a 6-month fully paid work-study-train program designed primarily to provide mid-level and above software engineers with splendid software development practices, strong professional skills, and work ethics.

Opening to mid-level software engineers anywhere.

Program details: https://careers.d.foundation/apprenticeship-2022

Opening until Apr 25, 2022: https://form.typeform.com/to/LfCWfoml

Dwarves Apprenticeship 2022 is built for the young professionals who:

▪️ Have at least 1 year of experience as a software engineer
▪️ Look for full time & fully paid apprentice positions
▪️ Seek for an environment to upgrade tech skills & make top-notch software
▪️ Build up teamwork mindset & fine-tune soft skills
▪️ Ready to figure out the next moves in their software career
Contact the job poster
Huy Tieu 2nd
Product Manager | Blockchain Product
Job Poster Location
Ho Chi Minh City, Vietnam
Send InMail"
2997288343|Software Engineer|Hanoi, Hanoi, Vietnam|Kofax|Full-time · Entry level|"About the job
Management and staff in Kofax’s Software Engineering job family help the company to build and improve new and/or existing software products and their applications that we sell to our customers. The position of Engineer is a core, entry-level departmental role and appointees are expected to perform whole core departmental tasks; albeit more basic tasks by comparison to Senior Engineers/Specialists and above.

Engineers will perform some of the following work and be involved in other aspects, as assigned:
Contributing to product ideas and innovation
Evaluating product roadmaps (working with Product Management, among other internal partners) to determine design and programming development requirements to meet customer needs (includes evaluating existing products and applications to enhance these and/or designing new products and applications)
Conducting research, where appropriate and needed, to solve specific design problems
Creating product and/or applications’ architecture and design documentation to specify engineering development requirements
Writing/developing code for new, existing or enhanced software products and applications
Working with various internal partners (such as Quality Assurance) to test new or enhanced products and their applications
Participating in cross-functional build/configuration activities to ensure overall effective and efficient new or enhanced engineering design
Contributing to downstream business activities such as technical publications and other technical communications’ tool development to ensure streamlined and effective end-user use of Kofax software products and their applications
Ensuring new or updated releases are completed on-time, on-target, on-budget and without compromise to quality
Supporting other internal and external partners/stakeholders/customers, as and when appropriate, in responding to technical inquiries
Staying abreast of industry and field developments; remaining current in the latest technologies and functionalities, as well as ever-evolving needs of customers and their customers

Other Responsibilities
Domestic and/or International travel up to 10% is required

Required Skills
Proficiency in building iOS and Android applications with both Objective-C and Java.
Experience with Cordova and Ionic Frameworks.
Knowledge of JavaScript, HTML/HTML5, CSS and Angular JS.
Experience with secure protocols (SSL/TLS), relational databases and SQL.
Experience with object oriented design and modern design patterns.
Good command of English.

Required Experience

Candidates for this position should hold the following qualifications, have the following experience, and be able to demonstrate the following competencies to be considered as a suitable applicant. Please note that except where specified as “preferred,” or as a “plus,” all points listed below are considered minimum requirements.
Bachelors Degree in a related discipline is strongly preferred
Typically has 5 or more years’ relevant technical experience

Kofax, Inc. is an Equal Opportunity Employer, M/F/D/V"
2992719416|Full-Stack Software Engineer (Python, Django and JavaScript)|Ho Chi Minh City, Vietnam|Royal HaskoningDHV|Full-time · Associate|"About the job
Do you want to enhance society using your software development skills? Do you want to be part of a high-performance team providing new solutions to our engineering and consultancy business all around the world?

We are Royal HaskoningDHV. Our purpose is to harness the power of data and software to deliver the environments of tomorrow. We’re using our engineering heritage to enhance society and create a more sustainable future.

What you will do as a Full-Stack Software Engineer (Python, Django and JavaScript)
In our team we provide solutions to the Water&Maritime business line. Our objective is to support the business in their digital ways of working (DWoW), by automating processes, connecting workflows and enabling them to work in a data driven way. Currently we use Python with Django REST framework and VueJS to deliver our high-quality tools.

We are looking for a Full-Stack software engineer with over 5 years of relevant experience, who is interested to work together with STEM related disciplines. Furthermore:
You will be involved in the development of new products;
You will be working at the intersection between engineering, data science and software development;
You will work in a small robust team with an entrepreneurial mindset, that operates in a larger eco-system of developers within Royal HaskoningDHV;
You will support the business globally, with offices on 6 continents.

Where you will work
Active in Vietnam since 1985 and established in 1993, HaskoningDHV Vietnam is a 100% foreign invested company of Royal HaskoningDHV and recognized as one of the most prominent leading engineering and consultancy firms with a unique track record of key projects in Vietnam and SE Asia. With offices in Ho Chi Minh City and Hanoi and nearly 200 employees, HaskoningDHV Vietnam has carried out numerous projects for the private and public sector, comprising the full scope of engineering and consultancy services for Industrial & Building projects, Maritime & Aviation, Water Management and Real Estate projects.

What you bring
Requirements:
You are proficient in Python;
You are experienced in Django, JavaScript and GIT;
You are used to work in Agile/Scrum teams;
Junior colleagues and Citizen Developers rely on your guidance for their personal development;
You have an excellent command of English;
You have a Bachelor in Computer science or similar. STEM related disciplines in combination with relevant experience also considered.
Preferably:
Experience with modern web-technologies (VueJS, AngularJS, React.JS);
Experience with data manipulation libraries (Numpy, Pandas, etc.);
Experience with writing unit tests;
Exposure to wider OO-languages is a plus (f.e. C#);
Experience with deployment pipelines using YAML;
You have familiarity with serverless and container technologies (e.g. Docker);
You have one or more relevant certifications for Microsoft Azure.

What we offer you
Good primary and secondary employment conditions
Excellent opportunities for development in both width and depth
Flexible working conditions
Opportunities for international projects
Budget and time for personal development and travel opportunities
Possibility to qualify for talent programs at different levels

Are you our new colleague?
If you are interested in this position, please send your CV and a motivation letter via the Apply button.

Acquisition by agencies is not appreciated."
3004940515|Software Engineer, Fullstack|Ho Chi Minh City, Ho Chi Minh City, Vietnam|Grab|Full-time · Entry level|"About the job
Job Description:

Our Team

Come join the team that literally serves Grab - the Grab Gateway team. We front hundreds of APIs and process billions of incoming network messages for Grab's customers every day via our gateway systems. As a leader in an exciting and fast-paced industry that is evolving daily, we are seeking talented engineers to join our platform team!

Get to know the Role

You specialize in building and maintaining leading edge solutions built on world-class technology stacks that bring our unique on-demand services experience to South-East Asia every day — be it transport, payments, food, or ""the awesome things to come"". Millions of people will be impacted by your contributions, which is demanding in terms of design and quality but also incredibly rewarding. You will
Design, build and own Grab's gateway systems connecting mobile devices, web apps and backend services with Grab's service mesh.
Build and deploy performant modern web applications in React, Redux, Typescript
Design and build API Management Portal to support APIs life cycle. Build and deploy performant API lifecycle Management in React, Redux, Typescript.
Write high quality, bug-free, reusable, maintainable code both in frontend and backend. Actively participating in both code and design review
Design and Build highly-available distributed systems that serve billions of transactions daily.
be at home in a multi-cloud environment and build scalable, zero-downtime network traffic routing and analytics solutions for Grab's ""public edge"", serving billions of daily requests to Grab customers.
Work and facilitate collaboration across teams located in different countries and cultures.
The must haves:
Strong computer science fundamentals including data structures, algorithms and multithreading.
Proficient with at least one language commonly used for backend services development (C#, Java, C++, C, etc.), willing to learn and work on Golang, C++
Hands-on experience with JavaScript programming language and at least one modern JavaScript UI framework such as React, Angular, Ember
Demonstrates a solid understanding of cloud infrastructure with hands-on experience being a plus.
Good communication skills, sharp analytical abilities with proven design skills, ability to think critically system growth and stability
The nice-to-haves
Hands-on experience with Envoy code base
Dealing with massive concurrency and designing resilient algorithms
IaaS providers and their limitations (AWS, Google, Microsoft), Terraform experience
Hands-on experience with large scale Docker / Kubernetes deployments"
2787783589|Software Engineer (Python)|Hanoi, Hanoi, Vietnam|WorldQuant|Full-time · Entry level|"About the job
WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on exploiting market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform.

Technologists at WorldQuant research, design, code, test and deploy projects while working collaboratively with researchers and portfolio managers. Our environment is relaxed yet intellectually driven. Our teams are lean and agile, which means rapid prototyping of products with immediate user feedback. We seek people who think in code, aspire to tackle undiscovered computer science challenges and are motivated by being around like-minded people. In fact, of the 600 employees globally, approximately 500 of them code every day.

WorldQuant’s success is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employees are encouraged to challenge conventional thinking and possess an attitude of continuous improvement. That’s a key ingredient in remaining a leader in any industry.

Our goal is to hire the best and the brightest. We value intellectual horsepower first and foremost, and people who demonstrate an outstanding talent. There is no roadmap to future success, so we need people who can help us build it. Our collective intelligence will drive us there.

What You’ll Bring
Python programming or hands-on industry experience with C++
Bachelor’s degree or higher from a top university in computer science, information technology, engineering, or any other related fields.
5+ years as developer in a systematic environment, possess core technical skills
Familiarity with scripting languages and developing multithreading real-time applications on Linux/Unix platforms
Working knowledge in various database and messaging technologies such as SQL, Redis, Kafka etc
Experience with data analysis is a plus
Excellent problem solving skills and out of the box thinking ability
Excellent problem solving abilities and judgment with strong attention to detail
Mature, thoughtful, with the ability to operate in a collaborative, team-oriented culture
Proficiency in English, both written and verbal.
Benefits
Competitive and attractive compensation package with clear career road-map – where you feel challenged everyday
We offer a strong culture of learning and development: training courses, library, speakers, share and learn events
Learn from who sits next to you! Working in WQ you are surrounded by smart and talented people
Employee resources groups with strong diversity and inclusion culture
Premium Health Insurance and Employee Assistance Program
Generous time-off policy, unlimited sick days, re-creation sabbatical leave (based on tenure), Trade Union benefits for staff and family
Team building activities every month: Local engagement events, monthly team lunch – Employee clubs: football, ping-pong, badminton, yoga, running, PS5, movies, etc.
Annual company trip and occasional global conferences – opportunity to travel and connect with our global teams
Happy-hour with tea break, snacks and meals every day in the office!
The position is based in Hanoi or Ho Chi Minh city.

Copyright © 2021 WorldQuant, LLC. All Rights Reserved. WorldQuant is an equal opportunity employer and does not discriminate in hiring on the basis of race, color, creed, religion, sex, sexual orientation or preference, age, marital status, citizenship, national origin, disability, military status, genetic predisposition or carrier status, or any other protected characteristic as established by applicable law."
