id|jobTitle|location|company|type|description
3008537458|Software Tester|Hanoi, Hanoi, Vietnam|Hectagon Finance|Full-time|"About the job
MÔ TẢ CÔNG VIỆC
Lập kế hoạch và thiết kế kịch bản test, chuẩn bị dữ liệu test. Căn cứ vào kịch bản test, chạy thử phần mềm, phát hiện lỗi.
Quản lý và phân tích kết quả test.
Đảm bảo chất lượng sản phẩm hoàn thành đúng design và yêu cầu dự án.
Nghiên cứu các phương pháp kiểm thử hiệu quả và đề xuất phương pháp thích hợp cho từng nhu cầu cụ thể.
Hiểu rõ các yêu cầu chức năng của các sản phẩm của Công ty.
YÊU CẦU CÔNG VIỆC
Ít nhất 2 năm kinh nghiệm thực tế test web app và mobile app.
Có kiến thức tốt về các loại hình kiểm thử, các kỹ thuật kiểm thử.
Có kiến thức tốt về quy trình phát triển phần mềm, quy trình kiểm thử.
Cẩn thận, tỉ mỉ, học hỏi nhanh và có nhiều ý tưởng sáng tạo
Thông cảm với sự khó khăn của dev. Nhưng không quên rằng, sản phẩm này dành cho người dùng.
Tốt nghiệp chuyên ngành IT là một lợi thế
Có kiến thức về Blockchain là một lợi thế.
Ứng viên có chứng chỉ ISTQB là một lợi thế.
TẠI SAO BẠN THÍCH LÀM VIỆC Ở CÔNG TY CHÚNG TÔI
Môi trường làm việc trẻ trung, năng động;
Tham dự các dự án lớn, ứng dụng các công nghệ hàng đầu;
Thu nhập thỏa thuận theo năng lực từ 600$ - 1000$;
Thưởng ngày lễ, tết theo luật lao động;
Hưởng đầy đủ các chính sách và chế độ như: BHYT, BHXH, BHTN,.. theo đúng quy định của Bộ Luật Lao động và của Công ty;
Hưởng chế độ nghỉ mát 1 lần/năm, có chế độ thăm hỏi sức khỏe cho bản thân và người nhà theo Chính sách đãi ngộ của Công ty;
Đóng BHXH theo quy định của Luật lao động.
Đóng BHNT cho nhân sự sau 6 tháng làm việc.

Contact the job poster
Tran Khue
Personnel Recruitment II Operation Assistant II Administrative and Human Resources
Job Poster Location
Hanoi, Hanoi, Vietnam
Send InMail"
3008652942|Tester|Ho Chi Minh City, Ho Chi Minh City, Vietnam|KONE|Full-time · Entry level|"About the job
Testing
Liaises with relevant site personnel to ascertain state of lift. Posts notices on lift and communicate with the others who may be affected
Ensures that the lift is electrically safe
Commissions the lift in accordance with the agreed specification parameters
Tests the lift in accordance with the relevant test document and KONE standard interpretation of EN81, Lift Directive and/or Design (Essential Health & Safety Requirements compliance)
Takes measurements and completes the necessary documentation
Records any abnormalities for corrective action or inclusion in H&RA for the lift/site
Carries out final inspection and signs the Final inspection document
The Tester reports the condition of the lift to the Installation Supervisor who is responsible for all the site activities. The Tester will give snagging items list to the Fitter and a copy to the Installation Supervisor. The Tester should not make any other communication outside the company without permission from the supervisor.
Takes part in meetings and work groups related to quality and technical issues
Is responsible for the lift well security (safe for other trades and public etc) and safety of all persons involved in the installation activities during commissioning and testing of the lift (or escalator)
Vietnamese language skill is mandatory
At KONE, we are focused on creating an innovative and collaborative working culture where we value the contribution of each individual. Employee engagement is a key focus area for us and we encourage participation and the sharing of information and ideas. Sustainability is an integral part of our culture and the daily practice. We follow ethical business practices and we seek to develop a culture of working together where co-workers trust and respect each other and good performance is recognized. In being a great place to work, we are proud to offer a range of experiences and opportunities that will help you to achieve your career and personal goals and enable you to live a healthy and balanced life.

Read more on www.kone.com/careers"
3005667709|QC Tester|Đà Nang, Da Nang City, Vietnam|Ubisoft|Full-time · Entry level|"About the job
Company Description

Ubisoft’s 20,000 team members, working across more than 30 countries around the world, are bound by a common mission to enrich players’ lives with original and memorable gaming experiences. Their commitment and talent have brought to life many acclaimed franchises such as Assassin’s Creed, Far Cry, Watch Dogs, Just Dance, Rainbow Six, and many more to come. Ubisoft is an equal opportunity employer that believes diverse backgrounds and perspectives are key to creating worlds where both players and teams can thrive and express themselves. If you are excited about solving game-changing challenges, cutting edge technologies and pushing the boundaries of entertainment, we invite you to join our journey and help us create the unknown.

Located in Da Nang, Vietnam, a hotbed for tech and culture also known as one of the best cities to live in Asia, the newest studio focuses on developing a diverse catalogue of fun-packed casual genre from instant games to Creation HD PC & next Gen Console games - first to be built and shipped from Ubisoft Vietnam.

By bringing the best creative and engineering talents from Vietnam, SEA and the World together, and allowing them to thrive in a dynamic and modern international work and living environment, Ubisoft Da Nang is the place to be to begin your journey in game development or take the big next step in your career.

Job Description

Finding bugs and potential exploits in the game and reporting them.
Following test cases and performing routine tests.
Write and run test plans; pro-active contribution to test case checklist is required.
Ensure that all bugs are recorded in an efficient, complete, and informative manner.
Work effectively with Project Manager and Lead QC in completing assigned QC tasks; including test plan completion, feedback on features, investigative tasks, live-ops checks, ad hoc testing.
Respond to development team’s request in line with the project e.g., providing more information for bugs, balancing, build installation, validating bugs.
Create written documentations of knowledge and processes to ensure knowledge is codified, retained, and communicated to multiple test teams
Ensure that equipment used for tests are maintained in optimal condition to facilitate efficient testing activities
Attend all relevant meetings including daily scrum/stand up.
Track and provide qualitative and quantitative test data.

Qualifications

At least 6 months experience as a Quality Assurance/Quality Control position within the video/mobile games industry.
Experience in testing with multi-platform titles e.g., Android, iOS, Amazon, Windows Phone.
Extensive knowledge of bug tracking databases (Jira preferably).
Written QC reports in a professional manner for QC Leads or senior management e.g., after test plan completion.
Familiar with both following and writing test plans & test cases.
Awareness of the development cycle and key milestones.
Good written and spoken English.

Preferred Additional Experience

Experience in using multi-platforms e.g., Android, iOS, Windows…
Attention to detail, keen eyes for spotting errors.
Experience in using Excel & Google Sheets to write up reports.
Worked in the Agile/Scrum framework.

Additional Information

Why it's great to work at Ubisoft Danang:

An international, professional, collaborative, modern, and creative environment
Attractive remuneration package
Performance rewards
Creative & endless fun projects
Unlimited access to Ubisoft games on Uplay
Flexible working time
Premium healthcare insurance
UBIVERSARY for your working milestones
Team building, Lunar New year Celebration, Projects celebration
Beers and treats every Friday (yay!)
Staff clubs
Free in-house entertainment facilities (PS4…), coffee, tea, and fresh fruits"
3015271809|Software Tester|Ho Chi Minh City, Vietnam|Dolphin Solutions JSC|Full-time|"About the job
[TP. HCM, Việt Nam] Tester - FULL TIME OFFICE

Phòng Sản xuất phần mềm Dolphin Solutions đang tìm kiếm những ứng viên Tester tiềm năng để tham gia vào đội ngũ công ty chúng tôi.

Yêu cầu:
Có ít nhất 1 năm kinh nghiệm Web testing và Mobile testing trở lên.
Khả năng phân tích và giải quyết vấn đề tốt.
Hiểu rõ về mordem QC Tools và có kiến thức về Education/Hospital System.
Có khả năng viết tài liệu test (test case, test procedures, ...).
Có kiến thức và áp dụng được các quy trình và kỹ thuật test.
Có kiến thức về Ứng dụng Web và Mobile.
Có kinh nghiệm về Database (MySQL hoặc PostgreSQL), API.
Có kỹ năng phân tích hệ thống, viết báo cáo và giải quyết vấn đề là một lợi thế.

Trách nhiệm:
Phân tích nghiệp vụ và làm rõ các vấn đề của dự án.
Thực hiện viết test case, test procedures, test reports, defect log...
Quản lý và triển khai test theo kế hoặch, bao gồm việc cung cấp kết quả test dựa vào test case, test reports.
Phối hợp với các Teams khác để hoàn thành tốt công việc.
Hoàn thành các task được giao đúng tiến độ.

Phúc lợi:
Mức lương: 7-16 triệu net/tháng
Xét tăng lương theo định kỳ (6 tháng/lần).
Môi trường làm việc trẻ, năng động, cởi mở, nhiều thử thách.
Thưởng lương tháng thứ 13, Sinh nhật, Thưởng hàng năm dựa trên đánh giá hiệu quả công việc của nhân viên và kết quả kinh doanh của công ty.
Nghỉ phép năm: 12 ngày/năm, được tăng thêm 1 ngày với 3 năm làm việc.
Cơ hội phát triển: lộ trình phát triển sự nghiệp rõ ràng, làm việc với đội ngũ tài năng, tiếp cận các công nghệ mới nhất và thử thách với các dự án mới.
Các sự kiện nội bộ: Hoạt động gắn kết, khóa học tiếng Anh giao tiếp miễn phí, Team Building, Sinh nhật công ty, Tiệc cuối năm...
Hưởng các chế độ phúc lợi theo quy định của bộ Luật Lao động.

Các bạn có nhu cầu ứng tuyển, vui lòng gửi CV về:
• Email: hanht@dolphinsolutions.vn
• Tiêu đề: [Vị trí ứng tuyển] - [Họ và Tên]
• Hoặc liên hệ: Ms.Hân- 0969.296.947

DOLPHIN SOLUTIONS
169 Trương Văn Bang, Phường Thạnh Mỹ Lợi, TP. Thủ Đức, TP. HCM
Contact the job poster
Okuro App 2nd
We are hiring PHP Developer, Flutter, Tester, BA, Delivery, BD, Marketing
Job Poster Location
Ho Chi Minh City, Vietnam
Send InMail"
3005807654|QA Tester|Thanh Xuân District, Hanoi, Vietnam|EMOTIV|Full-time|"About the job
Responsibilities

Work closely with the team of QA Engineers, Product Owners, and Developers to test new features as they're being developed
Support Customer Support team on troubleshooting issues on client sides and work with the Development team for short and long term solutions
Reproduce bugs and other issues and uncover problems and/or defects before releases. Proactively write tests to cover problems found after the release
Write and maintain test documentation: test plans, test cases to identify bugs and usability issues
Cross-browser and cross-device testing including mobile devices

Education and Experience You’ll Bring

Bachelor's Degree in Computer Science, IT, Engineering or a related field
Knowledge or experience in QA, Tester
Experience writing clear and concise bug reports, test plans, test cases
Excellent verbal and written communication skills
Experience with JIRA or similar task management system
Contact the job poster
Nguyễn Thị Ngọc Huyên 2nd
People Operation Associate at EMOTIV
Job Poster Location
Hanoi Capital Region
Send InMail"
3013777253|[Danang] Junior Software Tester|Da Nang Metropolitan Area|DataHouse Asia|Full-time · Associate|"About the job
This job is sourced from a job board. Learn more
Who are we looking for? We are looking for awesome Software Testers to join our development team. You will be responsible to assess software quality through both manual testing and automation testing. In this role, you should have keen eyes for details, good English communication skills and your spirit of being a good team player.In addition, with your strong logical thinking, proactivity towards possible problems, passion for improving software quality and an open mind for learning, you will be a perfect fit for this job.

What are your responsibilities? Involve, create, review and analyze system specifications Collaborate with team members to develop software packages Execute test cases (manual and/or automated) Conduct post-release / post-implementation testing Analyze defected results as inputs for development teams Report bugs and defects to development teams Involve in troubleshooting blocking issues"
3013150831|Manual Tester (QA/QC)|Hanoi, Hanoi, Vietnam|Spektrum Brakes LLC|Full-time · Mid-Senior level|"About the job
Job Duties and Responsibilities:
Review the product specification
Design test cases, prepare test data, perform tests, and report bugs.
Execute testing tasks according to schedule and make sure of the quality of the product.
Track all the bugs and communicate issues to ensure their resolution before project release.
Create and review test scripts for performance tests (Jmeter… )

Qualifications:
2+ years of experience as a Manual Test
Good knowledge of SQL language
Solid experience in creating test plans and designing test cases.
Experience in testing web applications.
Pay attention to details.
Good knowledge of software testing processes and testing methodologies.

Nice to have:
Be good at reading, writing English.
Having experience in eCommerce projects is a plus.
Honest, humble, and hard-working.
Errors can be clearly and accurately described, thinking skills, report writing, and email communication.
Graduated IT major.

Powered by JazzHR

PiaiiYOa9I"
3010151717|Manual Tester|Ho Chi Minh City, Vietnam|NAB in collaboration with Positive Thinking Company in Vietnam|Full-time|"About the job
ABOUT THE JOB
We are seeking motivated Medior/ Senior Quality Engineer (Manual) in Ho Chi Minh to join the Workplace Service team at National Australia Bank. As a Senior Quality Engineer, you will join a group of very talented and committed Quality community, passionate about delivering a high-quality experience for our customers.
JOB RESPONSIBILITIES
1. Review documentation and requirements to determine intended functionality.
2. Create test strategy, test plan and prepare test environments.
3. Create and execute test cases that will determine performance according to product specifications.
4. Conduct system, integration, regression, accessibility, performance, and user acceptance testing.
5. Support defining the user story acceptance criteria and ensuring stories meet with a high level of quality.
6. Influence your team to think of “quality first”, conduct training to empower developers to a level of sufficient testing skills.
7. Collaborate with the onshore/offshore team to maintain transparency and testing practice alignment.

SKILLS & EXPERIENCE
Must have
1. You will typically have 3+ years in a software testing role with in Web and API testing. A tertiary qualification in computer science or a related discipline.
2. Strong English communication skills (both verbal & written), especially in the global software development environment
3. Solid knowledge of testing methodologies covering test levels, static test, and dynamic testing
4. Ability to work in a dynamic and continuously changing environment
5. Ability to coach and motivate developers to ensure their features are of high test-ability
6. Ability to work in cross-functional teams

Nice-to-have
1. ISTQB – Certified
2. Experience in the Banking or Financial Services industry
3. Exposure to AWS and cloud-native architecture
4. Automation capabilities (Unit testing, Integration testing, API/UI testing)
ABOUT NAB

CLOUD-FIRST
NAB is undergoing an exciting ""Cloud First"" technology transformation by taking advantage of the latest tools and techniques used by leading technology and digital companies globally. But it’s not just about the Tech, we are also investing heavily in our people, so if you have an appetite to learn, grow and elevate others around you, this is the place for you!

IT'S MORE THAN MONEY!
We naturally also provide a very competitive remuneration package but a career with us is about a lot more than money. We believe in people with ideas and dreams, and we want you to achieve your aspirations. We'll work together to deliver exceptional products and outcomes that push the limits of our own aspirations. Our passion for creating value and exceeding our customers' expectations means we're constantly striving to redefine our standards of excellence. You'll have our backing to develop and our encouragement to explore, realize and reach your full potential.

You’ll love working here 💕
-High job security with VERY fine welfare and benefits
-Private Healthcare for you and your family
-New state-of-the-art Mac laptop provided, first-class offices and facilities
-Big perk supporting your interests and team building
--> Please reach me at Linkedin or ben.nguyen2@nab.com.au (Skype live:5e30b1ba9f09593c)
Contact the job poster
Phuc Nguyen 2nd
Technical Recruiter at NAB
Job Poster Location
Vietnam
Send InMail"
3005829058|Mobile Tester|Ho Chi Minh City, Vietnam|Samsung Electronics Southeast Asia & Oceania|Full-time · Associate|"About the job
· Job Description Summary:
In the development and mass production stage, check product specifications, functions and performs audits and tests of software products in accordance with software test plans and ensure software quality.
After mass-producing, check software failure and confirm the improvement. Prevent the defect recurrence through failure management and updating the test case or test procedure.
In product software whole side, evaluate user aesthetic and convenient quality and make improvement to secure product competitiveness.
· Job Description:
[Building testing infrastructure] Participate in setting up an evaluation environment for software testing and suggesting an automation tool, etc.
[Testing development management] Develop test cases based on requirements and specifications, make a test process, and define function evaluation standards.
[Testing software] Test software functions, non-functions, codes, and usability based on a development process within a certain period of time.
[Software defect management] Identify software defects and Confirm improvement and acquisition of functions during development and mass production stages.
[Project management] Develop a plan according to a testing process by development stage and follow the processes.
· Additional Job Description:
Learns to use professional concepts. Applies company policies and procedures to resolve routine issues
Works on problems of limited scope. Follows standard practices and procedures
Normally receives detailed instructions on all work
Typical entry point for university graduates"
3003406911|Software Tester|Da Nang City, Vietnam|DataHouse Asia|Full-time|"About the job
Aloha!
With 99 % EL speaking in-house and 100% clients English-speaking base in US/AUS/EUROPE, DataHouse Asia is calling for 2 Junior Software Testers working in Danang city!
𝐖𝐞 𝐠𝐮𝐚𝐫𝐚𝐧𝐭𝐞𝐞 𝐟𝐨𝐫 𝐭𝐡𝐞:
►Competitive take-home cash together with monthly lunch and gasoline allowances
►Opportunities to participate in the meaningful & challenging product line project, which is not an outsourcing project!
►Career growth with an Unlimited learning budget and tons of training sessions provided
►And, fun vibe daily in house
𝐆𝐞𝐭 𝐜𝐥𝐨𝐬𝐞𝐫 𝐭𝐨 𝐉𝐃 𝐡𝐞𝐫𝐞: https://aloha1975.com/careers/tester-qc/
𝐆𝐫𝐚𝐛 𝐚 𝐬𝐞𝐚𝐭 𝐚𝐧𝐝 𝐬𝐚𝐲 '𝐚𝐥𝐨𝐡𝐚' 𝐭𝐨 𝐮𝐬:
► Get more details: https://aloha1975.com/
► Apply here: https://aloha1975.com/careers/job-application/
Mahalo!
Contact the job poster
Giang Le 2nd
Talent Acquisition | Employer Branding | DataHouse Asia
Job Poster Location
Da Nang City, Vietnam
Send InMail"
