,_id,education,education_skills
0,thanhdiep23,"['Sai Gon University,Master of Business Administration - MBA']","['mba', 'master business administration']"
1,ACoAACGoyx8BN_W_i04AdC-kWSjlP3laMt2-ATo,"['Hanoi University of Business and Technology,Accounting and Finance,2014 - 2017']",['accounting finance']
2,trucnguyen1112,"[""Ho Chi Minh University of Social Sciences and Humanities,Bachelor's degree, Industrial and Organizational Psychology,2011 - 2015""]","['industrial organizational psychology', 'bachelors', 'degree']"
3,ACoAAA4hY4YBg3-UH5yt-qQmQoySgGg5dVL4vX4,"['Technology University,Bachelor of Engineering (B.E.), Information Technology,2001 - 2006', 'Sciences Nation University,Bachelor of Applied Science (BASc), Material Scientist,1997 - 2001']","['bachelor', 'material scientist', 'information technology', 'science basc', 'bachelor engineering', 'applied science basc']"
4,ACoAACdYwZwBgXSpz35E99EYMaUmdt-MtHMYe0Y,[],[]
5,results,"['University of Maryland Global Campus,Masters of Science, Computer Systems Management,1995 - 2000', 'University of Idaho,Bachelors of Science, Mechanical Engineering,1978 - 1983']","['masters', 'science', 'masters science', 'management', 'bachelors', 'computer systems', 'computer systems management', 'bachelors science', 'mechanical engineering']"
6,huu-dung,[],[]
7,ACoAADI7aA4B3gcLEI-gyrLhwhsz5x99yQ_UsW0,[],[]
8,tuy%E1%BA%BFt-%C4%91o%C3%A0n-brian-doan-21b4681ba,"[""University of Information Technology,Bachelor's degree, Information Technology,Jan 2020 - Dec 2022"", 'UEF - Ho Chi Minh City University of Economics and Finance,Master of Business Administration - MBA, Marketing,Oct 2019 - Dec 2021', ""UEF - Ho Chi Minh City University of Economics and Finance,Bachelor's degree, International Business""]","['degree', 'international business', 'bachelors', 'master business administration', 'information technology', 'mba', 'marketing']"
9,ACoAADecM7cBynzyaSRpz6ll3fWHPkIWbGMEPGA,"['Meiho University,Bachelor of Business Administration - BBA, Hospitality Administration/Management,2019 - 2021', 'Foreign Trade University,Bachelor of Business Administration - BBA, Hospitality Administration/Management,2017 - 2019']","['bba', 'bachelor business administration', 'hospitality administration management']"
10,ACoAADfIG6QBpkAikpB5KNAUNrk3ApozN17EtW8,"['Executive Committee Member,Youth Union, Faculty of Industrial Management,Oct 2019 - Present · 2 yrs 8 mos,HCMC University of Technology (Vietnam National University), 268 Ly Thuong Kiet Street, District 10', ""Ho Chi Minh City University of Technology,Bachelor's degree, Business, Management, Marketing, and Related Support Services,2019 - 2023""]","['ly', 'industrial management', 'hcmc university technology', 'support services', 'university technology', 'faculty', 'related support services', 'ly thuong kiet street', 'marketing', 'business', 'degree', 'university technology vietnam', 'bachelors', 'mos', 'national university', 'oct', 'management', 'youth union', 'thuong kiet street']"
11,linh-nguyen-44b104131,"['University of Economics and Law,Bachelor of Business Administration - BBA, Business Administration,2015 - 2019']","['bba', 'bachelor business administration', 'business administration']"
12,alyssa-phanbui,"['Schulich School of Business - York University,Bachelor’s Degree, OMIS and Finance,2014 - 2018']","['bachelor degree', 'omis finance', 'degree', 'bachelor']"
13,ACoAACz6LisBT7RTXFqiqdad0VCQeHeZJnGBtcU,"[""HCM University Of Technology (HUTECH),Bachelor's degree, Economic Law,Oct 2014 - Dec 2018""]","['bachelors', 'degree', 'economic law']"
14,minhtramnguyen162,"[""University Of Economics Ho Chi Minh City,Bachelor's Degree, International Business,2016 - 2020""]","['bachelors', 'international business', 'degree']"
15,ACoAADUbgvUBK8jZZcUaV15PQOvHr2k2PZhfIgU,"[""Foreign Trade University,Bachelor's degree, Accounting and Auditing with ACCA Orientation""]","['auditing', 'degree', 'acca orientation', 'bachelors', 'accounting']"
16,phuong-tran-minh-991816160,"[""Foreign Trade University,Bachelor's degree, International Economics,2015 - 2019""]","['international economics', 'bachelors', 'degree']"
17,ACoAACjXussB8SA-B02XakwqyOfVsJT_LbREusk,"['You both studied at Hanoi University of Science and Technology,You both studied at Hanoi University of Science and Technology from 2020 to 2024', 'Hanoi University of Science and Technology,Bachelor of Science - BS, Data Science and Artificial Intelligence,Oct 2020 - Dec 2024', 'Google Developer Student Clubs - Hanoi University of Science and Technology,AI Developer · Oct 2021 - Present']","['artificial intelligence', 'bs', 'data science', 'data', 'science artificial intelligence', 'bachelor science']"
18,ACoAAC_eKFYBLKCsMPWVOnQLXXaG6Fs5KVKQ7DI,"[""Foreign Trade University,Bachelor's degree, Business ,2016 - 2020""]","['bachelors', 'degree', 'business']"
19,trongle258,"[""Thang Long University,Bachelor's degree, Marketing/Marketing Management, General,2013 - 2017""]","['management', 'bachelors', 'marketing marketing management', 'degree']"
20,ACoAADYuYGgB7RjU0rMehKgso-SAatZo9OkHZjM,[],[]
21,dung-truong-tien-767619136,"[""Hanoi University of Science and Technology,Master's degree, Mathematics and Informatics ,Sep 2020 - 2021"", ""Hanoi University of Science and Technology,Engineer's degree, Mathematics and Informatics,2015 - 2020""]","['engineers', 'mathematics informatics', 'masters', 'degree', 'informatics', 'mathematics']"
22,ACoAACfynsgBDtJh2psZA5tVE3OSpZ0Kdv9GmnU,"['You both studied at Hanoi University of Science and Technology,You both studied at Hanoi University of Science and Technology from 2020 to 2022', ""Hanoi University of Science and Technology,Engineer's degree, Applied Mathematics and Informatics,2017 - 2022""]","['engineers', 'mathematics', 'degree', 'applied mathematics informatics', 'informatics', 'mathematics informatics']"
23,ACoAACkDs-gBQmlN5aJN2M5MCOteYwTl1tS6G_U,"[""National Economics University (Vietnam),Bachelor's degree, Econnomics Development,2020""]","['degree', 'development', 'bachelors', 'econnomics development', 'econnomics']"
24,quinlele,"[""Foreign Trade University,Bachelor's degree, Banking & International Finance,2016 - 2020"", 'High School for Gifted Students, Hanoi National University of Education,Biology,2013 - 2016']","['degree', 'international finance', 'hanoi national university education', 'bachelors', 'biology', 'banking']"
25,ACoAACMYXR0Brrud7Tyt6s4Q1n0TrzdH87MNTDY,"[""Hanoi Law University,Bachelor's degree, Economics Law""]","['economics', 'degree', 'law', 'bachelors', 'economics law']"
26,dung-thuy-le-5b711095,"['UNIVERSITY OF SOCIAL SCIENCES AND HUMANITIES (USSH),Bachelor of Arts - BA, German Language and Literature,2004 - 2008']","['german language literature', 'ba', 'bachelor arts']"
27,ACoAACAid9kBZWFWR2zct4iLorFkI-bmKPbEEUg,"['UNIVERSITY OF ECONOMICS,Good, Business Administration,2014 - 2016']",['business administration']
28,khakhanhlinh,"[""RMIT University Vietnam,Bachelor's degree, Economics and Finance,2016 - 2020"", 'The University of Auckland,Summer Research Program,Dec 2019 - Feb 2020']","['economics', 'degree', 'finance', 'bachelors', 'economics finance', 'summer research program']"
29,ACoAACtCrkMBZzcaclAYE_JhqwXEXG6ZNArx_fU,['University of Finance & Marketing - UFM'],[]
30,minhbinhtran,"[""National Economics University (Vietnam),Bachelor's degree, Business Administration and Management, General ,2018 - 2022"", ""National Economics University (NEU) Vietnam,Bachelor's degree, Business Administration and Management, General,2019 - 2021""]","['business administration management', 'bachelors', 'degree']"
31,ACoAAB1VpXwB-AxMHH2x25ij8tsOC6b8L_yyz1Q,"['National Economics University (Vietnam),Bachelor of Business Administration - BBA, Business Administration, Management and Operations,Sep 2018 - Mar 2022']","['management operations', 'bba', 'bachelor business administration', 'business administration']"
32,nguyentthienbku,"[""Ho Chi Minh City University of Technology,Bachelor's degree, Industrial Management ,2017 - 2021""]","['industrial management', 'bachelors', 'degree']"
33,maithinhuthao,"['International University - VNU HCMC,Bachelor of Arts - BA, Finance and Banking,2013 - 2018']","['finance banking', 'ba', 'bachelor arts']"
