Phrase,Target
job agoda,0.0
online travel,0.0
platform accommodations,0.0
flights,0.0
deploy cutting-edge technology,0.0
travelers,0.0
accommodations,0.0
asia part,0.0
holdings,0.0
employees,0.0
nationalities,0.0
work environment,0.0
rich diversity,0.0
creativity,0.0
collaboration,0.0
innovate culture experimentation ownership,0.0
ability customers,0.0
world,0.0
know team data department,0.0
’ data-related requirements,0.0
ultimate goal,0.0
enable increase use data company,0.0
creative approaches implementation,0.0
powerful resources,0.0
operational analytical databases,1.0
queue systems,1.0
bi tools,1.0
data science technology,1.0
minds,0.0
world take challenge equip knowledge tools,0.0
personal growth success,0.0
company,0.0
’ culture diversity experimentation,0.0
role data team,0.0
critical business users,0.0
product managers,1.0
engineers,1.0
many others,0.0
decision making,0.0
dedicated customers,0.0
search experience,1.0
results,0.0
fraudulent activities,0.0
data,1.0
drives,1.0
part data department,0.0
reward,0.0
opportunity data engineer business intelligence team,0.0
work,0.0
team interpret business questions data,0.0
design,1.0
development,0.0
support maintain data pipeline,0.0
work variety data sources,0.0
data technology data tools,1.0
licenses,1.0
data pipeline,1.0
data reports,1.0
role,0.0
works,0.0
finance data analytics,1.0
able design,1.0
proper data pipeline solution,1.0
measurable scalable develop data pipeline bigdata platform,1.0
technology stack,1.0
scala,1.0
golang,1.0
python3,1.0
bash/python,1.0
team ’ standard quality checklist,0.0
visibility,1.0
responsive work,0.0
data technology date data insight team,0.0
bachelor ’ advance degree,1.0
it/statistic related field,1.0
years,0.0
data technology,1.0
fluent english interpersonal skills experience etl tools data pipeline language python,0.0
databases,1.0
sql queries,1.0
good time management,1.0
skills,1.0
self-motivation ability work,1.0
part scrum team,0.0
great experience data,1.0
design experience,1.0
big data technologies,1.0
tools,1.0
tensorflow,1.0
experience,1.0
third-party libraries,1.0
experience automate operation tasks script,1.0
python knowledge business analysis data,1.0
hungry,0.0
new tools,1.0
technologies,1.0
sydney,0.0
manila equal opportunity employer agoda,0.0
pride company,0.0
people,0.0
different backgrounds orientations,0.0
diverse talent,0.0
inclusive environment encourages collaboration innovation,0.0
employment agoda,0.0
person,0.0
’ merit qualifications,0.0
equal employment opportunity,0.0
sex,0.0
age,0.0
race,0.0
color,0.0
national origin,0.0
religion,0.0
marital status,0.0
pregnancy,0.0
sexual orientation,0.0
gender identity,0.0
disability,0.0
citizenship,0.0
